cell_id,Pericrocotus solaris,Pericrocotus solaris [solaris Group],Pericrocotus solaris montanus/cinereigula
833099fffffffff,3.0,0.0,0.0
833c02fffffffff,4.0,0.0,0.0
833c0afffffffff,21.0,0.0,0.0
833c19fffffffff,3.0,0.0,0.0
833c1dfffffffff,9.0,0.0,0.0
833c52fffffffff,2.0,0.0,0.0
833c5afffffffff,5.0,0.0,0.0
833c5cfffffffff,1.0,0.0,0.0
833ce2fffffffff,4.0,0.0,0.0
833ce4fffffffff,27.0,0.0,0.0
833ce5fffffffff,16.0,0.0,0.0
833cecfffffffff,1.0,0.0,0.0
833cedfffffffff,4.0,0.0,0.0
834036fffffffff,2.0,0.0,0.0
83404cfffffffff,5.0,5.0,0.0
8340aefffffffff,3.0,0.0,0.0
834171fffffffff,3.0,3.0,0.0
834185fffffffff,3.0,3.0,0.0
834191fffffffff,5.0,2.0,0.0
8341a3fffffffff,2.0,2.0,0.0
8341a4fffffffff,12.0,0.0,0.0
8341a5fffffffff,22.0,0.0,0.0
8341adfffffffff,4.0,4.0,0.0
8341b4fffffffff,5.0,0.0,0.0
8341b5fffffffff,2.0,0.0,0.0
834b84fffffffff,8.0,0.0,0.0
834ba0fffffffff,34.0,0.0,0.0
834ba1fffffffff,2.0,0.0,0.0
834ba2fffffffff,42.0,0.0,0.0
834ba3fffffffff,2.0,0.0,0.0
836416fffffffff,7.0,5.0,0.0
836482fffffffff,4.0,0.0,0.0
836491fffffffff,8.0,0.0,0.0
836494fffffffff,1.0,0.0,0.0
836500fffffffff,169.0,0.0,4.0
836503fffffffff,17.0,0.0,0.0
836505fffffffff,45.0,0.0,0.0
83650dfffffffff,1.0,0.0,0.0
83651cfffffffff,11.0,0.0,5.0
8365b2fffffffff,1.0,0.0,0.0
8365b3fffffffff,7.0,0.0,0.0
836811fffffffff,7.0,0.0,7.0
