cell_id,Muscicapa sibirica,Muscicapa sibirica sibirica,Muscicapa sibirica [cacabata Group]
83404efffffffff,3.0,0.0,0.0
834058fffffffff,1.0,0.0,0.0
83405bfffffffff,1.0,0.0,0.0
83405cfffffffff,4.0,0.0,0.0
834061fffffffff,1.0,0.0,0.0
83406bfffffffff,3.0,0.0,0.0
8340a6fffffffff,7.0,0.0,0.0
8340a8fffffffff,2.0,0.0,0.0
8340aefffffffff,3.0,0.0,0.0
8340b5fffffffff,4.0,0.0,0.0
8340c0fffffffff,2.0,0.0,0.0
8340c1fffffffff,8.0,0.0,0.0
8340c2fffffffff,25.0,0.0,0.0
8340c5fffffffff,26.0,0.0,0.0
8340c6fffffffff,3.0,0.0,0.0
8340cefffffffff,3.0,0.0,0.0
8340e1fffffffff,63.0,0.0,4.0
8340e3fffffffff,6.0,0.0,0.0
8340e5fffffffff,3.0,0.0,0.0
8340ecfffffffff,8.0,0.0,0.0
8340eefffffffff,4.0,0.0,0.0
834103fffffffff,66.0,0.0,0.0
834118fffffffff,1.0,0.0,0.0
83411cfffffffff,81.0,0.0,0.0
83411dfffffffff,4.0,0.0,0.0
834142fffffffff,2.0,0.0,0.0
834143fffffffff,6.0,0.0,0.0
834149fffffffff,4.0,0.0,0.0
83414cfffffffff,10.0,0.0,0.0
834154fffffffff,1.0,0.0,0.0
83415afffffffff,4.0,0.0,0.0
83415cfffffffff,5.0,0.0,0.0
83415efffffffff,3.0,0.0,0.0
834164fffffffff,2.0,0.0,0.0
834165fffffffff,2.0,0.0,0.0
83416bfffffffff,1.0,0.0,0.0
834171fffffffff,2.0,0.0,0.0
834185fffffffff,6.0,0.0,0.0
834192fffffffff,2.0,0.0,0.0
8341a4fffffffff,4.0,0.0,0.0
8341a5fffffffff,27.0,0.0,0.0
8341b4fffffffff,213.0,0.0,0.0
8341b5fffffffff,128.0,0.0,0.0
8341b6fffffffff,6.0,1.0,0.0
834269fffffffff,3.0,0.0,0.0
