cell_id,Cinclus leucocephalus,Cinclus leucocephalus rivularis,Cinclus leucocephalus leuconotus,Cinclus leucocephalus leucocephalus
8466083ffffffff,3.0,0.0,0.0,0.0
8466087ffffffff,1.0,0.0,0.0,0.0
8466089ffffffff,9.0,0.0,0.0,0.0
846608bffffffff,6.0,0.0,0.0,0.0
846608dffffffff,11.0,0.0,0.0,0.0
8466095ffffffff,7.0,0.0,0.0,0.0
846609dffffffff,1.0,0.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0,0.0
84660b5ffffffff,1.0,0.0,0.0,0.0
84660b7ffffffff,2.0,0.0,0.0,0.0
84660b9ffffffff,42.0,0.0,0.0,0.0
84660bbffffffff,32.0,0.0,0.0,0.0
84660bdffffffff,22.0,0.0,0.0,0.0
84660c3ffffffff,51.0,0.0,0.0,0.0
84660d5ffffffff,2.0,0.0,0.0,0.0
84660ddffffffff,46.0,0.0,0.0,0.0
8466181ffffffff,147.0,0.0,4.0,0.0
8466183ffffffff,60.0,0.0,2.0,0.0
8466185ffffffff,1.0,0.0,1.0,0.0
8466187ffffffff,16.0,0.0,0.0,0.0
846618bffffffff,10.0,0.0,0.0,0.0
8466191ffffffff,7.0,0.0,0.0,0.0
8466193ffffffff,15.0,0.0,0.0,0.0
8466195ffffffff,60.0,0.0,0.0,0.0
8466197ffffffff,222.0,0.0,0.0,0.0
8466199ffffffff,12.0,0.0,0.0,0.0
846619dffffffff,77.0,0.0,0.0,0.0
84661b1ffffffff,191.0,0.0,42.0,0.0
84661b3ffffffff,31.0,0.0,0.0,0.0
84661b7ffffffff,4.0,0.0,0.0,0.0
84661b9ffffffff,213.0,0.0,6.0,0.0
84661bbffffffff,390.0,0.0,29.0,0.0
84661bdffffffff,9.0,0.0,2.0,0.0
84661c3ffffffff,4.0,0.0,0.0,0.0
84661d1ffffffff,6.0,0.0,0.0,0.0
84661d5ffffffff,5.0,0.0,0.0,0.0
84661d7ffffffff,17.0,0.0,0.0,0.0
84661d9ffffffff,5.0,0.0,0.0,0.0
84661ddffffffff,13.0,0.0,0.0,0.0
84661ebffffffff,2.0,0.0,0.0,0.0
8466217ffffffff,3.0,0.0,0.0,0.0
846622bffffffff,5.0,0.0,0.0,0.0
8466239ffffffff,1.0,1.0,0.0,0.0
8466291ffffffff,23.0,0.0,0.0,0.0
8466299ffffffff,58.0,0.0,6.0,0.0
846629dffffffff,8.0,0.0,0.0,0.0
84662b1ffffffff,11.0,0.0,0.0,0.0
84662b7ffffffff,3.0,0.0,0.0,0.0
84662e9ffffffff,9.0,0.0,0.0,0.0
846656dffffffff,2.0,0.0,0.0,0.0
8466c0dffffffff,61.0,0.0,0.0,0.0
8466c21ffffffff,82.0,0.0,0.0,0.0
8466c25ffffffff,19.0,0.0,0.0,0.0
8466c29ffffffff,14.0,0.0,0.0,0.0
8466c2dffffffff,35.0,0.0,0.0,0.0
8466c45ffffffff,2.0,0.0,0.0,0.0
8466c47ffffffff,47.0,0.0,0.0,0.0
8466c49ffffffff,10.0,0.0,0.0,0.0
