cell_id,Aplonis metallica,Aplonis metallica circumscripta,Aplonis metallica [metallica Group]
84728c3ffffffff,1.0,0.0,0.0
8472901ffffffff,4.0,0.0,1.0
8472905ffffffff,40.0,0.0,3.0
847290dffffffff,11.0,0.0,0.0
8472913ffffffff,6.0,0.0,0.0
8472917ffffffff,3.0,0.0,0.0
84729dbffffffff,17.0,0.0,0.0
84729e9ffffffff,5.0,0.0,0.0
8472a07ffffffff,2.0,0.0,0.0
8472a31ffffffff,14.0,0.0,3.0
8472a6dffffffff,2.0,0.0,0.0
8472ae1ffffffff,30.0,0.0,9.0
8472ae3ffffffff,170.0,0.0,34.0
8472ae7ffffffff,19.0,0.0,5.0
8472b49ffffffff,1.0,0.0,1.0
8472c8bffffffff,2.0,0.0,0.0
8472c91ffffffff,3.0,0.0,0.0
8472c93ffffffff,5.0,0.0,0.0
8472cb9ffffffff,2.0,0.0,0.0
8472d19ffffffff,5.0,0.0,0.0
8472d23ffffffff,11.0,0.0,2.0
8472d49ffffffff,1.0,0.0,0.0
8472d5dffffffff,2.0,0.0,0.0
8472d91ffffffff,8.0,0.0,0.0
8472d93ffffffff,2.0,0.0,0.0
8472da1ffffffff,4.0,0.0,0.0
8472db3ffffffff,20.0,0.0,0.0
8472dbbffffffff,6.0,0.0,0.0
8472dd5ffffffff,3.0,0.0,0.0
8472debffffffff,10.0,0.0,2.0
8472f23ffffffff,176.0,0.0,32.0
8472f35ffffffff,12.0,0.0,0.0
8472f37ffffffff,2.0,0.0,0.0
8473901ffffffff,25.0,0.0,3.0
8473905ffffffff,49.0,0.0,0.0
8473907ffffffff,63.0,0.0,0.0
8473909ffffffff,8.0,0.0,2.0
847390bffffffff,45.0,0.0,1.0
847390dffffffff,92.0,0.0,12.0
8473925ffffffff,14.0,0.0,0.0
8473951ffffffff,8.0,0.0,0.0
8473955ffffffff,2.0,0.0,0.0
8473959ffffffff,5.0,0.0,0.0
847395bffffffff,7.0,0.0,0.0
84739a1ffffffff,5.0,0.0,0.0
84739a3ffffffff,2.0,0.0,2.0
84739a9ffffffff,12.0,0.0,0.0
84739abffffffff,29.0,0.0,4.0
84739b1ffffffff,102.0,0.0,26.0
84739b3ffffffff,1.0,0.0,0.0
84739b5ffffffff,117.0,0.0,19.0
84739bbffffffff,1.0,0.0,0.0
8476809ffffffff,1.0,0.0,0.0
847699dffffffff,47.0,0.0,0.0
84769d1ffffffff,2.0,0.0,0.0
84769d9ffffffff,1.0,0.0,0.0
84769ddffffffff,4.0,0.0,0.0
8477911ffffffff,1.0,0.0,0.0
8477919ffffffff,1.0,0.0,0.0
847791dffffffff,2.0,0.0,0.0
847795bffffffff,4.0,0.0,0.0
8477981ffffffff,1.0,0.0,0.0
847799dffffffff,1.0,0.0,0.0
84779a3ffffffff,4.0,0.0,0.0
84779bdffffffff,9.0,0.0,0.0
84779c5ffffffff,1.0,0.0,0.0
8494601ffffffff,34.0,26.0,0.0
8495419ffffffff,8.0,0.0,0.0
8495449ffffffff,26.0,0.0,2.0
849544bffffffff,8.0,0.0,0.0
849545bffffffff,50.0,0.0,4.0
8495613ffffffff,78.0,0.0,0.0
84956a5ffffffff,35.0,0.0,4.0
84956abffffffff,6.0,0.0,0.0
84956adffffffff,2.0,0.0,0.0
84956bdffffffff,114.0,0.0,6.0
84956c5ffffffff,15.0,0.0,2.0
84956d3ffffffff,32.0,0.0,0.0
849c001ffffffff,4.0,0.0,4.0
849c003ffffffff,8.0,0.0,2.0
849c009ffffffff,10.0,0.0,2.0
849c00bffffffff,8.0,0.0,2.0
849c055ffffffff,4.0,0.0,0.0
849c059ffffffff,8.0,0.0,0.0
849c05dffffffff,762.0,0.0,123.0
849c0edffffffff,2.0,0.0,0.0
849c191ffffffff,789.0,0.0,152.0
849c19dffffffff,35.0,0.0,4.0
849c203ffffffff,274.0,0.0,42.0
849c207ffffffff,15.0,0.0,0.0
849c20bffffffff,80.0,0.0,10.0
849c215ffffffff,15.0,0.0,4.0
849c231ffffffff,1775.0,0.0,222.0
849c233ffffffff,9.0,0.0,3.0
849c237ffffffff,1444.0,0.0,108.0
849c239ffffffff,283.0,0.0,27.0
849c23bffffffff,19.0,0.0,2.0
849c23dffffffff,18.0,0.0,0.0
849c251ffffffff,62.0,0.0,3.0
849c255ffffffff,3.0,0.0,0.0
849c259ffffffff,22.0,0.0,2.0
849c25dffffffff,3.0,0.0,0.0
849c2cdffffffff,2.0,0.0,0.0
849c85bffffffff,9.0,0.0,4.0
849c901ffffffff,289.0,0.0,0.0
849c905ffffffff,7.0,0.0,0.0
849c907ffffffff,56.0,0.0,0.0
849c945ffffffff,2.0,0.0,0.0
849c961ffffffff,2.0,0.0,0.0
849c969ffffffff,3.0,0.0,0.0
849c96dffffffff,1.0,0.0,0.0
849c993ffffffff,85.0,0.0,0.0
849c997ffffffff,13.0,0.0,0.0
849c9d1ffffffff,21.0,0.0,0.0
849c9d5ffffffff,2.0,0.0,0.0
849c9d9ffffffff,6.0,0.0,0.0
849ca27ffffffff,2.0,0.0,0.0
849ca61ffffffff,1.0,0.0,0.0
849ca65ffffffff,49.0,0.0,0.0
849ca6bffffffff,2.0,0.0,0.0
849ca6dffffffff,1.0,0.0,0.0
849caa5ffffffff,2.0,0.0,0.0
849caadffffffff,21.0,0.0,0.0
849cae7ffffffff,62.0,0.0,7.0
849cb0bffffffff,4.0,0.0,0.0
849cb51ffffffff,17.0,0.0,0.0
849cb59ffffffff,22.0,0.0,0.0
849cd19ffffffff,2.0,0.0,0.0
849cd31ffffffff,207.0,0.0,20.0
849cd33ffffffff,66.0,0.0,11.0
849cd37ffffffff,1.0,0.0,0.0
849cdabffffffff,1.0,0.0,0.0
849ce2dffffffff,2.0,0.0,1.0
849cf39ffffffff,7.0,0.0,2.0
849cf3bffffffff,16.0,0.0,15.0
849cf53ffffffff,90.0,0.0,34.0
849d013ffffffff,1.0,0.0,1.0
849d01bffffffff,1.0,0.0,0.0
849d0bdffffffff,2.0,0.0,0.0
849d0cdffffffff,2.0,0.0,0.0
849d0e1ffffffff,3.0,0.0,0.0
849d0e9ffffffff,3.0,0.0,2.0
849d913ffffffff,1.0,0.0,0.0
849d91dffffffff,1.0,0.0,0.0
849d983ffffffff,1.0,0.0,0.0
849d9b3ffffffff,1.0,0.0,0.0
849ed19ffffffff,1.0,0.0,0.0
849ed33ffffffff,2.0,0.0,0.0
849ed51ffffffff,7.0,0.0,0.0
849ed59ffffffff,3.0,0.0,0.0
849ed8dffffffff,1.0,0.0,0.0
849ede1ffffffff,2.0,0.0,0.0
849ede9ffffffff,2.0,0.0,0.0
849edebffffffff,1.0,0.0,0.0
849ef37ffffffff,4.0,0.0,1.0
