cell_id,Strepera versicolor,Strepera versicolor versicolor/plumbea,Strepera versicolor arguta,Strepera versicolor melanoptera,Strepera versicolor intermedia,Strepera versicolor halmaturina
83a700fffffffff,12.0,3.0,0.0,0.0,0.0,0.0
83a703fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83a704fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83a714fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
83a726fffffffff,22.0,2.0,0.0,0.0,0.0,0.0
83a732fffffffff,16.0,12.0,0.0,0.0,0.0,0.0
83a733fffffffff,19.0,8.0,0.0,0.0,0.0,0.0
83a735fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83a736fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
83b823fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83b828fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
83b829fffffffff,12.0,5.0,0.0,0.0,0.0,0.0
83b82efffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83b834fffffffff,16.0,0.0,0.0,0.0,4.0,0.0
83b841fffffffff,37.0,8.0,0.0,0.0,0.0,0.0
83b845fffffffff,22.0,5.0,0.0,0.0,0.0,0.0
83b860fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83b862fffffffff,13.0,7.0,0.0,0.0,0.0,0.0
83b863fffffffff,4.0,2.0,0.0,0.0,0.0,0.0
83b864fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83b865fffffffff,9.0,4.0,0.0,0.0,0.0,0.0
83b866fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
83b868fffffffff,13.0,2.0,0.0,0.0,0.0,0.0
83b869fffffffff,12.0,2.0,0.0,0.0,0.0,0.0
83b86afffffffff,25.0,11.0,0.0,0.0,0.0,0.0
83b86bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83b86dfffffffff,31.0,1.0,0.0,0.0,0.0,0.0
83b86efffffffff,8.0,2.0,0.0,0.0,0.0,0.0
83b871fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83b910fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
83b911fffffffff,72.0,0.0,0.0,0.0,21.0,0.0
83b912fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83b913fffffffff,32.0,0.0,0.0,0.0,4.0,0.0
83b914fffffffff,156.0,0.0,0.0,0.0,0.0,51.0
83b915fffffffff,169.0,0.0,0.0,3.0,11.0,19.0
83b916fffffffff,516.0,0.0,0.0,30.0,0.0,0.0
83b91afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83b91efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
