cell_id,Columba livia,Columba livia (Wild type)
830741fffffffff,4.0,1.0
83074efffffffff,2.0,0.0
830755fffffffff,1.0,0.0
830763fffffffff,2.0,0.0
8309a6fffffffff,2.0,0.0
830c14fffffffff,10.0,0.0
830c42fffffffff,90.0,0.0
830c46fffffffff,4.0,0.0
830c50fffffffff,2.0,0.0
830c51fffffffff,96.0,0.0
830c55fffffffff,7.0,0.0
830c5afffffffff,20.0,0.0
830c73fffffffff,159.0,0.0
830d5afffffffff,24.0,0.0
830d5bfffffffff,1.0,0.0
830e49fffffffff,2.0,0.0
830e80fffffffff,1.0,0.0
830e9afffffffff,1.0,0.0
8311b4fffffffff,6.0,0.0
831259fffffffff,2.0,0.0
83125dfffffffff,2.0,0.0
8312b0fffffffff,69.0,0.0
8312b3fffffffff,2.0,0.0
8312b4fffffffff,4.0,0.0
8312c9fffffffff,12.0,0.0
8312ccfffffffff,11.0,0.0
8312d0fffffffff,1.0,0.0
8312d2fffffffff,5.0,0.0
8312ddfffffffff,6.0,0.0
8312e2fffffffff,1.0,0.0
8312e9fffffffff,2.0,0.0
8312eafffffffff,1.0,0.0
8312eefffffffff,2.0,0.0
831382fffffffff,14.0,0.0
831386fffffffff,25.0,0.0
83138cfffffffff,1.0,0.0
831391fffffffff,5.0,0.0
831398fffffffff,2.0,0.0
83139efffffffff,9.0,0.0
8313b3fffffffff,2.0,0.0
831801fffffffff,2.0,0.0
831805fffffffff,4.0,2.0
83180cfffffffff,4.0,4.0
831823fffffffff,18.0,18.0
831828fffffffff,10.0,10.0
83182afffffffff,2.0,0.0
83182cfffffffff,14.0,3.0
831845fffffffff,12.0,0.0
831849fffffffff,26.0,0.0
83184bfffffffff,8.0,0.0
831859fffffffff,45.0,0.0
83185bfffffffff,197.0,0.0
831862fffffffff,4.0,0.0
831863fffffffff,4.0,0.0
831901fffffffff,1.0,0.0
831909fffffffff,1.0,0.0
83190bfffffffff,5.0,1.0
831928fffffffff,2.0,2.0
831940fffffffff,7.0,0.0
831941fffffffff,2.0,0.0
831942fffffffff,33.0,0.0
831946fffffffff,16.0,0.0
83194afffffffff,7.0,0.0
