cell_id,Scytalopus rodriguezi,Scytalopus rodriguezi yariguiorum,Scytalopus rodriguezi rodriguezi
836608fffffffff,447.0,59.0,0.0
8366c0fffffffff,7.0,0.0,0.0
8366c4fffffffff,89.0,0.0,0.0
8366c6fffffffff,202.0,0.0,0.0
8366e2fffffffff,32.0,0.0,0.0
