cell_id,Tunchiornis ochraceiceps,Tunchiornis ochraceiceps [ochraceiceps Group],Tunchiornis ochraceiceps ferrugineifrons/viridior,Tunchiornis ochraceiceps luteifrons,Tunchiornis ochraceiceps rubrifrons/lutescens
8445019ffffffff,2.0,0.0,0.0,0.0,0.0
8445053ffffffff,5.0,0.0,0.0,0.0,0.0
844505bffffffff,4.0,0.0,0.0,0.0,0.0
8445085ffffffff,7.0,0.0,0.0,0.0,0.0
84450a1ffffffff,17.0,0.0,0.0,0.0,0.0
84450a5ffffffff,1.0,0.0,0.0,0.0,0.0
84450a9ffffffff,1.0,0.0,0.0,0.0,0.0
84450abffffffff,1.0,0.0,0.0,0.0,0.0
84450c5ffffffff,11.0,0.0,0.0,0.0,0.0
84450c7ffffffff,2.0,0.0,0.0,0.0,0.0
84450e3ffffffff,185.0,0.0,0.0,0.0,0.0
84450ebffffffff,42.0,0.0,0.0,0.0,0.0
8445203ffffffff,145.0,0.0,0.0,0.0,0.0
8445207ffffffff,2.0,0.0,0.0,0.0,0.0
844520bffffffff,50.0,0.0,0.0,0.0,0.0
8445211ffffffff,16.0,0.0,0.0,0.0,0.0
8445213ffffffff,5.0,0.0,0.0,0.0,0.0
8445215ffffffff,295.0,0.0,0.0,0.0,0.0
8445217ffffffff,88.0,0.0,0.0,0.0,0.0
844521dffffffff,108.0,0.0,0.0,0.0,0.0
8445221ffffffff,59.0,0.0,0.0,0.0,0.0
8445225ffffffff,271.0,0.0,0.0,0.0,0.0
844522dffffffff,2.0,0.0,0.0,0.0,0.0
8445233ffffffff,614.0,0.0,0.0,0.0,0.0
844523bffffffff,57.0,0.0,0.0,0.0,0.0
8445257ffffffff,37.0,0.0,0.0,0.0,0.0
8445263ffffffff,61.0,0.0,0.0,0.0,0.0
844526bffffffff,5.0,0.0,0.0,0.0,0.0
8445281ffffffff,32.0,0.0,0.0,0.0,0.0
8445283ffffffff,2.0,0.0,0.0,0.0,0.0
8445285ffffffff,23.0,0.0,0.0,0.0,0.0
8445287ffffffff,19.0,0.0,0.0,0.0,0.0
8445289ffffffff,350.0,0.0,0.0,0.0,0.0
844528dffffffff,93.0,0.0,0.0,0.0,0.0
8445291ffffffff,2.0,0.0,0.0,0.0,0.0
84452a1ffffffff,13.0,0.0,0.0,0.0,0.0
84452a5ffffffff,49.0,0.0,0.0,0.0,0.0
84452a7ffffffff,6.0,0.0,0.0,0.0,0.0
84452a9ffffffff,384.0,0.0,0.0,0.0,0.0
84452abffffffff,17.0,0.0,0.0,0.0,0.0
84452adffffffff,288.0,0.0,0.0,0.0,0.0
84452b5ffffffff,13.0,0.0,0.0,0.0,0.0
84452b9ffffffff,15.0,0.0,0.0,0.0,0.0
84452bdffffffff,27.0,0.0,0.0,0.0,0.0
84452c1ffffffff,2.0,0.0,0.0,0.0,0.0
84452c3ffffffff,152.0,18.0,0.0,0.0,0.0
84452c5ffffffff,38.0,4.0,0.0,0.0,0.0
84452c7ffffffff,98.0,4.0,0.0,0.0,0.0
84452c9ffffffff,17.0,0.0,0.0,0.0,0.0
84452cdffffffff,3.0,0.0,0.0,0.0,0.0
84452d7ffffffff,2.0,0.0,0.0,0.0,0.0
84452d9ffffffff,98.0,10.0,0.0,0.0,0.0
84452dbffffffff,10.0,0.0,0.0,0.0,0.0
84452e1ffffffff,1721.0,0.0,0.0,0.0,0.0
84452e3ffffffff,219.0,0.0,0.0,0.0,0.0
84452e5ffffffff,625.0,0.0,0.0,0.0,0.0
84452e7ffffffff,21.0,0.0,0.0,0.0,0.0
84452e9ffffffff,153.0,0.0,0.0,0.0,0.0
84452ebffffffff,715.0,35.0,0.0,0.0,0.0
84452edffffffff,157.0,0.0,0.0,0.0,0.0
8445303ffffffff,1.0,0.0,0.0,0.0,0.0
8445305ffffffff,39.0,0.0,0.0,0.0,0.0
8445309ffffffff,10.0,0.0,0.0,0.0,0.0
8445319ffffffff,63.0,0.0,0.0,0.0,0.0
844532bffffffff,17.0,0.0,0.0,0.0,0.0
8445343ffffffff,3.0,0.0,0.0,0.0,0.0
8445351ffffffff,2.0,0.0,0.0,0.0,0.0
8445363ffffffff,27.0,0.0,0.0,0.0,0.0
8445365ffffffff,34.0,0.0,0.0,0.0,0.0
