cell_id,Tangara arthus,Tangara arthus arthus,Tangara arthus [aurulenta Group],Tangara arthus [pulchra Group]
846608dffffffff,2.0,0.0,0.0,0.0
84661bbffffffff,4.0,0.0,0.0,0.0
84661d1ffffffff,3.0,0.0,1.0,0.0
84661ddffffffff,2.0,0.0,0.0,0.0
8466d0bffffffff,1.0,0.0,1.0,0.0
8466d13ffffffff,2.0,0.0,0.0,0.0
8466d31ffffffff,30.0,0.0,8.0,0.0
8466d35ffffffff,5.0,0.0,0.0,0.0
8466d37ffffffff,2.0,0.0,0.0,0.0
8466de1ffffffff,21.0,0.0,19.0,0.0
8466de9ffffffff,2.0,0.0,0.0,0.0
8466debffffffff,2.0,0.0,0.0,0.0
8466e69ffffffff,1.0,0.0,1.0,0.0
8466e6dffffffff,2.0,0.0,0.0,0.0
8466f03ffffffff,2.0,0.0,0.0,0.0
8466f1dffffffff,10.0,0.0,4.0,0.0
8467413ffffffff,2.0,0.0,0.0,0.0
846758dffffffff,3.0,0.0,0.0,0.0
84675e3ffffffff,3.0,0.0,0.0,0.0
848b617ffffffff,2.0,0.0,0.0,2.0
848b6edffffffff,8.0,0.0,0.0,0.0
848f0dbffffffff,5.0,0.0,0.0,0.0
848f295ffffffff,3.0,0.0,0.0,0.0
848f2bbffffffff,4.0,0.0,4.0,0.0
848f465ffffffff,1.0,0.0,0.0,1.0
848f4b3ffffffff,2.0,0.0,0.0,0.0
848f733ffffffff,2.0,0.0,0.0,2.0
848f74dffffffff,2.0,0.0,0.0,0.0
