cell_id,Cyanomitra verticalis,Cyanomitra verticalis verticalis/viridisplendens,Cyanomitra verticalis cyanocephala/bohndorffi
84541b9ffffffff,1.0,0.0,0.0
8454a93ffffffff,14.0,2.0,0.0
8454a9bffffffff,1.0,0.0,0.0
8454e21ffffffff,6.0,0.0,0.0
8454e25ffffffff,1.0,0.0,0.0
8454e35ffffffff,2.0,0.0,0.0
8454e4dffffffff,1.0,0.0,0.0
8454e51ffffffff,23.0,4.0,0.0
8454e5bffffffff,2.0,0.0,0.0
8454e8bffffffff,2.0,0.0,0.0
8454ea9ffffffff,2.0,0.0,0.0
8454f0bffffffff,3.0,0.0,0.0
8454f0dffffffff,1.0,0.0,0.0
8454f15ffffffff,3.0,0.0,0.0
8454f17ffffffff,3.0,0.0,0.0
8454f1bffffffff,1.0,0.0,0.0
8454f43ffffffff,2.0,2.0,0.0
8454f45ffffffff,4.0,0.0,0.0
8454f47ffffffff,3.0,3.0,0.0
8454f49ffffffff,7.0,0.0,0.0
8454f4dffffffff,53.0,1.0,0.0
8454f51ffffffff,2.0,0.0,0.0
8454f57ffffffff,2.0,0.0,0.0
8458839ffffffff,2.0,0.0,0.0
8458861ffffffff,2.0,0.0,0.0
845890bffffffff,5.0,0.0,0.0
845894dffffffff,1.0,0.0,0.0
8458969ffffffff,10.0,0.0,0.0
84589c9ffffffff,2.0,0.0,0.0
84589cbffffffff,2.0,0.0,0.0
8458a65ffffffff,2.0,0.0,0.0
8458b1dffffffff,1.0,0.0,0.0
8458b51ffffffff,3.0,0.0,0.0
8458b5dffffffff,1.0,0.0,0.0
8458c3dffffffff,3.0,0.0,0.0
8458c8bffffffff,5.0,0.0,0.0
8458cd9ffffffff,2.0,0.0,0.0
8458d13ffffffff,6.0,0.0,0.0
8458d1bffffffff,2.0,0.0,0.0
8458d1dffffffff,1.0,0.0,0.0
8458d33ffffffff,2.0,2.0,0.0
8458db5ffffffff,4.0,0.0,0.0
8458de3ffffffff,3.0,0.0,0.0
8458debffffffff,3.0,0.0,0.0
8458dedffffffff,3.0,0.0,0.0
8458e2dffffffff,52.0,1.0,0.0
8458e67ffffffff,14.0,0.0,0.0
8458f47ffffffff,2.0,0.0,0.0
8458f5bffffffff,9.0,0.0,0.0
846ac03ffffffff,27.0,4.0,0.0
846ac0bffffffff,11.0,3.0,0.0
846ac15ffffffff,346.0,74.0,0.0
846ac19ffffffff,2.0,0.0,0.0
846ac1dffffffff,6.0,2.0,0.0
846ac31ffffffff,19.0,0.0,0.0
846ac33ffffffff,2.0,0.0,0.0
846ac35ffffffff,9.0,0.0,0.0
846ac39ffffffff,3.0,0.0,0.0
846ac3dffffffff,27.0,11.0,0.0
846ac89ffffffff,247.0,14.0,0.0
846ac93ffffffff,14.0,0.0,0.0
846ac9bffffffff,4.0,0.0,0.0
846acadffffffff,2.0,0.0,0.0
846acc3ffffffff,1.0,0.0,0.0
846acc7ffffffff,8.0,0.0,0.0
846accbffffffff,1.0,0.0,0.0
846acd1ffffffff,4.0,1.0,0.0
846acd5ffffffff,26.0,0.0,0.0
846ace5ffffffff,107.0,3.0,0.0
846ad81ffffffff,33.0,5.0,0.0
846ad85ffffffff,1.0,0.0,0.0
846ad89ffffffff,7.0,1.0,0.0
846ad8bffffffff,19.0,2.0,0.0
846ad8dffffffff,7.0,0.0,0.0
846ada9ffffffff,3.0,0.0,0.0
846adc1ffffffff,560.0,55.0,0.0
846adc3ffffffff,11.0,2.0,0.0
846adc5ffffffff,157.0,0.0,8.0
846adc7ffffffff,54.0,4.0,0.0
846adc9ffffffff,28.0,0.0,0.0
846add7ffffffff,4.0,0.0,0.0
846add9ffffffff,4.0,0.0,0.0
846ade3ffffffff,2.0,0.0,0.0
846ade7ffffffff,72.0,15.0,0.0
846ade9ffffffff,4.0,0.0,0.0
846adebffffffff,13.0,2.0,0.0
846ae0bffffffff,4.0,0.0,0.0
846ae85ffffffff,19.0,4.0,0.0
846aea1ffffffff,23.0,2.0,0.0
846aea9ffffffff,3.0,3.0,0.0
846aeabffffffff,2.0,0.0,0.0
846aeb5ffffffff,1.0,0.0,0.0
846aedbffffffff,2.0,0.0,0.0
846aee3ffffffff,1.0,0.0,0.0
8475083ffffffff,2.0,0.0,0.0
8475085ffffffff,3.0,0.0,0.0
8475087ffffffff,6.0,2.0,0.0
84750a1ffffffff,1.0,0.0,0.0
84750d1ffffffff,203.0,51.0,0.0
84750d3ffffffff,34.0,15.0,0.0
84750d7ffffffff,1.0,1.0,0.0
84750dbffffffff,7.0,0.0,0.0
84750e3ffffffff,1.0,0.0,0.0
8475131ffffffff,1.0,0.0,0.0
8475201ffffffff,22.0,8.0,0.0
8475205ffffffff,2.0,0.0,0.0
8475207ffffffff,23.0,11.0,0.0
8475293ffffffff,5.0,0.0,0.0
8475299ffffffff,5.0,0.0,0.0
847529bffffffff,4.0,0.0,0.0
84752abffffffff,3.0,0.0,0.0
84752dbffffffff,2.0,2.0,0.0
84752e9ffffffff,2.0,0.0,0.0
8475361ffffffff,1.0,0.0,0.0
8475761ffffffff,13.0,1.0,0.0
8475769ffffffff,6.0,0.0,0.0
8475861ffffffff,2.0,0.0,0.0
8475a07ffffffff,7.0,0.0,0.0
847a41bffffffff,10.0,0.0,0.0
847a451ffffffff,3.0,0.0,0.0
847a453ffffffff,16.0,0.0,0.0
847a455ffffffff,7.0,0.0,0.0
847a457ffffffff,71.0,3.0,0.0
847a459ffffffff,11.0,0.0,0.0
847a45bffffffff,40.0,0.0,0.0
847a489ffffffff,33.0,0.0,0.0
847a48bffffffff,22.0,2.0,0.0
847a48dffffffff,2.0,0.0,0.0
847a49dffffffff,6.0,0.0,0.0
847a4c1ffffffff,4.0,0.0,0.0
847a4c3ffffffff,4.0,0.0,0.0
847a4c5ffffffff,3.0,0.0,0.0
847a4c9ffffffff,6.0,0.0,0.0
847a4cbffffffff,274.0,0.0,0.0
847a4d1ffffffff,16.0,0.0,0.0
847a4d5ffffffff,2.0,0.0,0.0
847a4d9ffffffff,4.0,0.0,0.0
847a4ddffffffff,147.0,0.0,0.0
847a683ffffffff,4.0,0.0,0.0
847a6a1ffffffff,23.0,0.0,0.0
847a6a3ffffffff,4.0,0.0,0.0
847a6a5ffffffff,2.0,0.0,0.0
847a6adffffffff,9.0,0.0,0.0
847a6b1ffffffff,1.0,0.0,0.0
847a6b5ffffffff,3.0,0.0,0.0
847a6b7ffffffff,8.0,0.0,0.0
847a6bbffffffff,2.0,0.0,0.0
847a6bdffffffff,3.0,0.0,0.0
847a6c1ffffffff,1.0,0.0,0.0
847a6e5ffffffff,60.0,0.0,0.0
847a6e7ffffffff,4.0,0.0,0.0
8482183ffffffff,1.0,0.0,0.0
8482187ffffffff,5.0,0.0,0.0
84821a7ffffffff,1.0,0.0,0.0
84821b3ffffffff,4.0,0.0,0.0
848285bffffffff,3.0,0.0,0.0
84828b5ffffffff,26.0,5.0,0.0
84828bdffffffff,2.0,0.0,0.0
84828d1ffffffff,5.0,0.0,5.0
8482a09ffffffff,2.0,0.0,0.0
8482a57ffffffff,1.0,0.0,0.0
8482a81ffffffff,4.0,0.0,0.0
8482a83ffffffff,5.0,0.0,2.0
8482b21ffffffff,1.0,0.0,0.0
8482d07ffffffff,21.0,4.0,0.0
8482d23ffffffff,1.0,0.0,0.0
8482d27ffffffff,9.0,0.0,0.0
8482d29ffffffff,8.0,5.0,0.0
8482d3dffffffff,6.0,6.0,0.0
8482f09ffffffff,7.0,0.0,0.0
8482f23ffffffff,7.0,0.0,5.0
8482f2bffffffff,5.0,0.0,5.0
8483125ffffffff,9.0,0.0,2.0
8483127ffffffff,3.0,0.0,0.0
8483131ffffffff,2.0,0.0,0.0
848313dffffffff,2.0,0.0,0.0
8483151ffffffff,13.0,0.0,0.0
84831ebffffffff,3.0,0.0,0.0
8483861ffffffff,1.0,0.0,0.0
84838a5ffffffff,1.0,0.0,0.0
84838e3ffffffff,2.0,0.0,0.0
8483a89ffffffff,1.0,0.0,0.0
8483ac3ffffffff,3.0,0.0,0.0
8496009ffffffff,2.0,0.0,0.0
8496101ffffffff,2.0,0.0,0.0
8496131ffffffff,3.0,0.0,0.0
849615dffffffff,10.0,3.0,0.0
84961c7ffffffff,1.0,0.0,0.0
8496925ffffffff,4.0,0.0,0.0
8496935ffffffff,58.0,0.0,0.0
849693dffffffff,2.0,0.0,0.0
8496a2dffffffff,2.0,0.0,0.0
8496a59ffffffff,2.0,2.0,0.0
8496a5dffffffff,4.0,1.0,0.0
8496a8bffffffff,2.0,0.0,0.0
8496ac3ffffffff,2.0,2.0,0.0
8496b53ffffffff,5.0,0.0,0.0
8496b55ffffffff,1.0,1.0,0.0
8496d21ffffffff,1.0,0.0,0.0
