cell_id,Certhia americana,Certhia americana [occidentalis Group],Certhia americana montana/idahoensis,Certhia americana americana/nigrescens,Certhia americana albescens/alticola,Certhia americana pernigra,Certhia americana extima
820c47fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
820c57fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,14.0,7.0,0.0,0.0,0.0,0.0,0.0
820ceffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
820d5ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820e67fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
821237fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,8.0,0.0,0.0,4.0,0.0,0.0,0.0
82260ffffffffff,44.0,0.0,0.0,35.0,0.0,0.0,0.0
822617fffffffff,10.0,0.0,0.0,1.0,0.0,0.0,0.0
82261ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822627fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
822637fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,43.0,0.0,0.0,1.0,0.0,0.0,0.0
82264ffffffffff,39.0,0.0,0.0,3.0,0.0,0.0,0.0
822657fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
82265ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,134.0,0.0,0.0,0.0,0.0,0.0,0.0
82266ffffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
822677fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,56.0,0.0,27.0,0.0,0.0,0.0,0.0
82268ffffffffff,185.0,0.0,22.0,6.0,0.0,0.0,0.0
822697fffffffff,129.0,0.0,0.0,0.0,0.0,0.0,0.0
82269ffffffffff,8.0,0.0,1.0,0.0,0.0,0.0,0.0
8226a7fffffffff,7.0,0.0,2.0,5.0,0.0,0.0,0.0
8226affffffffff,97.0,0.0,12.0,8.0,0.0,0.0,0.0
8226b7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8226c7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8226cffffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,24.0,0.0,1.0,2.0,0.0,0.0,0.0
8226dffffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8226effffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8226f7fffffffff,13.0,0.0,0.0,2.0,0.0,0.0,0.0
822707fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,14.0,0.0,0.0,10.0,0.0,0.0,0.0
822717fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82271ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
822747fffffffff,63.0,0.0,0.0,1.0,0.0,0.0,0.0
82274ffffffffff,322.0,0.0,0.0,0.0,0.0,0.0,0.0
822757fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
82275ffffffffff,196.0,0.0,0.0,0.0,0.0,0.0,0.0
822767fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
82276ffffffffff,156.0,0.0,0.0,128.0,0.0,0.0,0.0
822777fffffffff,30.0,0.0,0.0,11.0,0.0,0.0,0.0
82278ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822797fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8227a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8227affffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8227b7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822807fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
822817fffffffff,52.0,5.0,0.0,0.0,0.0,0.0,0.0
82281ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
822837fffffffff,332.0,13.0,0.0,0.0,0.0,0.0,0.0
822887fffffffff,34.0,0.0,3.0,0.0,0.0,0.0,0.0
82288ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
822897fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
82289ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8228a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8228b7fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8228c7fffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0
8228d7fffffffff,96.0,5.0,0.0,0.0,0.0,0.0,0.0
8228dffffffffff,20.0,5.0,0.0,0.0,0.0,0.0,0.0
8228f7fffffffff,29.0,3.0,0.0,0.0,0.0,0.0,0.0
822917fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
82291ffffffffff,2.0,1.0,0.0,0.0,0.0,0.0,0.0
822987fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
82298ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
822997fffffffff,10.0,0.0,6.0,0.0,0.0,0.0,0.0
8229a7fffffffff,218.0,2.0,0.0,0.0,0.0,0.0,0.0
8229affffffffff,61.0,0.0,0.0,0.0,0.0,0.0,0.0
8229b7fffffffff,76.0,0.0,16.0,0.0,0.0,0.0,0.0
822a07fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
822a17fffffffff,2056.0,0.0,0.0,41.0,0.0,0.0,0.0
822a1ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
822a37fffffffff,335.0,0.0,0.0,8.0,0.0,0.0,0.0
822a87fffffffff,20.0,0.0,0.0,3.0,0.0,0.0,0.0
822a8ffffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
822a97fffffffff,53.0,0.0,0.0,2.0,0.0,0.0,0.0
822a9ffffffffff,63.0,0.0,0.0,0.0,0.0,0.0,0.0
822aa7fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
822aaffffffffff,328.0,0.0,0.0,11.0,0.0,0.0,0.0
822ab7fffffffff,483.0,0.0,0.0,303.0,0.0,0.0,0.0
822ad7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
822af7fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
822b07fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
822b0ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
822b17fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
822b1ffffffffff,8.0,0.0,0.0,2.0,0.0,0.0,0.0
822b27fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822b37fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
822b87fffffffff,51.0,0.0,0.0,33.0,0.0,0.0,0.0
822b8ffffffffff,493.0,0.0,0.0,367.0,0.0,0.0,0.0
822b97fffffffff,27.0,0.0,0.0,3.0,0.0,0.0,0.0
822b9ffffffffff,731.0,0.0,0.0,636.0,0.0,0.0,0.0
822baffffffffff,132.0,0.0,0.0,36.0,0.0,0.0,0.0
822bb7fffffffff,50.0,0.0,0.0,2.0,0.0,0.0,0.0
82441ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
824447fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
82444ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
824457fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
82445ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
824467fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
82446ffffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
824477fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8244affffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8244c7fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8244cffffffffff,77.0,0.0,0.0,0.0,0.0,0.0,0.0
8244d7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8244dffffffffff,63.0,0.0,0.0,4.0,0.0,0.0,0.0
8244e7fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8244effffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8244f7fffffffff,42.0,0.0,0.0,2.0,0.0,0.0,0.0
824527fffffffff,21.0,0.0,0.0,0.0,0.0,2.0,1.0
82480ffffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0
824817fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82481ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82484ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82485ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
824887fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
82488ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
824897fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
82489ffffffffff,8.0,0.0,0.0,2.0,0.0,0.0,0.0
8248affffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8248b7fffffffff,81.0,0.0,0.0,4.0,0.0,0.0,0.0
8248c7fffffffff,74.0,0.0,0.0,0.0,54.0,0.0,0.0
8248cffffffffff,56.0,0.0,22.0,0.0,0.0,0.0,0.0
8248d7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8248dffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8248e7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8248effffffffff,557.0,0.0,2.0,0.0,251.0,0.0,0.0
8248f7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
824987fffffffff,6.0,0.0,0.0,0.0,6.0,0.0,0.0
824997fffffffff,20.0,0.0,0.0,0.0,6.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8249b7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
826d27fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
826d2ffffffffff,18.0,0.0,0.0,0.0,0.0,1.0,0.0
826d37fffffffff,18.0,0.0,0.0,0.0,8.0,0.0,0.0
826d67fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,2.0
