cell_id,Geospizopsis unicolor,Geospizopsis unicolor nivaria/geospizopsis,Geospizopsis unicolor inca,Geospizopsis unicolor [unicolor Group]
8466c25ffffffff,2.0,0.0,0.0,0.0
8466d1dffffffff,3.0,0.0,0.0,0.0
8466d33ffffffff,1.0,0.0,0.0,0.0
8466de5ffffffff,3.0,0.0,0.0,0.0
8466e09ffffffff,5.0,0.0,0.0,0.0
8466e6dffffffff,3.0,0.0,0.0,0.0
848e663ffffffff,2.0,0.0,0.0,0.0
848f547ffffffff,2.0,0.0,0.0,0.0
848f765ffffffff,5.0,0.0,0.0,0.0
848f769ffffffff,1.0,0.0,0.0,0.0
84b2099ffffffff,3.0,0.0,0.0,0.0
84b25c3ffffffff,3.0,0.0,0.0,0.0
84b2c43ffffffff,1.0,0.0,0.0,0.0
84b2c51ffffffff,1.0,0.0,0.0,0.0
84b2e33ffffffff,1.0,0.0,0.0,0.0
84b2e35ffffffff,2.0,0.0,0.0,0.0
84b35a1ffffffff,7.0,0.0,0.0,0.0
84b3731ffffffff,2.0,0.0,0.0,0.0
84ce9d7ffffffff,2.0,0.0,0.0,0.0
84cf881ffffffff,11.0,0.0,0.0,0.0
84cf887ffffffff,4.0,0.0,0.0,0.0
84cf889ffffffff,2.0,0.0,0.0,0.0
84cf88dffffffff,2.0,0.0,0.0,0.0
84cf8a3ffffffff,8.0,0.0,0.0,0.0
84cf8b5ffffffff,2.0,0.0,0.0,0.0
84cf8bdffffffff,7.0,0.0,0.0,0.0
84cf8c3ffffffff,14.0,0.0,0.0,0.0
84cf8d5ffffffff,5.0,0.0,0.0,0.0
84cf8ddffffffff,2.0,0.0,0.0,0.0
84df683ffffffff,2.0,0.0,0.0,0.0
84df691ffffffff,1.0,0.0,0.0,0.0
