cell_id,Pyrocephalus rubinus,Pyrocephalus rubinus [mexicanus Group],Pyrocephalus rubinus saturatus,Pyrocephalus rubinus [obscurus Group],Pyrocephalus rubinus rubinus
8326d2fffffffff,30.0,0.0,0.0,0.0,0.0
8326d6fffffffff,3.0,0.0,0.0,0.0,0.0
8326d8fffffffff,13.0,0.0,0.0,0.0,0.0
8326d9fffffffff,20.0,0.0,0.0,0.0,0.0
8326dafffffffff,4.0,0.0,0.0,0.0,0.0
8326dbfffffffff,130.0,0.0,0.0,0.0,0.0
832912fffffffff,460.0,0.0,0.0,0.0,0.0
832980fffffffff,47.0,0.0,0.0,0.0,0.0
832981fffffffff,9.0,0.0,0.0,0.0,0.0
832982fffffffff,50.0,0.0,0.0,0.0,0.0
832984fffffffff,119.0,0.0,0.0,0.0,0.0
832985fffffffff,238.0,0.0,0.0,0.0,0.0
832986fffffffff,731.0,0.0,0.0,0.0,0.0
83298cfffffffff,75.0,0.0,0.0,0.0,0.0
83298efffffffff,12.0,0.0,0.0,0.0,0.0
832995fffffffff,559.0,0.0,0.0,0.0,0.0
8329a0fffffffff,3210.0,0.0,0.0,0.0,0.0
8329a1fffffffff,645.0,0.0,0.0,0.0,0.0
8329a2fffffffff,91.0,0.0,0.0,0.0,0.0
8329a3fffffffff,118.0,0.0,0.0,0.0,0.0
8329a4fffffffff,439.0,0.0,0.0,0.0,0.0
8329a5fffffffff,1321.0,0.0,0.0,0.0,0.0
8329a6fffffffff,953.0,0.0,0.0,0.0,0.0
8329a8fffffffff,11.0,0.0,0.0,0.0,0.0
8329aafffffffff,72.0,0.0,0.0,0.0,0.0
8329acfffffffff,23.0,0.0,0.0,0.0,0.0
8329aefffffffff,73.0,0.0,0.0,0.0,0.0
8329b0fffffffff,562.0,0.0,0.0,0.0,0.0
8329b1fffffffff,216.0,0.0,0.0,0.0,0.0
8329b2fffffffff,1149.0,0.0,0.0,0.0,0.0
8329b3fffffffff,45.0,0.0,0.0,0.0,0.0
8329b4fffffffff,35.0,0.0,0.0,0.0,0.0
8329b5fffffffff,958.0,0.0,0.0,0.0,0.0
8329b6fffffffff,2314.0,0.0,0.0,0.0,0.0
834424fffffffff,73.0,0.0,0.0,0.0,0.0
834444fffffffff,121.0,0.0,0.0,0.0,0.0
834445fffffffff,947.0,0.0,0.0,0.0,0.0
834446fffffffff,68.0,0.0,0.0,0.0,0.0
83444cfffffffff,21.0,0.0,0.0,0.0,0.0
83444efffffffff,19.0,0.0,0.0,0.0,0.0
834455fffffffff,1.0,0.0,0.0,0.0,0.0
834463fffffffff,35.0,0.0,0.0,0.0,0.0
834468fffffffff,1.0,0.0,0.0,0.0,0.0
834469fffffffff,1.0,0.0,0.0,0.0,0.0
83446cfffffffff,1408.0,0.0,0.0,0.0,0.0
83446dfffffffff,135.0,0.0,0.0,0.0,0.0
83446efffffffff,380.0,0.0,0.0,0.0,0.0
834471fffffffff,4.0,0.0,0.0,0.0,0.0
834473fffffffff,220.0,0.0,0.0,0.0,0.0
834501fffffffff,2.0,0.0,0.0,0.0,0.0
834505fffffffff,894.0,0.0,0.0,0.0,0.0
834508fffffffff,13.0,1.0,0.0,0.0,0.0
834509fffffffff,550.0,146.0,0.0,0.0,0.0
83450afffffffff,123.0,0.0,0.0,0.0,0.0
83450bfffffffff,1680.0,111.0,0.0,0.0,0.0
83450cfffffffff,24.0,0.0,0.0,0.0,0.0
83450dfffffffff,229.0,30.0,0.0,0.0,0.0
83450efffffffff,10.0,0.0,0.0,0.0,0.0
834519fffffffff,4.0,0.0,0.0,0.0,0.0
834521fffffffff,103.0,0.0,0.0,0.0,0.0
834523fffffffff,577.0,0.0,0.0,0.0,0.0
834528fffffffff,18.0,0.0,0.0,0.0,0.0
834529fffffffff,119.0,5.0,0.0,0.0,0.0
83452afffffffff,4999.0,0.0,0.0,0.0,0.0
83452bfffffffff,17.0,0.0,0.0,0.0,0.0
83452cfffffffff,1640.0,168.0,0.0,0.0,0.0
83452dfffffffff,74.0,9.0,0.0,0.0,0.0
83452efffffffff,3657.0,1.0,0.0,0.0,0.0
834532fffffffff,17.0,0.0,0.0,0.0,0.0
834536fffffffff,231.0,0.0,0.0,0.0,0.0
834569fffffffff,2.0,0.0,0.0,0.0,0.0
83456dfffffffff,24.0,0.0,0.0,0.0,0.0
834572fffffffff,741.0,110.0,0.0,0.0,0.0
834574fffffffff,45.0,3.0,0.0,0.0,0.0
834576fffffffff,51.0,17.0,0.0,0.0,0.0
834801fffffffff,8.0,0.0,0.0,0.0,0.0
834802fffffffff,182.0,0.0,0.0,0.0,0.0
834803fffffffff,28.0,0.0,0.0,0.0,0.0
834805fffffffff,30.0,0.0,0.0,0.0,0.0
834806fffffffff,126.0,0.0,0.0,0.0,0.0
834808fffffffff,17.0,0.0,0.0,0.0,0.0
834809fffffffff,228.0,1.0,0.0,0.0,0.0
