cell_id,Entomyzon cyanotis,Entomyzon cyanotis albipennis,Entomyzon cyanotis [cyanotis Group]
8372f2fffffffff,2.0,0.0,0.0
839418fffffffff,3.0,0.0,0.0
83941bfffffffff,36.0,30.0,0.0
839450fffffffff,407.0,132.0,0.0
839451fffffffff,935.0,315.0,0.0
839453fffffffff,108.0,22.0,0.0
839455fffffffff,19.0,0.0,0.0
839459fffffffff,10.0,0.0,0.0
83945afffffffff,230.0,86.0,0.0
83945bfffffffff,4.0,1.0,0.0
83945cfffffffff,299.0,51.0,0.0
83945dfffffffff,4.0,2.0,0.0
83945efffffffff,137.0,31.0,0.0
8394c1fffffffff,2.0,0.0,0.0
8394c4fffffffff,41.0,3.0,0.0
8394c6fffffffff,3.0,0.0,0.0
8394e2fffffffff,61.0,8.0,0.0
8394e3fffffffff,170.0,23.0,0.0
8394e8fffffffff,139.0,59.0,0.0
8394e9fffffffff,7.0,3.0,0.0
8394eafffffffff,4.0,0.0,0.0
8394ebfffffffff,2.0,0.0,0.0
8394ecfffffffff,1.0,0.0,0.0
8394edfffffffff,876.0,267.0,0.0
8394eefffffffff,74.0,14.0,0.0
8394f0fffffffff,2.0,0.0,0.0
8394f2fffffffff,2.0,0.0,0.0
8394f4fffffffff,8.0,1.0,0.0
8394f5fffffffff,5.0,1.0,0.0
8394f6fffffffff,41.0,2.0,0.0
839c00fffffffff,25.0,0.0,0.0
839c01fffffffff,208.0,0.0,4.0
839c05fffffffff,303.0,0.0,22.0
839c0afffffffff,67.0,0.0,0.0
839c0cfffffffff,2.0,0.0,0.0
839c0dfffffffff,4.0,0.0,0.0
839c0efffffffff,348.0,0.0,12.0
839c19fffffffff,31.0,0.0,0.0
839c20fffffffff,3.0,0.0,0.0
839c21fffffffff,124.0,0.0,1.0
839c23fffffffff,2168.0,0.0,71.0
839c25fffffffff,86.0,0.0,0.0
839c2cfffffffff,258.0,0.0,0.0
839c2dfffffffff,175.0,0.0,0.0
839c2efffffffff,24.0,0.0,0.0
839c41fffffffff,32.0,10.0,0.0
839c43fffffffff,20.0,2.0,0.0
839c44fffffffff,3.0,0.0,0.0
839c45fffffffff,5.0,0.0,0.0
839c4afffffffff,19.0,0.0,0.0
839c4bfffffffff,67.0,16.0,0.0
839c4cfffffffff,1.0,0.0,0.0
839c4efffffffff,9.0,7.0,0.0
839c59fffffffff,2.0,2.0,0.0
839c5afffffffff,15.0,2.0,0.0
839c5dfffffffff,4.0,0.0,0.0
839c66fffffffff,2.0,0.0,0.0
839c74fffffffff,48.0,0.0,0.0
839c75fffffffff,4.0,0.0,0.0
839cc2fffffffff,16.0,0.0,0.0
839ce4fffffffff,29.0,0.0,0.0
839ce6fffffffff,2.0,0.0,0.0
839ce9fffffffff,27.0,1.0,0.0
839cf5fffffffff,2.0,0.0,0.0
839d01fffffffff,320.0,0.0,3.0
839d08fffffffff,9.0,0.0,0.0
839d09fffffffff,24.0,0.0,0.0
839d0afffffffff,29.0,0.0,0.0
839d0bfffffffff,613.0,0.0,0.0
839d0cfffffffff,140.0,0.0,8.0
839d0dfffffffff,4.0,0.0,0.0
839d0efffffffff,91.0,0.0,0.0
839d21fffffffff,492.0,0.0,4.0
839d23fffffffff,15.0,0.0,0.0
839d24fffffffff,59.0,0.0,0.0
839d25fffffffff,107.0,0.0,14.0
839d28fffffffff,100.0,0.0,0.0
839d29fffffffff,32.0,0.0,0.0
839d2afffffffff,48.0,0.0,3.0
839d2bfffffffff,3.0,0.0,0.0
839d2cfffffffff,32.0,0.0,0.0
839d2dfffffffff,45.0,0.0,0.0
839d2efffffffff,22.0,0.0,0.0
839d42fffffffff,4.0,0.0,0.0
839d43fffffffff,2.0,0.0,0.0
