cell_id,Myiarchus swainsoni,Myiarchus swainsoni phaeonotus,Myiarchus swainsoni [swainsoni Group]
846656dffffffff,4.0,0.0,4.0
84665abffffffff,2.0,2.0,0.0
8466c5dffffffff,4.0,0.0,0.0
8466cdbffffffff,1.0,1.0,0.0
8466dc3ffffffff,39.0,0.0,0.0
8466ddbffffffff,2.0,0.0,0.0
8466e0bffffffff,1.0,0.0,0.0
8466e3bffffffff,2.0,0.0,0.0
848af67ffffffff,2.0,0.0,0.0
84a8001ffffffff,1.0,0.0,0.0
84a801bffffffff,1.0,0.0,0.0
84a80c3ffffffff,2.0,0.0,0.0
84a8103ffffffff,1.0,0.0,0.0
84a8105ffffffff,1.0,0.0,0.0
84a8113ffffffff,2.0,0.0,0.0
84a8139ffffffff,2.0,0.0,0.0
84a8143ffffffff,8.0,0.0,0.0
84a8195ffffffff,2.0,0.0,0.0
84a81abffffffff,2.0,0.0,0.0
84a81cdffffffff,6.0,0.0,0.0
84a81d9ffffffff,2.0,0.0,0.0
84a81e9ffffffff,8.0,0.0,0.0
84a81edffffffff,22.0,0.0,0.0
84a8e6bffffffff,4.0,0.0,0.0
84a90c5ffffffff,6.0,0.0,0.0
84a919dffffffff,2.0,0.0,0.0
84a940dffffffff,1.0,0.0,0.0
84a9413ffffffff,1.0,0.0,0.0
84a941bffffffff,3.0,0.0,0.0
84a9425ffffffff,2.0,0.0,0.0
84a9447ffffffff,1.0,0.0,0.0
84a945bffffffff,2.0,0.0,0.0
84a9461ffffffff,3.0,0.0,0.0
84a9465ffffffff,9.0,0.0,0.0
84a94e5ffffffff,3.0,0.0,0.0
84a94e7ffffffff,4.0,0.0,0.0
84a9501ffffffff,5.0,0.0,0.0
84a9507ffffffff,7.0,0.0,0.0
84a9509ffffffff,2.0,0.0,0.0
84a950bffffffff,5.0,0.0,0.0
84a950dffffffff,17.0,0.0,0.0
84a9531ffffffff,9.0,0.0,0.0
84a9533ffffffff,5.0,0.0,0.0
84a953bffffffff,22.0,0.0,0.0
84a955bffffffff,4.0,0.0,0.0
84a95adffffffff,1.0,0.0,0.0
84a95d3ffffffff,1.0,0.0,0.0
84a95edffffffff,7.0,0.0,0.0
84a9611ffffffff,1.0,0.0,0.0
84a9613ffffffff,3.0,0.0,0.0
84a9617ffffffff,5.0,0.0,0.0
84a9619ffffffff,6.0,0.0,0.0
84a9623ffffffff,2.0,0.0,0.0
84a9653ffffffff,1.0,0.0,0.0
84a96adffffffff,1.0,0.0,0.0
84a96e9ffffffff,5.0,0.0,0.0
84a9723ffffffff,1.0,0.0,0.0
84b248bffffffff,7.0,0.0,0.0
84b2499ffffffff,15.0,0.0,0.0
84b249bffffffff,1.0,0.0,0.0
84b249dffffffff,5.0,0.0,0.0
84b24abffffffff,3.0,0.0,0.0
84b24b9ffffffff,3.0,0.0,0.0
84b24cbffffffff,2.0,0.0,0.0
84b24d1ffffffff,22.0,0.0,0.0
84b24d3ffffffff,67.0,0.0,0.0
84b24d5ffffffff,5.0,0.0,0.0
84b24d7ffffffff,2.0,0.0,0.0
84b24d9ffffffff,8.0,0.0,0.0
84b24dbffffffff,23.0,0.0,0.0
84b25cdffffffff,1.0,0.0,1.0
84b2687ffffffff,5.0,0.0,0.0
84b268bffffffff,1.0,0.0,0.0
84b2691ffffffff,3.0,0.0,0.0
84b2693ffffffff,3.0,0.0,0.0
84b26a3ffffffff,2.0,0.0,0.0
84b26abffffffff,2.0,0.0,0.0
84b26b1ffffffff,5.0,0.0,0.0
84b26b9ffffffff,2.0,0.0,0.0
84b26bdffffffff,36.0,0.0,0.0
84b26d1ffffffff,2.0,0.0,0.0
84b26d7ffffffff,8.0,0.0,0.0
84b26ddffffffff,2.0,0.0,0.0
84b2e91ffffffff,3.0,0.0,0.0
84b2ebbffffffff,2.0,0.0,0.0
84b2ec1ffffffff,4.0,0.0,0.0
84b3429ffffffff,1.0,0.0,0.0
84b3461ffffffff,5.0,0.0,0.0
84b3463ffffffff,6.0,0.0,0.0
84b3589ffffffff,2.0,0.0,0.0
84c2c49ffffffff,1.0,0.0,0.0
84c2c53ffffffff,2.0,0.0,0.0
84c2c91ffffffff,3.0,0.0,0.0
84c2c97ffffffff,8.0,0.0,0.0
84c2c99ffffffff,2.0,0.0,0.0
84c2cd3ffffffff,37.0,0.0,0.0
84c2ce9ffffffff,1.0,0.0,0.0
84c2d93ffffffff,1.0,0.0,0.0
84c2e0dffffffff,1.0,0.0,0.0
84c2e21ffffffff,9.0,0.0,0.0
84c2e23ffffffff,5.0,0.0,0.0
84c2e31ffffffff,6.0,0.0,0.0
84c2e37ffffffff,2.0,0.0,0.0
84c2e3bffffffff,1.0,0.0,0.0
84c2e3dffffffff,2.0,0.0,0.0
84c2e99ffffffff,2.0,0.0,0.0
84c2e9bffffffff,2.0,0.0,0.0
84c2ebbffffffff,1.0,0.0,0.0
84c2f11ffffffff,1.0,0.0,0.0
84c329bffffffff,2.0,0.0,0.0
84c3509ffffffff,2.0,0.0,0.0
84c3735ffffffff,2.0,0.0,0.0
84c375dffffffff,4.0,0.0,0.0
84ce935ffffffff,2.0,0.0,0.0
84ce969ffffffff,6.0,0.0,0.0
84ce96bffffffff,4.0,0.0,0.0
84ce98dffffffff,2.0,0.0,0.0
