cell_id,Luscinia svecica,Luscinia svecica [svecica Group],Luscinia svecica azuricollis,Luscinia svecica cyanecula/namnetum,Luscinia svecica magna
8401225ffffffff,3.0,2.0,0.0,0.0,0.0
8401227ffffffff,2.0,0.0,0.0,0.0,0.0
8401261ffffffff,14.0,5.0,0.0,0.0,0.0
8401265ffffffff,19.0,2.0,0.0,0.0,0.0
8401269ffffffff,4.0,0.0,0.0,0.0,0.0
840126dffffffff,18.0,0.0,0.0,0.0,0.0
840130bffffffff,37.0,13.0,0.0,0.0,0.0
8401319ffffffff,6.0,3.0,0.0,0.0,0.0
840131dffffffff,8.0,0.0,0.0,0.0,0.0
8401345ffffffff,1.0,0.0,0.0,0.0,0.0
840134bffffffff,4.0,2.0,0.0,0.0,0.0
8401351ffffffff,37.0,5.0,0.0,0.0,0.0
8401353ffffffff,67.0,6.0,0.0,0.0,0.0
8401355ffffffff,51.0,11.0,0.0,0.0,0.0
8401357ffffffff,35.0,8.0,0.0,0.0,0.0
840135bffffffff,26.0,1.0,0.0,0.0,0.0
8404cddffffffff,2.0,0.0,0.0,0.0,0.0
84058cbffffffff,16.0,16.0,0.0,0.0,0.0
8408101ffffffff,3.0,0.0,0.0,0.0,0.0
8408103ffffffff,5.0,0.0,0.0,0.0,0.0
8408107ffffffff,22.0,0.0,0.0,0.0,0.0
840810dffffffff,1.0,0.0,0.0,0.0,0.0
840811dffffffff,7.0,0.0,0.0,0.0,0.0
8408141ffffffff,4.0,0.0,0.0,0.0,0.0
8408149ffffffff,1.0,0.0,0.0,0.0,0.0
840814dffffffff,23.0,1.0,0.0,0.0,0.0
8408183ffffffff,2.0,0.0,0.0,0.0,0.0
8408193ffffffff,24.0,0.0,0.0,0.0,0.0
840819bffffffff,3.0,0.0,0.0,0.0,0.0
840819dffffffff,3.0,0.0,0.0,0.0,0.0
84081d5ffffffff,20.0,0.0,0.0,0.0,0.0
84081e9ffffffff,2.0,0.0,0.0,0.0,0.0
8408295ffffffff,1.0,0.0,0.0,0.0,0.0
84082b7ffffffff,1.0,0.0,0.0,0.0,0.0
840880bffffffff,2.0,0.0,0.0,0.0,0.0
8408829ffffffff,13.0,1.0,0.0,0.0,0.0
8408863ffffffff,2.0,0.0,0.0,0.0,0.0
8408867ffffffff,2.0,0.0,0.0,0.0,0.0
840886bffffffff,9.0,2.0,0.0,0.0,0.0
8408889ffffffff,4.0,0.0,0.0,0.0,0.0
840888bffffffff,7.0,0.0,0.0,0.0,0.0
8408901ffffffff,11.0,0.0,0.0,0.0,0.0
840890dffffffff,3.0,0.0,0.0,0.0,0.0
8408937ffffffff,2.0,0.0,0.0,0.0,0.0
8408959ffffffff,2.0,0.0,0.0,0.0,0.0
840895bffffffff,2.0,0.0,0.0,0.0,0.0
8408965ffffffff,3.0,0.0,0.0,0.0,0.0
8408985ffffffff,3.0,0.0,0.0,0.0,0.0
8408997ffffffff,3.0,2.0,0.0,0.0,0.0
84089a1ffffffff,2.0,0.0,0.0,0.0,0.0
84089a9ffffffff,5.0,0.0,0.0,0.0,0.0
84089bbffffffff,4.0,3.0,0.0,0.0,0.0
84089c3ffffffff,1.0,1.0,0.0,0.0,0.0
8408a4dffffffff,2.0,2.0,0.0,0.0,0.0
8408a53ffffffff,5.0,0.0,0.0,0.0,0.0
8408a5bffffffff,1.0,0.0,0.0,0.0,0.0
8408b15ffffffff,8.0,0.0,0.0,0.0,0.0
8408b47ffffffff,2.0,0.0,0.0,0.0,0.0
8408c19ffffffff,4.0,0.0,0.0,0.0,0.0
8408c1bffffffff,4.0,2.0,0.0,0.0,0.0
8408c33ffffffff,2.0,0.0,0.0,0.0,0.0
8408c89ffffffff,3.0,3.0,0.0,0.0,0.0
8408c8bffffffff,6.0,2.0,0.0,0.0,0.0
8408c8dffffffff,14.0,8.0,0.0,0.0,0.0
8408c91ffffffff,3.0,0.0,0.0,0.0,0.0
8408c93ffffffff,7.0,0.0,0.0,0.0,0.0
8408c95ffffffff,14.0,0.0,0.0,0.0,0.0
8408c97ffffffff,7.0,0.0,0.0,0.0,0.0
8408c99ffffffff,15.0,1.0,0.0,0.0,0.0
8408cc9ffffffff,4.0,0.0,0.0,0.0,0.0
8408cd3ffffffff,26.0,7.0,0.0,0.0,0.0
8408cd5ffffffff,3.0,0.0,0.0,0.0,0.0
8408cd7ffffffff,1.0,1.0,0.0,0.0,0.0
8408cdbffffffff,3.0,2.0,0.0,0.0,0.0
