cell_id,Diglossa cyanea,Diglossa cyanea [cyanea Group],Diglossa cyanea melanopis
836601fffffffff,3.0,0.0,0.0
836608fffffffff,118.0,0.0,0.0
836609fffffffff,48.0,0.0,0.0
83660afffffffff,12.0,0.0,0.0
83660bfffffffff,531.0,0.0,0.0
83660cfffffffff,199.0,0.0,0.0
83660dfffffffff,48.0,0.0,0.0
836618fffffffff,1046.0,0.0,0.0
836619fffffffff,1235.0,0.0,0.0
83661bfffffffff,3173.0,0.0,0.0
83661dfffffffff,234.0,0.0,0.0
836621fffffffff,115.0,0.0,0.0
836629fffffffff,133.0,0.0,0.0
83662bfffffffff,54.0,0.0,0.0
8366c0fffffffff,130.0,0.0,0.0
8366c2fffffffff,214.0,0.0,0.0
8366c4fffffffff,90.0,0.0,0.0
8366c6fffffffff,552.0,0.0,0.0
8366d0fffffffff,87.0,0.0,0.0
8366d1fffffffff,201.0,0.0,0.0
8366d3fffffffff,6716.0,118.0,0.0
8366d5fffffffff,172.0,0.0,0.0
8366dafffffffff,14.0,0.0,0.0
8366defffffffff,3821.0,145.0,0.0
8366e0fffffffff,1866.0,0.0,0.0
8366e2fffffffff,153.0,0.0,0.0
8366e3fffffffff,8.0,0.0,0.0
8366e4fffffffff,2521.0,0.0,0.0
8366e5fffffffff,671.0,0.0,0.0
8366e6fffffffff,7804.0,0.0,0.0
8366f0fffffffff,4.0,0.0,0.0
8366f1fffffffff,1278.0,0.0,0.0
8366f3fffffffff,21.0,0.0,0.0
8366f5fffffffff,485.0,0.0,0.0
836741fffffffff,3.0,0.0,0.0
83674efffffffff,32.0,0.0,0.0
83675afffffffff,161.0,0.0,0.0
838b20fffffffff,33.0,0.0,0.0
838b21fffffffff,55.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0
838b2cfffffffff,197.0,0.0,0.0
838b2dfffffffff,11.0,0.0,0.0
838b60fffffffff,3.0,0.0,0.0
838b61fffffffff,1762.0,0.0,22.0
838b63fffffffff,1.0,0.0,0.0
838b66fffffffff,10.0,0.0,0.0
838b6cfffffffff,553.0,0.0,2.0
838b75fffffffff,25.0,0.0,0.0
838e60fffffffff,6.0,0.0,0.0
838e61fffffffff,20.0,0.0,0.0
838e64fffffffff,234.0,0.0,0.0
838e65fffffffff,183.0,0.0,0.0
838e6cfffffffff,15.0,0.0,0.0
838e6dfffffffff,53.0,0.0,0.0
838f0dfffffffff,19.0,0.0,0.0
838f29fffffffff,27.0,0.0,0.0
838f2bfffffffff,26.0,0.0,0.0
838f2dfffffffff,87.0,0.0,0.0
838f42fffffffff,90.0,0.0,0.0
838f46fffffffff,100.0,0.0,0.0
838f4afffffffff,85.0,0.0,0.0
838f50fffffffff,18.0,0.0,0.0
838f51fffffffff,4.0,0.0,0.0
838f54fffffffff,86.0,0.0,0.0
838f55fffffffff,351.0,0.0,0.0
838f59fffffffff,116.0,0.0,0.0
838f5cfffffffff,36.0,0.0,0.0
838f5dfffffffff,34.0,0.0,0.0
838f70fffffffff,12.0,0.0,0.0
838f72fffffffff,1170.0,0.0,0.0
838f73fffffffff,329.0,0.0,0.0
838f74fffffffff,18.0,0.0,0.0
838f76fffffffff,751.0,0.0,0.0
83b321fffffffff,31.0,0.0,0.0
83b324fffffffff,1.0,0.0,0.0
83b325fffffffff,178.0,0.0,0.0
