cell_id,Northiella haematogaster,Northiella haematogaster haematogaster/pallescens,Northiella haematogaster haematorrhoa
82b837fffffffff,1.0,0.0,0.0
82b9affffffffff,3.0,3.0,0.0
82be47fffffffff,6.0,0.0,0.0
82be4ffffffffff,9.0,2.0,0.0
82be57fffffffff,21.0,0.0,3.0
82be5ffffffffff,2.0,2.0,0.0
