cell_id,Hylophilus flavipes,Hylophilus flavipes viridiflavus/xuthus,Hylophilus flavipes [flavipes Group],Hylophilus flavipes insularis
825f47fffffffff,40.0,0.0,0.0,0.0
825f4ffffffffff,108.0,0.0,0.0,0.0
825f5ffffffffff,777.0,0.0,0.0,0.0
825f6ffffffffff,13.0,0.0,0.0,0.0
825f77fffffffff,1.0,0.0,0.0,0.0
826607fffffffff,439.0,0.0,0.0,0.0
82660ffffffffff,1394.0,0.0,12.0,0.0
826617fffffffff,337.0,0.0,0.0,0.0
82661ffffffffff,689.0,0.0,0.0,0.0
826627fffffffff,1817.0,0.0,71.0,0.0
82662ffffffffff,84.0,0.0,0.0,0.0
826637fffffffff,244.0,0.0,0.0,0.0
826647fffffffff,3.0,0.0,0.0,0.0
826657fffffffff,414.0,0.0,0.0,0.0
826667fffffffff,56.0,0.0,0.0,0.0
826677fffffffff,78.0,0.0,0.0,0.0
826687fffffffff,37.0,0.0,0.0,0.0
8266a7fffffffff,3409.0,0.0,0.0,0.0
8266b7fffffffff,1777.0,0.0,0.0,0.0
8266c7fffffffff,382.0,0.0,0.0,0.0
8266e7fffffffff,6549.0,0.0,60.0,0.0
8266effffffffff,101.0,0.0,0.0,0.0
8266f7fffffffff,7.0,0.0,0.0,0.0
826747fffffffff,437.0,0.0,35.0,0.0
82674ffffffffff,1138.0,0.0,57.0,0.0
826757fffffffff,501.0,0.0,0.0,0.0
82675ffffffffff,364.0,0.0,0.0,0.0
82676ffffffffff,6.0,0.0,0.0,0.0
82679ffffffffff,1.0,0.0,0.0,0.0
826d6ffffffffff,387.0,0.0,0.0,0.0
