cell_id,Campylorhamphus probatus,Campylorhamphus probatus probatus,Campylorhamphus probatus cardosoi
848a109ffffffff,8.0,4.0,0.0
848a115ffffffff,1.0,0.0,0.0
848a155ffffffff,14.0,3.0,0.0
848a157ffffffff,4.0,4.0,0.0
848a1e5ffffffff,1.0,1.0,0.0
848a337ffffffff,4.0,1.0,0.0
848a809ffffffff,5.0,3.0,0.0
848a833ffffffff,1.0,1.0,0.0
848a91dffffffff,1.0,1.0,0.0
848a92dffffffff,2.0,0.0,2.0
848aa63ffffffff,1.0,0.0,0.0
848aaa3ffffffff,7.0,7.0,0.0
848aaa5ffffffff,4.0,0.0,0.0
848aaadffffffff,14.0,8.0,0.0
848aacbffffffff,1.0,0.0,0.0
848aad5ffffffff,1.0,1.0,0.0
848b821ffffffff,1.0,0.0,1.0
848b845ffffffff,1.0,0.0,1.0
848b881ffffffff,1.0,0.0,0.0
848b8a1ffffffff,1.0,0.0,1.0
848b999ffffffff,11.0,0.0,8.0
848b99dffffffff,3.0,0.0,2.0
848b9d5ffffffff,122.0,0.0,49.0
848b9d7ffffffff,1.0,0.0,0.0
848ba65ffffffff,1.0,0.0,0.0
848bb59ffffffff,1.0,0.0,0.0
84a84a3ffffffff,1.0,0.0,0.0
