cell_id,Geranospiza caerulescens,Geranospiza caerulescens [nigra Group],Geranospiza caerulescens caerulescens,Geranospiza caerulescens gracilis/flexipes
8444249ffffffff,25.0,0.0,0.0,0.0
8445019ffffffff,3.0,0.0,0.0,0.0
8445053ffffffff,2.0,0.0,0.0,0.0
8445059ffffffff,3.0,0.0,0.0,0.0
844505bffffffff,30.0,0.0,0.0,0.0
8445083ffffffff,2.0,0.0,0.0,0.0
8445085ffffffff,9.0,0.0,0.0,0.0
8445087ffffffff,8.0,0.0,0.0,0.0
844508dffffffff,3.0,0.0,0.0,0.0
8445091ffffffff,6.0,3.0,0.0,0.0
8445095ffffffff,11.0,5.0,0.0,0.0
8445097ffffffff,5.0,0.0,0.0,0.0
8445099ffffffff,12.0,0.0,0.0,0.0
844509bffffffff,19.0,7.0,0.0,0.0
84450a1ffffffff,28.0,0.0,0.0,0.0
84450a3ffffffff,12.0,4.0,0.0,0.0
84450a5ffffffff,24.0,2.0,0.0,0.0
84450a7ffffffff,3.0,1.0,0.0,0.0
84450a9ffffffff,2.0,2.0,0.0,0.0
84450abffffffff,2.0,0.0,0.0,0.0
84450adffffffff,1.0,0.0,0.0,0.0
84450b1ffffffff,215.0,18.0,0.0,0.0
84450b5ffffffff,82.0,6.0,0.0,0.0
84450b9ffffffff,11.0,2.0,0.0,0.0
84450bdffffffff,24.0,0.0,0.0,0.0
84450c1ffffffff,4.0,0.0,0.0,0.0
84450c3ffffffff,2.0,0.0,0.0,0.0
84450cdffffffff,14.0,0.0,0.0,0.0
84450d1ffffffff,8.0,0.0,0.0,0.0
84450d3ffffffff,30.0,6.0,0.0,0.0
84450d5ffffffff,72.0,21.0,0.0,0.0
84450d7ffffffff,4.0,0.0,0.0,0.0
84450d9ffffffff,2.0,0.0,0.0,0.0
84450ddffffffff,3.0,0.0,0.0,0.0
84450e1ffffffff,4.0,0.0,0.0,0.0
84450e3ffffffff,14.0,0.0,0.0,0.0
84450ebffffffff,10.0,2.0,0.0,0.0
844519bffffffff,1.0,1.0,0.0,0.0
8445201ffffffff,3.0,0.0,0.0,0.0
8445205ffffffff,25.0,0.0,0.0,0.0
8445207ffffffff,3.0,0.0,0.0,0.0
844520dffffffff,1.0,0.0,0.0,0.0
8445213ffffffff,2.0,0.0,0.0,0.0
8445221ffffffff,4.0,0.0,0.0,0.0
8445225ffffffff,24.0,0.0,0.0,0.0
8445233ffffffff,46.0,0.0,0.0,0.0
844523bffffffff,9.0,0.0,0.0,0.0
8445249ffffffff,16.0,0.0,0.0,0.0
8445263ffffffff,8.0,0.0,0.0,0.0
844526bffffffff,13.0,0.0,0.0,0.0
8445281ffffffff,6.0,0.0,0.0,0.0
8445285ffffffff,4.0,0.0,0.0,0.0
8445287ffffffff,5.0,5.0,0.0,0.0
8445289ffffffff,32.0,0.0,0.0,0.0
844528dffffffff,4.0,0.0,0.0,0.0
844529bffffffff,6.0,0.0,0.0,0.0
84452a1ffffffff,2.0,0.0,0.0,0.0
84452a3ffffffff,5.0,0.0,0.0,0.0
