cell_id,Empidonax traillii,Empidonax traillii traillii,Empidonax traillii brewsteri/adastus,Empidonax traillii extimus
840c415ffffffff,1.0,0.0,0.0,0.0
840c42dffffffff,2.0,0.0,0.0,0.0
840c551ffffffff,1.0,0.0,0.0,0.0
840ca43ffffffff,2.0,0.0,0.0,0.0
840ed95ffffffff,2.0,0.0,0.0,0.0
8412805ffffffff,2.0,0.0,0.0,0.0
8412887ffffffff,2.0,0.0,0.0,0.0
8412891ffffffff,2.0,0.0,2.0,0.0
8412893ffffffff,2.0,0.0,0.0,0.0
841289bffffffff,5.0,0.0,2.0,0.0
84128bdffffffff,13.0,0.0,0.0,0.0
84129d9ffffffff,1.0,0.0,0.0,0.0
8412a25ffffffff,15.0,0.0,0.0,0.0
8412b01ffffffff,9.0,0.0,0.0,0.0
8412c11ffffffff,3.0,0.0,0.0,0.0
8412c1bffffffff,4.0,0.0,0.0,0.0
8412c33ffffffff,4.0,0.0,0.0,0.0
8412c3bffffffff,2.0,0.0,0.0,0.0
8412cb1ffffffff,5.0,0.0,1.0,0.0
8412cc9ffffffff,2.0,0.0,0.0,0.0
8412ce7ffffffff,1.0,0.0,0.0,0.0
8412d11ffffffff,2.0,0.0,0.0,0.0
8412d19ffffffff,2.0,0.0,0.0,0.0
8412d33ffffffff,1.0,0.0,0.0,0.0
8412d89ffffffff,2.0,0.0,0.0,0.0
8412d97ffffffff,7.0,0.0,0.0,0.0
8412db7ffffffff,2.0,0.0,0.0,0.0
8412dbbffffffff,2.0,0.0,0.0,0.0
8412dd7ffffffff,5.0,0.0,0.0,0.0
8412ddbffffffff,8.0,0.0,0.0,0.0
8412de5ffffffff,7.0,0.0,7.0,0.0
8412f11ffffffff,1.0,0.0,0.0,0.0
8413917ffffffff,2.0,0.0,0.0,0.0
84139e1ffffffff,11.0,0.0,0.0,0.0
84139edffffffff,6.0,0.0,0.0,0.0
841aa07ffffffff,2.0,0.0,0.0,0.0
8426085ffffffff,2.0,0.0,0.0,0.0
8426099ffffffff,11.0,0.0,0.0,0.0
84260a1ffffffff,12.0,5.0,0.0,0.0
84260a7ffffffff,1.0,1.0,0.0,0.0
84260a9ffffffff,3.0,3.0,0.0,0.0
84260adffffffff,3.0,0.0,0.0,0.0
84260b3ffffffff,5.0,0.0,0.0,0.0
84260b5ffffffff,1.0,0.0,0.0,0.0
84260b7ffffffff,2.0,0.0,0.0,0.0
84260b9ffffffff,3.0,0.0,0.0,0.0
84260bbffffffff,3.0,0.0,0.0,0.0
8426117ffffffff,1.0,0.0,0.0,0.0
8426197ffffffff,2.0,2.0,0.0,0.0
842619dffffffff,2.0,0.0,0.0,0.0
84261a9ffffffff,2.0,0.0,0.0,0.0
84261b9ffffffff,2.0,2.0,0.0,0.0
842621bffffffff,1.0,1.0,0.0,0.0
8426243ffffffff,2.0,0.0,0.0,0.0
842625bffffffff,2.0,0.0,0.0,0.0
8426269ffffffff,2.0,0.0,0.0,0.0
84262b3ffffffff,2.0,0.0,0.0,0.0
84262c9ffffffff,4.0,0.0,0.0,0.0
84262cdffffffff,7.0,1.0,0.0,0.0
84262ddffffffff,5.0,0.0,0.0,0.0
8426355ffffffff,3.0,0.0,0.0,0.0
8426409ffffffff,6.0,0.0,0.0,0.0
842640dffffffff,4.0,0.0,0.0,0.0
8426417ffffffff,2.0,0.0,0.0,0.0
8426425ffffffff,2.0,0.0,0.0,0.0
8426427ffffffff,1.0,0.0,0.0,0.0
8426429ffffffff,1.0,0.0,0.0,0.0
8426439ffffffff,3.0,0.0,0.0,0.0
842643bffffffff,3.0,0.0,0.0,0.0
8426461ffffffff,3.0,0.0,0.0,0.0
8426463ffffffff,7.0,0.0,0.0,0.0
842646bffffffff,23.0,0.0,0.0,0.0
8426481ffffffff,13.0,0.0,0.0,0.0
8426483ffffffff,2.0,0.0,0.0,0.0
8426489ffffffff,7.0,2.0,0.0,0.0
842648bffffffff,3.0,0.0,0.0,0.0
842648dffffffff,2.0,0.0,0.0,0.0
8426493ffffffff,4.0,0.0,0.0,0.0
842649bffffffff,2.0,0.0,0.0,0.0
84264a1ffffffff,2.0,0.0,0.0,0.0
84264a5ffffffff,5.0,0.0,0.0,0.0
84264a7ffffffff,4.0,0.0,0.0,0.0
84264c3ffffffff,15.0,1.0,0.0,0.0
84264c7ffffffff,21.0,0.0,0.0,0.0
84264d1ffffffff,21.0,0.0,0.0,0.0
84264d9ffffffff,6.0,0.0,0.0,0.0
84264dbffffffff,1.0,0.0,0.0,0.0
84264e5ffffffff,2.0,0.0,0.0,0.0
8426501ffffffff,3.0,0.0,0.0,0.0
8426505ffffffff,3.0,0.0,0.0,0.0
8426509ffffffff,4.0,3.0,0.0,0.0
842651bffffffff,4.0,0.0,0.0,0.0
8426521ffffffff,3.0,0.0,0.0,0.0
842652bffffffff,3.0,0.0,0.0,0.0
8426531ffffffff,2.0,0.0,0.0,0.0
8426533ffffffff,1.0,0.0,0.0,0.0
842653bffffffff,2.0,0.0,0.0,0.0
842653dffffffff,6.0,0.0,0.0,0.0
8426541ffffffff,10.0,0.0,0.0,0.0
8426543ffffffff,4.0,0.0,0.0,0.0
8426547ffffffff,2.0,0.0,0.0,0.0
842654dffffffff,3.0,0.0,0.0,0.0
8426551ffffffff,3.0,0.0,0.0,0.0
8426555ffffffff,3.0,0.0,0.0,0.0
8426557ffffffff,1.0,0.0,0.0,0.0
8426559ffffffff,2.0,0.0,0.0,0.0
8426561ffffffff,1.0,0.0,0.0,0.0
8426567ffffffff,2.0,0.0,0.0,0.0
8426569ffffffff,1.0,0.0,0.0,0.0
8426593ffffffff,2.0,0.0,0.0,0.0
8426599ffffffff,3.0,0.0,0.0,0.0
842659bffffffff,16.0,0.0,0.0,0.0
84265a3ffffffff,4.0,0.0,0.0,0.0
84265a7ffffffff,1.0,0.0,0.0,0.0
84265adffffffff,2.0,0.0,0.0,0.0
84265b5ffffffff,6.0,0.0,0.0,0.0
84265b9ffffffff,1.0,0.0,0.0,0.0
84265cbffffffff,2.0,0.0,0.0,0.0
84265d7ffffffff,2.0,0.0,0.0,0.0
84265dbffffffff,18.0,0.0,0.0,0.0
8426607ffffffff,4.0,0.0,0.0,0.0
8426609ffffffff,3.0,0.0,0.0,0.0
8426621ffffffff,7.0,0.0,0.0,0.0
8426629ffffffff,2.0,2.0,0.0,0.0
842663dffffffff,5.0,0.0,0.0,0.0
8426641ffffffff,18.0,12.0,0.0,0.0
8426645ffffffff,6.0,0.0,0.0,0.0
842664dffffffff,26.0,4.0,0.0,0.0
8426669ffffffff,15.0,0.0,0.0,0.0
842668bffffffff,14.0,0.0,0.0,0.0
