cell_id,Pica pica,Pica pica melanotos,Pica pica [pica Group],Pica pica camtschatica
820887fffffffff,14.0,0.0,14.0,0.0
8208a7fffffffff,6.0,0.0,6.0,0.0
8208b7fffffffff,2.0,0.0,2.0,0.0
8209a7fffffffff,5.0,0.0,3.0,0.0
821617fffffffff,9.0,0.0,0.0,9.0
82184ffffffffff,72.0,0.0,2.0,0.0
82185ffffffffff,74.0,4.0,50.0,0.0
82186ffffffffff,6.0,0.0,6.0,0.0
821947fffffffff,2.0,0.0,2.0,0.0
82194ffffffffff,3.0,0.0,0.0,0.0
821e07fffffffff,5.0,0.0,0.0,0.0
821e0ffffffffff,21.0,0.0,18.0,0.0
821e57fffffffff,5.0,0.0,0.0,0.0
821e5ffffffffff,6.0,0.0,0.0,0.0
821e67fffffffff,2.0,0.0,2.0,0.0
821e6ffffffffff,1.0,0.0,0.0,0.0
821ea7fffffffff,40.0,0.0,24.0,0.0
821ec7fffffffff,27.0,0.0,0.0,0.0
821ecffffffffff,17.0,0.0,2.0,0.0
821edffffffffff,2.0,0.0,0.0,0.0
821ee7fffffffff,4.0,0.0,4.0,0.0
821eeffffffffff,11.0,0.0,2.0,0.0
821ef7fffffffff,1.0,0.0,0.0,0.0
821f07fffffffff,8.0,0.0,6.0,0.0
821f1ffffffffff,9.0,0.0,8.0,0.0
821f2ffffffffff,1.0,0.0,1.0,0.0
821f57fffffffff,3.0,0.0,3.0,0.0
821f87fffffffff,4.0,0.0,0.0,0.0
821f8ffffffffff,11.0,0.0,11.0,0.0
821f9ffffffffff,1.0,0.0,1.0,0.0
821faffffffffff,125.0,0.0,125.0,0.0
821fb7fffffffff,11.0,0.0,1.0,0.0
822017fffffffff,5.0,0.0,1.0,0.0
82202ffffffffff,1.0,0.0,0.0,0.0
822087fffffffff,2.0,0.0,2.0,0.0
82209ffffffffff,26.0,0.0,0.0,0.0
8220a7fffffffff,11.0,0.0,11.0,0.0
8220e7fffffffff,6.0,0.0,0.0,0.0
822157fffffffff,3.0,0.0,0.0,0.0
822457fffffffff,3.0,0.0,0.0,0.0
82250ffffffffff,1.0,0.0,0.0,0.0
822517fffffffff,15.0,0.0,15.0,0.0
822557fffffffff,1.0,0.0,0.0,0.0
82255ffffffffff,6.0,0.0,6.0,0.0
8225affffffffff,5.0,0.0,5.0,0.0
822c07fffffffff,2.0,0.0,0.0,0.0
822c0ffffffffff,8.0,0.0,8.0,0.0
822c2ffffffffff,34.0,0.0,34.0,0.0
822c4ffffffffff,3.0,0.0,0.0,0.0
822cc7fffffffff,5.0,0.0,0.0,0.0
822ce7fffffffff,7.0,0.0,0.0,0.0
822d17fffffffff,1.0,0.0,0.0,0.0
822d1ffffffffff,1.0,0.0,0.0,0.0
822d37fffffffff,5.0,0.0,0.0,0.0
822d67fffffffff,4.0,0.0,0.0,0.0
823827fffffffff,10.0,0.0,0.0,0.0
823907fffffffff,173.0,41.0,0.0,0.0
82390ffffffffff,144.0,113.0,25.0,0.0
823917fffffffff,62.0,7.0,2.0,0.0
82391ffffffffff,82.0,2.0,3.0,0.0
823927fffffffff,55.0,2.0,3.0,0.0
82392ffffffffff,132.0,71.0,14.0,0.0
823937fffffffff,13.0,0.0,0.0,0.0
823947fffffffff,155.0,151.0,2.0,0.0
823957fffffffff,12.0,0.0,0.0,0.0
823967fffffffff,10.0,6.0,2.0,0.0
823977fffffffff,429.0,197.0,0.0,0.0
823d07fffffffff,13.0,0.0,8.0,0.0
823d27fffffffff,27.0,0.0,18.0,0.0
823e67fffffffff,2.0,0.0,0.0,0.0
824367fffffffff,2.0,0.0,0.0,0.0
