cell_id,Turdus torquatus,Turdus torquatus torquatus,Turdus torquatus alpestris,Turdus torquatus amicorum
8401225ffffffff,4.0,0.0,0.0,0.0
840125dffffffff,1.0,1.0,0.0,0.0
8401261ffffffff,3.0,0.0,0.0,0.0
8401265ffffffff,1.0,0.0,0.0,0.0
8401269ffffffff,4.0,0.0,0.0,0.0
840130bffffffff,15.0,5.0,0.0,0.0
8401319ffffffff,6.0,4.0,0.0,0.0
840131dffffffff,3.0,0.0,0.0,0.0
8401351ffffffff,6.0,0.0,0.0,0.0
8401353ffffffff,1.0,0.0,0.0,0.0
8401355ffffffff,9.0,0.0,0.0,0.0
8401357ffffffff,9.0,0.0,0.0,0.0
840135bffffffff,4.0,0.0,0.0,0.0
8408057ffffffff,4.0,0.0,0.0,0.0
8408065ffffffff,1.0,0.0,0.0,0.0
8408103ffffffff,3.0,0.0,0.0,0.0
8408123ffffffff,2.0,0.0,0.0,0.0
8408129ffffffff,8.0,0.0,0.0,0.0
840812dffffffff,1.0,0.0,0.0,0.0
8408137ffffffff,2.0,0.0,0.0,0.0
840814bffffffff,1.0,0.0,0.0,0.0
840814dffffffff,6.0,2.0,0.0,0.0
8408163ffffffff,2.0,0.0,0.0,0.0
840816bffffffff,2.0,0.0,0.0,0.0
8408193ffffffff,6.0,0.0,0.0,0.0
840819bffffffff,2.0,0.0,0.0,0.0
84082dbffffffff,1.0,0.0,0.0,0.0
8408325ffffffff,1.0,0.0,0.0,0.0
8408361ffffffff,2.0,0.0,0.0,0.0
8408365ffffffff,3.0,0.0,0.0,0.0
840836dffffffff,24.0,0.0,0.0,0.0
840880bffffffff,3.0,0.0,0.0,0.0
840880dffffffff,2.0,0.0,0.0,0.0
8408855ffffffff,1.0,0.0,0.0,0.0
8408867ffffffff,4.0,0.0,0.0,0.0
8408889ffffffff,11.0,0.0,0.0,0.0
84088dbffffffff,2.0,0.0,0.0,0.0
8408901ffffffff,6.0,0.0,0.0,0.0
8408997ffffffff,1.0,0.0,0.0,0.0
84089d9ffffffff,2.0,0.0,0.0,0.0
8408a53ffffffff,4.0,0.0,0.0,0.0
8408b47ffffffff,2.0,0.0,0.0,0.0
8408d19ffffffff,6.0,0.0,0.0,0.0
8408e81ffffffff,1.0,0.0,0.0,0.0
8408e89ffffffff,1.0,1.0,0.0,0.0
8408e8bffffffff,6.0,0.0,0.0,0.0
8408e9dffffffff,1.0,0.0,0.0,0.0
8408ea7ffffffff,3.0,0.0,0.0,0.0
8408ec1ffffffff,5.0,0.0,0.0,0.0
8408ecdffffffff,3.0,0.0,0.0,0.0
8408f05ffffffff,1.0,0.0,0.0,0.0
84094b7ffffffff,2.0,0.0,0.0,0.0
8409587ffffffff,4.0,2.0,0.0,0.0
840958bffffffff,2.0,0.0,0.0,0.0
8409599ffffffff,2.0,0.0,0.0,0.0
84095a9ffffffff,4.0,0.0,0.0,0.0
84095adffffffff,4.0,0.0,0.0,0.0
8409805ffffffff,10.0,0.0,0.0,0.0
8409821ffffffff,2.0,0.0,0.0,0.0
8409823ffffffff,3.0,2.0,0.0,0.0
8409835ffffffff,2.0,0.0,0.0,0.0
8409883ffffffff,12.0,2.0,0.0,0.0
8409887ffffffff,1.0,0.0,0.0,0.0
840988bffffffff,1.0,1.0,0.0,0.0
840988dffffffff,1.0,0.0,0.0,0.0
8409893ffffffff,11.0,1.0,0.0,0.0
840989dffffffff,1.0,1.0,0.0,0.0
84098bdffffffff,2.0,2.0,0.0,0.0
84098c7ffffffff,4.0,2.0,0.0,0.0
84098d3ffffffff,1.0,0.0,0.0,0.0
84098d5ffffffff,2.0,0.0,0.0,0.0
84098dbffffffff,1.0,0.0,0.0,0.0
84098ddffffffff,2.0,0.0,0.0,0.0
84098e1ffffffff,5.0,0.0,0.0,0.0
84098e3ffffffff,3.0,0.0,0.0,0.0
84098e9ffffffff,2.0,0.0,0.0,0.0
84098ebffffffff,3.0,0.0,0.0,0.0
840991bffffffff,2.0,0.0,0.0,0.0
8409937ffffffff,2.0,0.0,0.0,0.0
8409993ffffffff,5.0,1.0,0.0,0.0
8409997ffffffff,1.0,1.0,0.0,0.0
84099bdffffffff,2.0,0.0,0.0,0.0
84099e9ffffffff,2.0,0.0,0.0,0.0
8409a09ffffffff,5.0,0.0,0.0,0.0
8409a47ffffffff,6.0,0.0,0.0,0.0
8409a4dffffffff,6.0,0.0,0.0,0.0
8409a55ffffffff,4.0,0.0,0.0,0.0
8409a69ffffffff,6.0,0.0,0.0,0.0
8409a6bffffffff,4.0,0.0,0.0,0.0
8409ab1ffffffff,1.0,0.0,0.0,0.0
841126dffffffff,4.0,0.0,0.0,0.0
8418409ffffffff,2.0,0.0,0.0,0.0
841844dffffffff,2.0,0.0,0.0,0.0
841846dffffffff,26.0,3.0,0.0,0.0
8418493ffffffff,211.0,0.0,42.0,0.0
8418495ffffffff,14.0,0.0,0.0,0.0
8418497ffffffff,8.0,1.0,2.0,0.0
84184b1ffffffff,4.0,0.0,0.0,0.0
84184b3ffffffff,1.0,0.0,0.0,0.0
84184b5ffffffff,3.0,0.0,0.0,0.0
84184b7ffffffff,3.0,0.0,0.0,0.0
84185b3ffffffff,6.0,0.0,0.0,0.0
84185bbffffffff,12.0,0.0,0.0,0.0
84186a3ffffffff,1.0,0.0,0.0,0.0
84186a5ffffffff,1.0,0.0,0.0,0.0
841870dffffffff,16.0,0.0,0.0,0.0
8418717ffffffff,2.0,0.0,0.0,0.0
8418729ffffffff,15.0,0.0,0.0,0.0
841873bffffffff,17.0,0.0,0.0,0.0
8418741ffffffff,2.0,0.0,0.0,0.0
841874bffffffff,3.0,0.0,0.0,0.0
841875dffffffff,2.0,0.0,0.0,0.0
8418763ffffffff,2.0,0.0,0.0,0.0
8419089ffffffff,4.0,4.0,0.0,0.0
841908dffffffff,2.0,0.0,0.0,0.0
8419091ffffffff,2.0,2.0,0.0,0.0
8419099ffffffff,1.0,0.0,0.0,0.0
84190c3ffffffff,4.0,0.0,0.0,0.0
84190c7ffffffff,17.0,0.0,0.0,0.0
84190cbffffffff,1.0,0.0,0.0,0.0
84190d1ffffffff,6.0,0.0,0.0,0.0
84190d3ffffffff,2.0,0.0,0.0,0.0
84190d7ffffffff,2.0,0.0,0.0,0.0
84190d9ffffffff,117.0,18.0,0.0,0.0
84190dbffffffff,35.0,2.0,0.0,0.0
84190ddffffffff,2.0,0.0,0.0,0.0
84192b5ffffffff,2.0,0.0,0.0,0.0
84192cbffffffff,5.0,0.0,0.0,0.0
8419401ffffffff,50.0,5.0,0.0,0.0
8419403ffffffff,6.0,0.0,0.0,0.0
841940dffffffff,18.0,0.0,0.0,0.0
8419411ffffffff,20.0,5.0,0.0,0.0
8419413ffffffff,34.0,6.0,0.0,0.0
8419415ffffffff,38.0,6.0,0.0,0.0
8419417ffffffff,1.0,0.0,0.0,0.0
841941bffffffff,12.0,1.0,0.0,0.0
841941dffffffff,4.0,1.0,0.0,0.0
8419425ffffffff,3.0,2.0,0.0,0.0
8419427ffffffff,88.0,26.0,0.0,0.0
8419429ffffffff,1.0,0.0,0.0,0.0
841942bffffffff,2.0,2.0,0.0,0.0
841942dffffffff,4.0,0.0,0.0,0.0
8419431ffffffff,3.0,2.0,0.0,0.0
8419433ffffffff,2.0,0.0,0.0,0.0
8419435ffffffff,6.0,2.0,0.0,0.0
8419437ffffffff,2.0,0.0,0.0,0.0
