cell_id,Gymnobucco bonapartei,Gymnobucco bonapartei bonapartei,Gymnobucco bonapartei cinereiceps
8358dbfffffffff,2.0,0.0,0.0
836ac0fffffffff,9.0,0.0,0.0
836ac1fffffffff,230.0,0.0,0.0
836ac2fffffffff,1.0,0.0,0.0
836ac3fffffffff,23.0,0.0,0.0
836ac8fffffffff,1.0,0.0,0.0
836accfffffffff,10.0,0.0,0.0
836acdfffffffff,60.0,0.0,0.0
836acefffffffff,1.0,0.0,0.0
836adcfffffffff,1062.0,0.0,0.0
836adefffffffff,12.0,0.0,0.0
836aeafffffffff,10.0,0.0,0.0
836aebfffffffff,1.0,0.0,0.0
836aedfffffffff,1.0,0.0,0.0
837a48fffffffff,17.0,0.0,0.0
837a4cfffffffff,688.0,0.0,48.0
837a4dfffffffff,77.0,0.0,3.0
837a68fffffffff,52.0,0.0,0.0
837a69fffffffff,3.0,0.0,0.0
837a6afffffffff,1.0,0.0,0.0
837a6bfffffffff,11.0,0.0,0.0
838284fffffffff,1.0,0.0,0.0
83828bfffffffff,43.0,0.0,0.0
83828dfffffffff,90.0,3.0,0.0
83828efffffffff,1.0,0.0,0.0
838290fffffffff,1.0,0.0,0.0
8382a0fffffffff,6.0,0.0,0.0
8382a3fffffffff,6.0,0.0,0.0
8382a8fffffffff,4.0,0.0,0.0
8382aafffffffff,3.0,0.0,0.0
8382b4fffffffff,1.0,0.0,0.0
8382d4fffffffff,2.0,0.0,0.0
8382d6fffffffff,1.0,0.0,0.0
8382f0fffffffff,12.0,0.0,0.0
83838afffffffff,1.0,0.0,0.0
838398fffffffff,3.0,0.0,0.0
83968dfffffffff,2.0,0.0,0.0
8396d0fffffffff,1.0,0.0,0.0
8396d2fffffffff,5.0,0.0,0.0
