cell_id,Xiphorhynchus guttatus,Xiphorhynchus guttatus [guttatus Group],Xiphorhynchus guttatus guttatoides/dorbignyanus,Xiphorhynchus guttatus [eytoni Group]
835f01fffffffff,3.0,3.0,0.0,0.0
835f68fffffffff,11.0,0.0,0.0,0.0
8366c2fffffffff,1.0,0.0,0.0,0.0
8366dafffffffff,2.0,0.0,0.0,0.0
838010fffffffff,17.0,0.0,17.0,0.0
83806afffffffff,1.0,0.0,1.0,0.0
838145fffffffff,3.0,3.0,0.0,0.0
838163fffffffff,3.0,3.0,0.0,0.0
838171fffffffff,5.0,3.0,0.0,2.0
838180fffffffff,5.0,1.0,0.0,0.0
838a05fffffffff,1.0,0.0,0.0,1.0
838b0cfffffffff,1.0,0.0,0.0,0.0
838b44fffffffff,4.0,0.0,4.0,0.0
838b51fffffffff,2.0,2.0,0.0,0.0
838b56fffffffff,1.0,0.0,0.0,0.0
838b61fffffffff,2.0,0.0,2.0,0.0
838f76fffffffff,6.0,0.0,0.0,0.0
83a891fffffffff,4.0,3.0,0.0,0.0
