cell_id,Myiarchus nuttingi,Myiarchus nuttingi nuttingi/inquietus,Myiarchus nuttingi flavidior
8429a55ffffffff,7.0,0.0,0.0
8429b09ffffffff,78.0,9.0,0.0
8429b0bffffffff,143.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
844525bffffffff,37.0,14.0,0.0
8445269ffffffff,1.0,0.0,1.0
84480a9ffffffff,2.0,0.0,0.0
84480adffffffff,4.0,0.0,0.0
844814dffffffff,3.0,0.0,0.0
844818bffffffff,3.0,0.0,0.0
84481d5ffffffff,5.0,0.0,0.0
84481d7ffffffff,7.0,0.0,0.0
8448337ffffffff,1.0,0.0,0.0
8448365ffffffff,1.0,0.0,0.0
8448367ffffffff,2.0,0.0,0.0
8448ab3ffffffff,23.0,0.0,0.0
8448c2bffffffff,11.0,0.0,0.0
8448ec7ffffffff,12.0,0.0,0.0
8448ee3ffffffff,272.0,10.0,0.0
8448eebffffffff,12.0,2.0,0.0
8449801ffffffff,2.0,0.0,0.0
8449823ffffffff,3.0,0.0,0.0
8449831ffffffff,1.0,0.0,0.0
8449861ffffffff,1.0,0.0,0.0
8449889ffffffff,6.0,0.0,0.0
844988dffffffff,13.0,0.0,0.0
844991dffffffff,8.0,0.0,0.0
8449941ffffffff,2.0,0.0,0.0
84499c9ffffffff,2.0,0.0,0.0
8449a9bffffffff,4.0,0.0,0.0
8449b33ffffffff,2.0,2.0,0.0
8449b57ffffffff,1.0,1.0,0.0
846d043ffffffff,2.0,0.0,2.0
846d069ffffffff,2.0,2.0,0.0
846d15dffffffff,1.0,0.0,0.0
846d231ffffffff,7.0,0.0,0.0
846d239ffffffff,5.0,0.0,0.0
846d23dffffffff,1.0,0.0,0.0
846d297ffffffff,13.0,3.0,0.0
846d2a3ffffffff,4.0,0.0,0.0
846d2d7ffffffff,18.0,0.0,0.0
846d313ffffffff,27.0,20.0,0.0
846d32bffffffff,2.0,0.0,0.0
846d335ffffffff,1.0,0.0,0.0
846d365ffffffff,2.0,0.0,0.0
846d36dffffffff,14.0,0.0,0.0
846d60dffffffff,1.0,0.0,1.0
846d645ffffffff,25.0,25.0,0.0
846d653ffffffff,3.0,0.0,0.0
846d657ffffffff,2.0,0.0,0.0
846d665ffffffff,2.0,0.0,0.0
846d681ffffffff,3.0,0.0,0.0
846d68bffffffff,1.0,0.0,0.0
846d697ffffffff,14.0,0.0,0.0
846d76dffffffff,4.0,4.0,0.0
