cell_id,Fraseria ocreata,Fraseria ocreata prosphora/kelsalli,Fraseria ocreata ocreata
8454cc3ffffffff,1.0,0.0,0.0
8458833ffffffff,1.0,0.0,0.0
846a9edffffffff,2.0,0.0,0.0
846ac15ffffffff,9.0,0.0,0.0
846ac69ffffffff,1.0,0.0,0.0
846adc1ffffffff,2.0,0.0,0.0
846adc9ffffffff,2.0,0.0,0.0
846aea1ffffffff,153.0,0.0,18.0
846aeabffffffff,8.0,0.0,2.0
8475011ffffffff,1.0,1.0,0.0
8475085ffffffff,73.0,14.0,0.0
8475087ffffffff,39.0,11.0,0.0
847509dffffffff,1.0,0.0,0.0
84750c5ffffffff,1.0,0.0,0.0
84750d1ffffffff,141.0,32.0,0.0
84750d3ffffffff,1.0,0.0,0.0
84750d7ffffffff,4.0,1.0,0.0
84750d9ffffffff,14.0,0.0,0.0
84750ddffffffff,6.0,3.0,0.0
8475191ffffffff,3.0,0.0,0.0
84751d7ffffffff,2.0,0.0,0.0
8475295ffffffff,123.0,29.0,0.0
8475297ffffffff,1.0,0.0,0.0
847529bffffffff,1.0,0.0,0.0
84752abffffffff,49.0,11.0,0.0
84752adffffffff,1.0,0.0,0.0
84752b5ffffffff,21.0,13.0,0.0
84752e9ffffffff,2.0,2.0,0.0
8475a81ffffffff,2.0,0.0,0.0
8475a83ffffffff,3.0,0.0,0.0
8475b01ffffffff,1.0,0.0,0.0
8475b03ffffffff,1.0,0.0,0.0
8475b51ffffffff,1.0,0.0,0.0
8482125ffffffff,4.0,0.0,0.0
8482187ffffffff,3.0,0.0,0.0
848282dffffffff,1.0,0.0,0.0
8482841ffffffff,2.0,0.0,1.0
8482845ffffffff,1.0,0.0,0.0
848284dffffffff,6.0,0.0,1.0
8482853ffffffff,3.0,0.0,0.0
848289bffffffff,1.0,0.0,0.0
84828bdffffffff,1.0,0.0,0.0
84828d1ffffffff,24.0,0.0,0.0
8482909ffffffff,1.0,0.0,0.0
848290bffffffff,4.0,0.0,0.0
8482a09ffffffff,6.0,0.0,0.0
8482a0bffffffff,3.0,0.0,0.0
8482a37ffffffff,6.0,0.0,0.0
8482a55ffffffff,1.0,0.0,0.0
8482a81ffffffff,14.0,0.0,0.0
8482aadffffffff,3.0,0.0,0.0
8482ab3ffffffff,4.0,0.0,0.0
8482ae3ffffffff,1.0,0.0,0.0
8482b0bffffffff,1.0,0.0,0.0
84838adffffffff,2.0,0.0,2.0
8483921ffffffff,2.0,0.0,0.0
