cell_id,Junco phaeonotus,Junco phaeonotus phaeonotus/palliatus,Junco phaeonotus fulvescens,Junco phaeonotus alticola
834802fffffffff,1.0,0.0,0.0,0.0
834810fffffffff,3.0,0.0,0.0,0.0
834811fffffffff,1.0,0.0,0.0,0.0
834814fffffffff,271.0,0.0,0.0,0.0
834815fffffffff,2.0,0.0,0.0,0.0
834818fffffffff,5.0,0.0,0.0,0.0
834819fffffffff,146.0,30.0,0.0,0.0
83481bfffffffff,3.0,0.0,0.0,0.0
83481cfffffffff,9.0,0.0,0.0,0.0
83481dfffffffff,19.0,2.0,0.0,0.0
834832fffffffff,23.0,0.0,0.0,0.0
834833fffffffff,785.0,94.0,0.0,0.0
834836fffffffff,107.0,38.0,0.0,0.0
8348a0fffffffff,51.0,0.0,0.0,0.0
8348a2fffffffff,489.0,0.0,0.0,0.0
8348a6fffffffff,127.0,0.0,0.0,0.0
8348c5fffffffff,11703.0,0.0,0.0,0.0
8348e0fffffffff,19.0,0.0,0.0,0.0
8348e1fffffffff,5.0,0.0,0.0,0.0
8348e2fffffffff,27.0,4.0,0.0,0.0
8348e4fffffffff,135.0,0.0,0.0,0.0
8348e6fffffffff,195.0,13.0,0.0,0.0
8348e8fffffffff,19416.0,0.0,0.0,0.0
8348eafffffffff,686.0,192.0,0.0,0.0
8348ebfffffffff,460.0,0.0,0.0,0.0
8348ecfffffffff,2.0,0.0,0.0,0.0
8348eefffffffff,8128.0,0.0,0.0,0.0
8348f6fffffffff,2.0,0.0,0.0,0.0
834980fffffffff,309.0,99.0,0.0,0.0
834982fffffffff,162.0,0.0,0.0,0.0
834983fffffffff,105.0,4.0,0.0,0.0
834985fffffffff,76.0,0.0,0.0,0.0
834986fffffffff,804.0,85.0,0.0,0.0
834988fffffffff,143.0,0.0,0.0,0.0
834989fffffffff,28.0,0.0,0.0,0.0
83498afffffffff,3.0,0.0,0.0,0.0
83498cfffffffff,20.0,0.0,0.0,0.0
83498dfffffffff,6.0,0.0,0.0,0.0
83498efffffffff,4.0,0.0,0.0,0.0
834990fffffffff,165.0,31.0,0.0,0.0
834991fffffffff,102.0,6.0,0.0,0.0
834994fffffffff,103.0,6.0,0.0,0.0
834995fffffffff,3521.0,589.0,0.0,0.0
834996fffffffff,963.0,213.0,0.0,0.0
834999fffffffff,2.0,0.0,0.0,0.0
83499bfffffffff,24.0,0.0,0.0,0.0
83499cfffffffff,128.0,5.0,0.0,0.0
83499dfffffffff,61.0,2.0,0.0,0.0
8349a8fffffffff,146.0,17.0,0.0,0.0
8349a9fffffffff,8.0,4.0,0.0,0.0
8349aafffffffff,114.0,29.0,0.0,0.0
8349abfffffffff,2.0,2.0,0.0,0.0
8349b0fffffffff,5.0,0.0,0.0,0.0
8349b1fffffffff,99.0,0.0,0.0,0.0
8349b2fffffffff,57.0,4.0,0.0,0.0
8349b3fffffffff,375.0,0.0,0.0,0.0
8349b6fffffffff,5.0,0.0,0.0,0.0
836d05fffffffff,2.0,0.0,0.0,0.0
836d21fffffffff,57.0,0.0,35.0,0.0
836d23fffffffff,376.0,0.0,176.0,0.0
836d28fffffffff,1274.0,0.0,0.0,772.0
836d29fffffffff,236.0,0.0,0.0,165.0
836d2afffffffff,124.0,0.0,0.0,81.0
836d2bfffffffff,14.0,0.0,0.0,5.0
836d2cfffffffff,11.0,0.0,0.0,0.0
836d2efffffffff,36.0,0.0,0.0,1.0
836d30fffffffff,350.0,61.0,0.0,0.0
836d32fffffffff,1425.0,410.0,0.0,0.0
836d33fffffffff,630.0,221.0,0.0,0.0
836d36fffffffff,49.0,0.0,0.0,0.0
