cell_id,Spizella breweri,Spizella breweri breweri,Spizella breweri taverneri
830c65fffffffff,22.0,0.0,22.0
830d4dfffffffff,2.0,0.0,2.0
831214fffffffff,6.0,0.0,3.0
831218fffffffff,2.0,0.0,2.0
83128bfffffffff,5.0,0.0,3.0
8312b0fffffffff,2.0,0.0,1.0
8312c0fffffffff,4.0,0.0,4.0
8312c1fffffffff,23.0,0.0,4.0
8312c2fffffffff,7.0,0.0,0.0
8312c4fffffffff,1.0,0.0,1.0
8312c8fffffffff,6.0,0.0,6.0
8312cafffffffff,1.0,0.0,1.0
8312cbfffffffff,36.0,0.0,33.0
8312ccfffffffff,2.0,0.0,0.0
8312cefffffffff,2.0,2.0,0.0
8312d0fffffffff,9.0,0.0,0.0
8312d1fffffffff,11.0,0.0,0.0
8312d3fffffffff,9.0,0.0,0.0
8312d8fffffffff,6.0,3.0,0.0
8312dafffffffff,9.0,0.0,0.0
8312dbfffffffff,42.0,0.0,0.0
8312ddfffffffff,11.0,0.0,0.0
8312defffffffff,16.0,3.0,0.0
8312e2fffffffff,2.0,0.0,2.0
8312f1fffffffff,2.0,0.0,2.0
831382fffffffff,7.0,0.0,7.0
831383fffffffff,14.0,0.0,0.0
831386fffffffff,23.0,0.0,15.0
83138cfffffffff,4.0,0.0,4.0
831390fffffffff,2.0,0.0,1.0
831394fffffffff,3.0,0.0,1.0
831395fffffffff,1.0,0.0,0.0
8313b2fffffffff,2.0,0.0,2.0
83260afffffffff,2.0,0.0,0.0
832612fffffffff,2.0,0.0,0.0
832616fffffffff,1.0,0.0,0.0
832664fffffffff,2.0,0.0,0.0
832680fffffffff,6.0,0.0,0.0
832681fffffffff,44.0,2.0,0.0
832682fffffffff,1.0,0.0,0.0
832683fffffffff,9.0,0.0,0.0
832685fffffffff,25.0,0.0,0.0
832686fffffffff,2.0,0.0,0.0
832688fffffffff,31.0,9.0,0.0
832689fffffffff,24.0,0.0,0.0
83268afffffffff,18.0,0.0,0.0
83268bfffffffff,2.0,0.0,0.0
83268cfffffffff,95.0,0.0,0.0
83268dfffffffff,20.0,0.0,0.0
83268efffffffff,3.0,0.0,0.0
832690fffffffff,13.0,0.0,2.0
832691fffffffff,7.0,0.0,0.0
832694fffffffff,5.0,0.0,0.0
832695fffffffff,4.0,0.0,0.0
832696fffffffff,95.0,0.0,0.0
832698fffffffff,72.0,6.0,0.0
832699fffffffff,6.0,0.0,0.0
