cell_id,Telophorus viridis,Telophorus viridis viridis,Telophorus viridis [quadricolor Group]
827a77fffffffff,1.0,0.0,0.0
827b4ffffffffff,4.0,0.0,0.0
827b5ffffffffff,113.0,0.0,22.0
8282a7fffffffff,4.0,0.0,0.0
828317fffffffff,12.0,2.0,0.0
82831ffffffffff,4.0,0.0,0.0
8283a7fffffffff,10.0,6.0,0.0
829677fffffffff,10.0,2.0,0.0
829707fffffffff,35.0,0.0,7.0
829717fffffffff,3.0,0.0,0.0
82971ffffffffff,19.0,0.0,4.0
829727fffffffff,5.0,0.0,1.0
82972ffffffffff,65.0,0.0,17.0
829737fffffffff,19.0,0.0,0.0
829797fffffffff,4.0,0.0,0.0
8297affffffffff,1.0,0.0,0.0
82bc1ffffffffff,2.0,0.0,0.0
82bc8ffffffffff,160.0,0.0,66.0
82bc9ffffffffff,19.0,0.0,2.0
82bcd7fffffffff,147.0,0.0,21.0
82bce7fffffffff,1.0,0.0,1.0
82bcf7fffffffff,1048.0,0.0,343.0
