cell_id,Turdus torquatus,Turdus torquatus torquatus,Turdus torquatus alpestris,Turdus torquatus amicorum
84074edffffffff,1.0,0.0,0.0,0.0
84075d1ffffffff,1.0,0.0,0.0,0.0
8407635ffffffff,3.0,0.0,0.0,0.0
8408961ffffffff,2.0,0.0,0.0,0.0
84089e5ffffffff,3.0,0.0,0.0,0.0
8408a53ffffffff,2.0,2.0,0.0,0.0
84098edffffffff,2.0,0.0,0.0,0.0
8409993ffffffff,6.0,4.0,0.0,0.0
8409a47ffffffff,1.0,0.0,0.0,0.0
8418281ffffffff,1.0,1.0,0.0,0.0
841828bffffffff,2.0,0.0,0.0,0.0
841846dffffffff,1.0,1.0,0.0,0.0
8418493ffffffff,5.0,2.0,3.0,0.0
8418495ffffffff,8.0,3.0,0.0,0.0
8418497ffffffff,3.0,0.0,0.0,0.0
84184b3ffffffff,2.0,0.0,0.0,0.0
84184bbffffffff,2.0,0.0,0.0,0.0
8418629ffffffff,2.0,0.0,0.0,0.0
84186c9ffffffff,2.0,0.0,0.0,0.0
84190d9ffffffff,4.0,2.0,0.0,0.0
84192b7ffffffff,2.0,0.0,0.0,0.0
84192cbffffffff,6.0,0.0,0.0,0.0
8419401ffffffff,2.0,0.0,0.0,0.0
8419413ffffffff,2.0,0.0,0.0,0.0
8419427ffffffff,7.0,1.0,0.0,0.0
8419431ffffffff,2.0,0.0,0.0,0.0
8419435ffffffff,1.0,0.0,0.0,0.0
8419481ffffffff,2.0,0.0,0.0,0.0
841948dffffffff,2.0,0.0,0.0,0.0
84194a5ffffffff,3.0,0.0,0.0,0.0
8419525ffffffff,2.0,0.0,0.0,0.0
841955dffffffff,2.0,0.0,0.0,0.0
8419565ffffffff,8.0,2.0,0.0,0.0
8419587ffffffff,1.0,0.0,0.0,0.0
8419589ffffffff,2.0,0.0,0.0,0.0
8419591ffffffff,4.0,0.0,0.0,0.0
8419593ffffffff,2.0,0.0,0.0,0.0
841959bffffffff,1.0,0.0,0.0,0.0
84195d1ffffffff,2.0,0.0,0.0,0.0
84195dbffffffff,2.0,0.0,0.0,0.0
8419683ffffffff,2.0,0.0,0.0,0.0
8419693ffffffff,1.0,0.0,0.0,0.0
841969dffffffff,2.0,0.0,0.0,0.0
84196b9ffffffff,2.0,0.0,0.0,0.0
84196d3ffffffff,2.0,0.0,0.0,0.0
8419731ffffffff,1.0,0.0,0.0,0.0
841e019ffffffff,11.0,0.0,0.0,0.0
841e01dffffffff,1.0,0.0,1.0,0.0
