cell_id,Pipilo maculatus,Pipilo maculatus [oregonus Group],Pipilo maculatus arcticus,Pipilo maculatus [maculatus Group],Pipilo maculatus macronyx,Pipilo maculatus socorroensis
8412583ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8412589ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412591ffffffff,47.0,0.0,0.0,0.0,0.0,0.0
8412595ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8412597ffffffff,201.0,0.0,0.0,0.0,0.0,0.0
841259dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84125adffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84125bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84125d7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84125d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84125dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412891ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412893ffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8412895ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412897ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412899ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
841289bffffffff,35.0,0.0,0.0,0.0,0.0,0.0
84128bdffffffff,564.0,0.0,0.0,0.0,0.0,0.0
84128d3ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
84128dbffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412987ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84129b3ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84129b9ffffffff,25.0,2.0,0.0,0.0,0.0,0.0
84129bbffffffff,22.0,0.0,0.0,0.0,0.0,0.0
84129bdffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412c01ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412c03ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412c07ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412c11ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412c1bffffffff,56.0,0.0,0.0,0.0,0.0,0.0
8412c21ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412c25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412c33ffffffff,51.0,0.0,0.0,0.0,0.0,0.0
8412c35ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412c37ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412c3bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412c81ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8412c8bffffffff,112.0,0.0,0.0,0.0,0.0,0.0
8412c9bffffffff,133.0,0.0,0.0,0.0,0.0,0.0
8412c9dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412ca1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8412ca3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412ca5ffffffff,48.0,0.0,0.0,0.0,0.0,0.0
8412cabffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8412cadffffffff,42.0,0.0,0.0,0.0,0.0,0.0
8412cb1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412cb5ffffffff,31.0,0.0,0.0,0.0,0.0,0.0
8412cbdffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8412cc1ffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8412cc7ffffffff,37.0,0.0,0.0,0.0,0.0,0.0
8412cc9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ccbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ccdffffffff,163.0,0.0,0.0,0.0,0.0,0.0
8412cd7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412cd9ffffffff,49.0,0.0,0.0,0.0,0.0,0.0
8412cdbffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412ce1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ce5ffffffff,59.0,0.0,0.0,0.0,0.0,0.0
8412ce7ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8412d01ffffffff,85.0,0.0,0.0,0.0,0.0,0.0
8412d03ffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8412d05ffffffff,55.0,0.0,0.0,0.0,0.0,0.0
8412d07ffffffff,41.0,0.0,0.0,0.0,0.0,0.0
8412d0bffffffff,101.0,0.0,0.0,0.0,0.0,0.0
8412d0dffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8412d11ffffffff,341.0,0.0,0.0,0.0,0.0,0.0
8412d13ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412d15ffffffff,52.0,0.0,0.0,0.0,0.0,0.0
8412d17ffffffff,1313.0,0.0,0.0,6.0,0.0,0.0
8412d19ffffffff,195.0,0.0,0.0,0.0,0.0,0.0
8412d1bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412d1dffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8412d21ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412d23ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
8412d25ffffffff,30.0,0.0,0.0,0.0,0.0,0.0
8412d27ffffffff,120.0,0.0,0.0,0.0,0.0,0.0
8412d29ffffffff,55.0,0.0,0.0,0.0,0.0,0.0
8412d2bffffffff,22.0,0.0,0.0,0.0,0.0,0.0
8412d2dffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8412d31ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412d33ffffffff,598.0,0.0,0.0,0.0,0.0,0.0
8412d35ffffffff,32.0,0.0,0.0,0.0,0.0,0.0
8412d37ffffffff,90.0,0.0,0.0,0.0,0.0,0.0
8412d39ffffffff,55.0,0.0,0.0,0.0,0.0,0.0
8412d3bffffffff,948.0,0.0,0.0,13.0,0.0,0.0
8412d3dffffffff,107.0,0.0,0.0,0.0,0.0,0.0
8412d41ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8412d45ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412d55ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412d57ffffffff,44.0,0.0,0.0,0.0,0.0,0.0
8412d5dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
