cell_id,Polioptila caerulea,Polioptila caerulea [obscura Group],Polioptila caerulea caerulea,Polioptila caerulea cozumelae
822607fffffffff,419.0,0.0,38.0,0.0
82260ffffffffff,1782.0,0.0,57.0,0.0
822617fffffffff,212.0,0.0,0.0,0.0
82261ffffffffff,53.0,0.0,2.0,0.0
822627fffffffff,727.0,0.0,17.0,0.0
82262ffffffffff,3425.0,0.0,38.0,0.0
822637fffffffff,6.0,0.0,0.0,0.0
822647fffffffff,13073.0,0.0,697.0,0.0
82264ffffffffff,10392.0,0.0,135.0,0.0
822657fffffffff,15235.0,0.0,70.0,0.0
82265ffffffffff,8483.0,0.0,91.0,0.0
822667fffffffff,28837.0,0.0,1121.0,0.0
82266ffffffffff,11716.0,0.0,1017.0,0.0
822677fffffffff,2611.0,0.0,92.0,0.0
822687fffffffff,2379.0,16.0,0.0,0.0
82268ffffffffff,5672.0,133.0,0.0,0.0
822697fffffffff,4180.0,1133.0,0.0,0.0
82269ffffffffff,7037.0,566.0,0.0,0.0
8226a7fffffffff,259.0,2.0,0.0,0.0
8226affffffffff,1900.0,14.0,0.0,0.0
8226b7fffffffff,85.0,6.0,0.0,0.0
8226c7fffffffff,3401.0,0.0,13.0,0.0
8226cffffffffff,7658.0,0.0,0.0,0.0
8226d7fffffffff,730.0,0.0,0.0,0.0
8226dffffffffff,849.0,0.0,0.0,0.0
8226e7fffffffff,4376.0,0.0,32.0,0.0
8226effffffffff,5248.0,0.0,25.0,0.0
8226f7fffffffff,1009.0,0.0,2.0,0.0
82270ffffffffff,10.0,0.0,0.0,0.0
822747fffffffff,1294.0,0.0,4.0,0.0
82274ffffffffff,20649.0,0.0,3.0,0.0
822757fffffffff,2536.0,0.0,46.0,0.0
82275ffffffffff,26645.0,0.0,400.0,0.0
822767fffffffff,295.0,0.0,0.0,0.0
82276ffffffffff,2652.0,0.0,32.0,0.0
82278ffffffffff,4.0,0.0,0.0,0.0
82279ffffffffff,135.0,0.0,0.0,0.0
822807fffffffff,253.0,9.0,0.0,0.0
822817fffffffff,807.0,0.0,0.0,0.0
82281ffffffffff,515.0,2.0,0.0,0.0
822837fffffffff,13418.0,290.0,0.0,0.0
822887fffffffff,389.0,0.0,0.0,0.0
822897fffffffff,48.0,2.0,0.0,0.0
8228a7fffffffff,115.0,0.0,0.0,0.0
8228affffffffff,320.0,0.0,0.0,0.0
8228b7fffffffff,942.0,82.0,0.0,0.0
822917fffffffff,5587.0,0.0,0.0,0.0
82291ffffffffff,1731.0,418.0,0.0,0.0
822987fffffffff,2459.0,28.0,0.0,0.0
82298ffffffffff,2222.0,11.0,0.0,0.0
822997fffffffff,3416.0,389.0,0.0,0.0
82299ffffffffff,237.0,23.0,0.0,0.0
8229a7fffffffff,41908.0,287.0,0.0,0.0
8229affffffffff,8211.0,77.0,0.0,0.0
8229b7fffffffff,2494.0,295.0,0.0,0.0
822a07fffffffff,14.0,0.0,0.0,0.0
822a17fffffffff,45687.0,0.0,1441.0,0.0
822a37fffffffff,20749.0,0.0,2189.0,0.0
822a87fffffffff,10686.0,0.0,611.0,0.0
822a8ffffffffff,35231.0,0.0,853.0,0.0
822a97fffffffff,25217.0,0.0,103.0,0.0
822a9ffffffffff,6390.0,0.0,229.0,0.0
822aa7fffffffff,14234.0,0.0,1292.0,0.0
822aaffffffffff,93829.0,0.0,4882.0,0.0
822ab7fffffffff,55376.0,0.0,1314.0,0.0
822ad7fffffffff,8784.0,0.0,305.0,0.0
822af7fffffffff,11537.0,0.0,683.0,0.0
822b1ffffffffff,224.0,0.0,9.0,0.0
822b8ffffffffff,3216.0,0.0,278.0,0.0
822b9ffffffffff,8846.0,0.0,739.0,0.0
822baffffffffff,209.0,0.0,2.0,0.0
824417fffffffff,32135.0,0.0,1596.0,0.0
82441ffffffffff,36507.0,0.0,1076.0,0.0
824437fffffffff,489.0,0.0,0.0,0.0
824447fffffffff,16918.0,0.0,1.0,0.0
82444ffffffffff,4006.0,0.0,17.0,0.0
824457fffffffff,11437.0,0.0,121.0,0.0
82445ffffffffff,2492.0,0.0,158.0,0.0
824467fffffffff,1124.0,0.0,0.0,0.0
82446ffffffffff,24669.0,0.0,118.0,0.0
824477fffffffff,2545.0,0.0,0.0,0.0
824487fffffffff,721.0,0.0,0.0,0.0
8244a7fffffffff,17526.0,0.0,786.0,0.0
8244affffffffff,48880.0,0.0,1970.0,0.0
8244b7fffffffff,234.0,0.0,0.0,0.0
8244c7fffffffff,16214.0,0.0,1295.0,0.0
8244cffffffffff,13084.0,0.0,423.0,0.0
8244d7fffffffff,23179.0,0.0,514.0,0.0
8244dffffffffff,19020.0,0.0,1053.0,0.0
8244e7fffffffff,10566.0,0.0,564.0,0.0
8244effffffffff,4318.0,0.0,130.0,0.0
8244f7fffffffff,39670.0,0.0,1358.0,0.0
824507fffffffff,189.0,0.0,0.0,0.0
82450ffffffffff,10192.0,0.0,0.0,929.0
82451ffffffffff,83.0,0.0,0.0,11.0
824527fffffffff,761.0,0.0,0.0,0.0
82452ffffffffff,9782.0,9.0,0.0,0.0
824537fffffffff,22.0,0.0,0.0,0.0
824577fffffffff,570.0,12.0,0.0,0.0
824587fffffffff,51.0,0.0,0.0,0.0
82458ffffffffff,1921.0,0.0,0.0,0.0
824597fffffffff,85.0,0.0,0.0,0.0
82459ffffffffff,170.0,0.0,0.0,0.0
824807fffffffff,741.0,0.0,0.0,0.0
82480ffffffffff,2129.0,48.0,4.0,0.0
824817fffffffff,518.0,0.0,0.0,0.0
82481ffffffffff,125.0,0.0,0.0,0.0
824827fffffffff,484.0,1.0,0.0,0.0
82482ffffffffff,1791.0,17.0,0.0,0.0
824837fffffffff,9375.0,15.0,0.0,0.0
824847fffffffff,264.0,0.0,0.0,0.0
82484ffffffffff,102.0,0.0,0.0,0.0
824857fffffffff,335.0,1.0,0.0,0.0
82485ffffffffff,2285.0,80.0,0.0,0.0
824877fffffffff,702.0,0.0,0.0,0.0
824887fffffffff,7301.0,25.0,22.0,0.0
82488ffffffffff,1925.0,0.0,0.0,0.0
824897fffffffff,11846.0,0.0,111.0,0.0
82489ffffffffff,28317.0,0.0,3.0,0.0
8248a7fffffffff,3288.0,0.0,0.0,0.0
8248affffffffff,3430.0,18.0,0.0,0.0
8248b7fffffffff,38205.0,0.0,484.0,0.0
8248c7fffffffff,4630.0,498.0,0.0,0.0
8248cffffffffff,1572.0,211.0,0.0,0.0
8248d7fffffffff,816.0,19.0,0.0,0.0
8248dffffffffff,5242.0,80.0,0.0,0.0
8248e7fffffffff,292.0,27.0,1.0,0.0
8248effffffffff,18577.0,2071.0,0.0,0.0
8248f7fffffffff,550.0,0.0,0.0,0.0
824987fffffffff,2877.0,45.0,0.0,0.0
82498ffffffffff,426.0,0.0,0.0,0.0
824997fffffffff,16849.0,205.0,0.0,0.0
82499ffffffffff,1365.0,0.0,0.0,0.0
8249a7fffffffff,202.0,0.0,0.0,0.0
8249affffffffff,6623.0,250.0,0.0,0.0
8249b7fffffffff,2005.0,4.0,0.0,0.0
824c87fffffffff,221.0,0.0,0.0,0.0
824c9ffffffffff,164.0,0.0,0.0,0.0
824caffffffffff,17.0,0.0,0.0,0.0
826d07fffffffff,385.0,0.0,0.0,0.0
826d17fffffffff,1052.0,0.0,0.0,0.0
826d27fffffffff,2273.0,10.0,0.0,0.0
826d2ffffffffff,2010.0,0.0,0.0,0.0
826d37fffffffff,6397.0,19.0,0.0,0.0
826d67fffffffff,21.0,0.0,2.0,0.0
826d77fffffffff,44.0,0.0,0.0,0.0
