cell_id,Amazona leucocephala,Amazona leucocephala leucocephala,Amazona leucocephala bahamensis,Amazona leucocephala caymanensis/hesterna
8444305ffffffff,1.0,0.0,0.0,0.0
844430dffffffff,8.0,4.0,0.0,0.0
8444325ffffffff,35.0,8.0,0.0,0.0
8444347ffffffff,3.0,0.0,0.0,0.0
844434bffffffff,35.0,11.0,0.0,0.0
8444363ffffffff,5.0,5.0,0.0,0.0
8444861ffffffff,8.0,0.0,5.0,0.0
8444869ffffffff,139.0,0.0,7.0,0.0
844486bffffffff,1.0,0.0,0.0,0.0
844486dffffffff,43.0,0.0,3.0,0.0
8444b13ffffffff,16.0,0.0,0.0,0.0
8444b17ffffffff,128.0,0.0,40.0,0.0
8444b57ffffffff,43.0,0.0,43.0,0.0
84451b7ffffffff,9.0,3.0,0.0,0.0
8445833ffffffff,25.0,23.0,0.0,0.0
8445847ffffffff,104.0,0.0,0.0,9.0
8445889ffffffff,1132.0,551.0,0.0,0.0
844588bffffffff,2.0,0.0,0.0,0.0
8445899ffffffff,1.0,0.0,0.0,0.0
84458c3ffffffff,48.0,22.0,0.0,0.0
84458c7ffffffff,721.0,367.0,0.0,0.0
84458d5ffffffff,122.0,79.0,0.0,0.0
84458e1ffffffff,13.0,0.0,0.0,0.0
84458ebffffffff,4.0,1.0,0.0,0.0
84458edffffffff,80.0,35.0,0.0,0.0
8445909ffffffff,4.0,0.0,0.0,0.0
844590dffffffff,2.0,0.0,0.0,0.0
8445911ffffffff,269.0,116.0,0.0,0.0
8445917ffffffff,1.0,0.0,0.0,0.0
8445989ffffffff,12.0,3.0,0.0,0.0
844598bffffffff,5.0,0.0,0.0,0.0
84459c3ffffffff,11.0,3.0,0.0,0.0
84459d9ffffffff,5.0,5.0,0.0,0.0
84459dbffffffff,3.0,3.0,0.0,0.0
84459e9ffffffff,22.0,19.0,0.0,0.0
8445a33ffffffff,1262.0,0.0,0.0,376.0
844c833ffffffff,4.0,0.0,0.0,0.0
844c837ffffffff,116.0,0.0,2.0,0.0
844c933ffffffff,4.0,4.0,0.0,0.0
844c989ffffffff,11.0,9.0,0.0,0.0
844c98dffffffff,47.0,29.0,0.0,0.0
844c9adffffffff,4.0,0.0,0.0,0.0
844c9d5ffffffff,2.0,0.0,0.0,0.0
844c9e3ffffffff,2.0,0.0,0.0,0.0
