cell_id,Pachycephala homeyeri,Pachycephala homeyeri homeyeri,Pachycephala homeyeri major,Pachycephala homeyeri winchelli
84681b1ffffffff,2.0,0.0,0.0,0.0
84681b9ffffffff,1.0,1.0,0.0,0.0
84681bdffffffff,4.0,1.0,0.0,0.0
84681ddffffffff,1.0,0.0,0.0,0.0
8468445ffffffff,1.0,0.0,1.0,0.0
8468449ffffffff,2.0,0.0,2.0,0.0
846846dffffffff,1.0,0.0,0.0,1.0
846856bffffffff,29.0,6.0,0.0,2.0
8468621ffffffff,4.0,0.0,0.0,4.0
