cell_id,Platyrinchus mystaceus,Platyrinchus mystaceus [albogularis Group],Platyrinchus mystaceus [mystaceus Group]
845f5b5ffffffff,79.0,0.0,0.0
8466139ffffffff,3.0,0.0,0.0
846675dffffffff,4.0,0.0,0.0
8466a05ffffffff,3.0,0.0,0.0
8466a33ffffffff,2.0,0.0,0.0
8466b51ffffffff,4.0,0.0,0.0
8466d31ffffffff,8.0,0.0,0.0
8466d35ffffffff,1.0,0.0,0.0
8466de3ffffffff,4.0,4.0,0.0
84674a7ffffffff,1.0,0.0,0.0
8467519ffffffff,3.0,0.0,0.0
84675a9ffffffff,1.0,0.0,0.0
84675c7ffffffff,2.0,0.0,0.0
84675e3ffffffff,2.0,0.0,0.0
84679a5ffffffff,1.0,0.0,0.0
846d681ffffffff,3.0,0.0,0.0
8480363ffffffff,1.0,0.0,1.0
8481439ffffffff,4.0,0.0,0.0
848b229ffffffff,1.0,0.0,0.0
848b6edffffffff,7.0,0.0,0.0
848b75bffffffff,5.0,0.0,0.0
848f0d1ffffffff,2.0,0.0,0.0
848f4b3ffffffff,3.0,0.0,0.0
84a9507ffffffff,3.0,0.0,0.0
84a9531ffffffff,2.0,0.0,0.0
84a9539ffffffff,2.0,0.0,0.0
84a953bffffffff,7.0,0.0,0.0
84a9719ffffffff,4.0,0.0,0.0
