cell_id,Eudynamys orientalis,Eudynamys orientalis [orientalis Group],Eudynamys orientalis cyanocephalus/subcyanocephalus
8472901ffffffff,4.0,0.0,0.0
8472905ffffffff,1.0,0.0,0.0
84729dbffffffff,10.0,7.0,0.0
8472a07ffffffff,2.0,0.0,0.0
8472a2bffffffff,114.0,25.0,0.0
8472d23ffffffff,43.0,2.0,2.0
8472d53ffffffff,1.0,0.0,0.0
8472d97ffffffff,4.0,0.0,0.0
8472db3ffffffff,9.0,0.0,0.0
8472dbbffffffff,24.0,0.0,0.0
8472f23ffffffff,20.0,4.0,0.0
8472f35ffffffff,1.0,1.0,0.0
84739a3ffffffff,1.0,0.0,0.0
84739abffffffff,8.0,0.0,0.0
84739b1ffffffff,18.0,2.0,0.0
84739b5ffffffff,8.0,0.0,0.0
847699dffffffff,6.0,0.0,0.0
84769d1ffffffff,2.0,0.0,0.0
84779bdffffffff,1.0,1.0,0.0
8494049ffffffff,1.0,0.0,0.0
849404dffffffff,1.0,0.0,0.0
8494159ffffffff,2.0,0.0,2.0
84941bdffffffff,20.0,0.0,2.0
8494213ffffffff,2.0,0.0,0.0
849421bffffffff,8.0,0.0,0.0
8494235ffffffff,3.0,0.0,0.0
8494237ffffffff,5.0,0.0,0.0
8494257ffffffff,2.0,0.0,0.0
84942c1ffffffff,11.0,7.0,0.0
84942c5ffffffff,2.0,0.0,0.0
84942d1ffffffff,2.0,2.0,0.0
84942d3ffffffff,16.0,1.0,0.0
8494501ffffffff,4.0,0.0,0.0
8494503ffffffff,32.0,0.0,6.0
8494505ffffffff,4.0,0.0,0.0
8494507ffffffff,4.0,0.0,0.0
849450bffffffff,20.0,0.0,8.0
8494511ffffffff,56.0,0.0,11.0
8494513ffffffff,1.0,0.0,1.0
8494515ffffffff,24.0,0.0,5.0
8494517ffffffff,15.0,0.0,7.0
849451dffffffff,404.0,0.0,58.0
8494533ffffffff,5.0,0.0,4.0
8494535ffffffff,8.0,0.0,2.0
8494537ffffffff,8.0,0.0,0.0
8494539ffffffff,28.0,0.0,6.0
8494559ffffffff,3.0,0.0,0.0
849458dffffffff,2.0,0.0,2.0
84945a5ffffffff,12.0,0.0,3.0
84945a7ffffffff,3.0,0.0,3.0
84945adffffffff,23.0,0.0,5.0
84945c3ffffffff,25.0,0.0,10.0
84945c5ffffffff,6.0,0.0,2.0
84945c7ffffffff,64.0,0.0,9.0
84945e3ffffffff,12.0,0.0,8.0
84945e5ffffffff,93.0,0.0,27.0
84945ebffffffff,29.0,0.0,9.0
8494601ffffffff,14.0,0.0,0.0
849466dffffffff,6.0,0.0,0.0
8494899ffffffff,2.0,0.0,0.0
84948d9ffffffff,2.0,0.0,0.0
8494c5bffffffff,4.0,0.0,0.0
8494c69ffffffff,1.0,0.0,0.0
8494c91ffffffff,1.0,0.0,0.0
8494d45ffffffff,2.0,0.0,2.0
8494d5dffffffff,2.0,0.0,0.0
8494e23ffffffff,9.0,0.0,0.0
8494e25ffffffff,2.0,0.0,0.0
8494e27ffffffff,2.0,0.0,2.0
8494e29ffffffff,2.0,0.0,0.0
8494e2bffffffff,4.0,0.0,0.0
8494e35ffffffff,32.0,0.0,0.0
8494e3dffffffff,13.0,0.0,2.0
8494e81ffffffff,4.0,0.0,4.0
8494e85ffffffff,11.0,0.0,6.0
8494e87ffffffff,2.0,0.0,0.0
8494e8bffffffff,1.0,0.0,1.0
8494ed1ffffffff,4.0,0.0,2.0
8494ed3ffffffff,149.0,0.0,70.0
8494ed7ffffffff,8.0,0.0,8.0
8494edbffffffff,40.0,0.0,7.0
8494ee1ffffffff,2.0,0.0,0.0
8494ee7ffffffff,17.0,0.0,8.0
8494f5dffffffff,4.0,0.0,2.0
8494f63ffffffff,3.0,0.0,0.0
8494f65ffffffff,3.0,0.0,0.0
8494f69ffffffff,1.0,0.0,0.0
8495449ffffffff,15.0,4.0,0.0
849544bffffffff,7.0,0.0,0.0
849545bffffffff,3.0,0.0,0.0
8495525ffffffff,2.0,0.0,0.0
8495531ffffffff,1.0,0.0,0.0
8495533ffffffff,15.0,2.0,0.0
8495537ffffffff,16.0,1.0,0.0
84955a1ffffffff,3.0,0.0,0.0
84956a3ffffffff,1.0,0.0,0.0
84956a5ffffffff,4.0,0.0,0.0
84956abffffffff,12.0,0.0,0.0
84956bdffffffff,90.0,9.0,0.0
84956c3ffffffff,5.0,0.0,0.0
8495a99ffffffff,22.0,0.0,0.0
849c003ffffffff,3.0,0.0,3.0
