cell_id,Pheucticus chrysopeplus,Pheucticus chrysopeplus chrysopeplus/dilutus,Pheucticus chrysopeplus aurantiacus
8426887ffffffff,106.0,0.0,0.0
844525bffffffff,35.0,0.0,11.0
84480a3ffffffff,1.0,1.0,0.0
84480a9ffffffff,1.0,0.0,0.0
84480adffffffff,2.0,0.0,0.0
844832bffffffff,2.0,2.0,0.0
8448331ffffffff,4.0,4.0,0.0
8448333ffffffff,1.0,1.0,0.0
8448337ffffffff,4.0,4.0,0.0
8448361ffffffff,2.0,2.0,0.0
8448837ffffffff,90.0,5.0,0.0
8448c59ffffffff,4.0,0.0,0.0
8448d03ffffffff,1.0,0.0,0.0
8448d89ffffffff,8.0,0.0,0.0
8448e49ffffffff,2.0,2.0,0.0
8448e81ffffffff,1.0,0.0,0.0
8448ebbffffffff,2.0,0.0,0.0
8448ec7ffffffff,6.0,0.0,0.0
8448ee9ffffffff,5.0,2.0,0.0
8448eebffffffff,4.0,2.0,0.0
844986dffffffff,2.0,2.0,0.0
8449a3dffffffff,4.0,0.0,0.0
8449a89ffffffff,4.0,0.0,0.0
8449a8bffffffff,1.0,1.0,0.0
8449a93ffffffff,2.0,2.0,0.0
8449b35ffffffff,3.0,3.0,0.0
8449b37ffffffff,2.0,2.0,0.0
846d05bffffffff,10.0,0.0,8.0
846d239ffffffff,2.0,0.0,0.0
846d23bffffffff,4.0,0.0,3.0
846d285ffffffff,2.0,0.0,0.0
846d287ffffffff,37.0,0.0,13.0
846d291ffffffff,2.0,0.0,0.0
846d299ffffffff,5.0,0.0,1.0
846d2a9ffffffff,2.0,0.0,1.0
846d2abffffffff,9.0,0.0,1.0
846d2e3ffffffff,2.0,0.0,0.0
846d2ebffffffff,4.0,0.0,0.0
846d32bffffffff,6.0,0.0,0.0
846d367ffffffff,6.0,0.0,0.0
