cell_id,Falco tinnunculus,Falco tinnunculus [tinnunculus Group],Falco tinnunculus canariensis/dacotiae,Falco tinnunculus neglectus/alexandri,Falco tinnunculus rufescens
830126fffffffff,32.0,0.0,0.0,0.0,0.0
830130fffffffff,4.0,1.0,0.0,0.0,0.0
830131fffffffff,1.0,0.0,0.0,0.0,0.0
830134fffffffff,4.0,0.0,0.0,0.0,0.0
830135fffffffff,53.0,2.0,0.0,0.0,0.0
830806fffffffff,11.0,0.0,0.0,0.0,0.0
830810fffffffff,12.0,0.0,0.0,0.0,0.0
830811fffffffff,10.0,0.0,0.0,0.0,0.0
830812fffffffff,29.0,2.0,0.0,0.0,0.0
830813fffffffff,2.0,0.0,0.0,0.0,0.0
830814fffffffff,29.0,0.0,0.0,0.0,0.0
830816fffffffff,6.0,0.0,0.0,0.0,0.0
830819fffffffff,3.0,0.0,0.0,0.0,0.0
83081efffffffff,19.0,0.0,0.0,0.0,0.0
830833fffffffff,6.0,0.0,0.0,0.0,0.0
830836fffffffff,14.0,2.0,0.0,0.0,0.0
830880fffffffff,41.0,0.0,0.0,0.0,0.0
830882fffffffff,4.0,0.0,0.0,0.0,0.0
830883fffffffff,6.0,0.0,0.0,0.0,0.0
830884fffffffff,17.0,0.0,0.0,0.0,0.0
830885fffffffff,6.0,0.0,0.0,0.0,0.0
830886fffffffff,130.0,0.0,0.0,0.0,0.0
830888fffffffff,51.0,4.0,0.0,0.0,0.0
830889fffffffff,5.0,0.0,0.0,0.0,0.0
83088afffffffff,18.0,2.0,0.0,0.0,0.0
83088efffffffff,9.0,7.0,0.0,0.0,0.0
830890fffffffff,5.0,0.0,0.0,0.0,0.0
830893fffffffff,24.0,0.0,0.0,0.0,0.0
830895fffffffff,17.0,0.0,0.0,0.0,0.0
830896fffffffff,11.0,0.0,0.0,0.0,0.0
830898fffffffff,50.0,1.0,0.0,0.0,0.0
830899fffffffff,87.0,16.0,0.0,0.0,0.0
83089afffffffff,57.0,0.0,0.0,0.0,0.0
83089bfffffffff,14.0,0.0,0.0,0.0,0.0
83089cfffffffff,4.0,0.0,0.0,0.0,0.0
83089dfffffffff,20.0,4.0,0.0,0.0,0.0
83089efffffffff,27.0,0.0,0.0,0.0,0.0
8308a2fffffffff,6.0,0.0,0.0,0.0,0.0
8308a3fffffffff,2.0,0.0,0.0,0.0,0.0
8308a4fffffffff,12.0,0.0,0.0,0.0,0.0
8308a5fffffffff,10.0,0.0,0.0,0.0,0.0
8308a6fffffffff,6.0,0.0,0.0,0.0,0.0
8308a9fffffffff,1.0,0.0,0.0,0.0,0.0
8308aefffffffff,2.0,0.0,0.0,0.0,0.0
8308b0fffffffff,15.0,0.0,0.0,0.0,0.0
8308b1fffffffff,26.0,0.0,0.0,0.0,0.0
8308b3fffffffff,2.0,0.0,0.0,0.0,0.0
8308b4fffffffff,4.0,0.0,0.0,0.0,0.0
8308b5fffffffff,8.0,0.0,0.0,0.0,0.0
8308b6fffffffff,2.0,0.0,0.0,0.0,0.0
8308c0fffffffff,7.0,0.0,0.0,0.0,0.0
8308c1fffffffff,2.0,0.0,0.0,0.0,0.0
8308c2fffffffff,15.0,4.0,0.0,0.0,0.0
8308c3fffffffff,1.0,0.0,0.0,0.0,0.0
8308c6fffffffff,1.0,0.0,0.0,0.0,0.0
8308c8fffffffff,10.0,0.0,0.0,0.0,0.0
8308c9fffffffff,8.0,0.0,0.0,0.0,0.0
8308ccfffffffff,2.0,0.0,0.0,0.0,0.0
8308cdfffffffff,24.0,0.0,0.0,0.0,0.0
8308cefffffffff,7.0,1.0,0.0,0.0,0.0
8308d0fffffffff,17.0,0.0,0.0,0.0,0.0
8308d1fffffffff,49.0,5.0,0.0,0.0,0.0
8308d2fffffffff,2.0,0.0,0.0,0.0,0.0
8308d3fffffffff,7.0,0.0,0.0,0.0,0.0
8308d4fffffffff,9.0,0.0,0.0,0.0,0.0
8308d5fffffffff,37.0,6.0,0.0,0.0,0.0
8308d8fffffffff,34.0,0.0,0.0,0.0,0.0
8308dafffffffff,1.0,0.0,0.0,0.0,0.0
8308ddfffffffff,1.0,0.0,0.0,0.0,0.0
8308defffffffff,1.0,1.0,0.0,0.0,0.0
8308e1fffffffff,3.0,0.0,0.0,0.0,0.0
8308e8fffffffff,2.0,0.0,0.0,0.0,0.0
8308e9fffffffff,3.0,0.0,0.0,0.0,0.0
8308eafffffffff,2.0,2.0,0.0,0.0,0.0
8308ebfffffffff,2.0,0.0,0.0,0.0,0.0
8308ecfffffffff,17.0,0.0,0.0,0.0,0.0
8308edfffffffff,4.0,0.0,0.0,0.0,0.0
8308f0fffffffff,4.0,0.0,0.0,0.0,0.0
8308f2fffffffff,6.0,4.0,0.0,0.0,0.0
8308f4fffffffff,8.0,0.0,0.0,0.0,0.0
8308f6fffffffff,3.0,0.0,0.0,0.0,0.0
83094bfffffffff,1.0,0.0,0.0,0.0,0.0
830958fffffffff,2.0,0.0,0.0,0.0,0.0
830959fffffffff,2.0,0.0,0.0,0.0,0.0
83095afffffffff,8.0,0.0,0.0,0.0,0.0
83095bfffffffff,1.0,0.0,0.0,0.0,0.0
830980fffffffff,11.0,0.0,0.0,0.0,0.0
830981fffffffff,2.0,0.0,0.0,0.0,0.0
830982fffffffff,9.0,0.0,0.0,0.0,0.0
830988fffffffff,17.0,0.0,0.0,0.0,0.0
830989fffffffff,23.0,1.0,0.0,0.0,0.0
83098afffffffff,2.0,0.0,0.0,0.0,0.0
83098cfffffffff,2.0,0.0,0.0,0.0,0.0
83098dfffffffff,7.0,2.0,0.0,0.0,0.0
83098efffffffff,2.0,0.0,0.0,0.0,0.0
830991fffffffff,135.0,9.0,0.0,0.0,0.0
830993fffffffff,3.0,0.0,0.0,0.0,0.0
830998fffffffff,8.0,4.0,0.0,0.0,0.0
830999fffffffff,32.0,11.0,0.0,0.0,0.0
83099afffffffff,1.0,0.0,0.0,0.0,0.0
83099bfffffffff,48.0,0.0,0.0,0.0,0.0
83099cfffffffff,2.0,0.0,0.0,0.0,0.0
83099efffffffff,14.0,0.0,0.0,0.0,0.0
8309a0fffffffff,46.0,6.0,0.0,0.0,0.0
8309a4fffffffff,21.0,2.0,0.0,0.0,0.0
8309a6fffffffff,18.0,0.0,0.0,0.0,0.0
830a91fffffffff,1.0,0.0,0.0,0.0,0.0
830aa6fffffffff,1.0,0.0,0.0,0.0,0.0
830b93fffffffff,12.0,0.0,0.0,0.0,0.0
830b9afffffffff,2.0,0.0,0.0,0.0,0.0
830bb0fffffffff,9.0,0.0,0.0,0.0,0.0
830bb1fffffffff,2.0,0.0,0.0,0.0,0.0
830bb3fffffffff,1.0,0.0,0.0,0.0,0.0
831016fffffffff,4.0,0.0,0.0,0.0,0.0
831096fffffffff,6.0,0.0,0.0,0.0,0.0
83109bfffffffff,1.0,0.0,0.0,0.0,0.0
8310a1fffffffff,4.0,0.0,0.0,0.0,0.0
8310aafffffffff,1.0,0.0,0.0,0.0,0.0
8310c2fffffffff,2.0,0.0,0.0,0.0,0.0
8310d2fffffffff,1.0,0.0,0.0,0.0,0.0
8310dcfffffffff,14.0,0.0,0.0,0.0,0.0
8310eefffffffff,2.0,0.0,0.0,0.0,0.0
8310f0fffffffff,2.0,1.0,0.0,0.0,0.0
8310f2fffffffff,5.0,0.0,0.0,0.0,0.0
8310f6fffffffff,1.0,0.0,0.0,0.0,0.0
831103fffffffff,5.0,0.0,0.0,0.0,0.0
831105fffffffff,23.0,0.0,0.0,0.0,0.0
831106fffffffff,75.0,0.0,0.0,0.0,0.0
831120fffffffff,2.0,2.0,0.0,0.0,0.0
831121fffffffff,6.0,0.0,0.0,0.0,0.0
831122fffffffff,37.0,2.0,0.0,0.0,0.0
831123fffffffff,11.0,0.0,0.0,0.0,0.0
831124fffffffff,5.0,0.0,0.0,0.0,0.0
831126fffffffff,45.0,8.0,0.0,0.0,0.0
831128fffffffff,5.0,0.0,0.0,0.0,0.0
83112afffffffff,14.0,4.0,0.0,0.0,0.0
83112cfffffffff,4.0,0.0,0.0,0.0,0.0
83112dfffffffff,2.0,0.0,0.0,0.0,0.0
83112efffffffff,7.0,0.0,0.0,0.0,0.0
831134fffffffff,1.0,0.0,0.0,0.0,0.0
831136fffffffff,1.0,0.0,0.0,0.0,0.0
831180fffffffff,2.0,0.0,0.0,0.0,0.0
831181fffffffff,32.0,0.0,0.0,0.0,0.0
831183fffffffff,2.0,0.0,0.0,0.0,0.0
831185fffffffff,8.0,0.0,0.0,0.0,0.0
831188fffffffff,2.0,0.0,0.0,0.0,0.0
83118cfffffffff,98.0,2.0,0.0,0.0,0.0
83118efffffffff,41.0,5.0,0.0,0.0,0.0
831196fffffffff,4.0,0.0,0.0,0.0,0.0
83119cfffffffff,1.0,0.0,0.0,0.0,0.0
8311a4fffffffff,1.0,0.0,0.0,0.0,0.0
8311a8fffffffff,1.0,0.0,0.0,0.0,0.0
8311aafffffffff,302.0,6.0,0.0,0.0,0.0
8311abfffffffff,19.0,0.0,0.0,0.0,0.0
8311acfffffffff,2.0,0.0,0.0,0.0,0.0
8311aefffffffff,143.0,44.0,0.0,0.0,0.0
8311b4fffffffff,10.0,0.0,0.0,0.0,0.0
831492fffffffff,2.0,0.0,0.0,0.0,0.0
831496fffffffff,2.0,0.0,0.0,0.0,0.0
83149afffffffff,11.0,0.0,0.0,0.0,0.0
83149efffffffff,6.0,0.0,0.0,0.0,0.0
8314aefffffffff,8.0,0.0,0.0,0.0,0.0
8314b0fffffffff,2.0,0.0,0.0,0.0,0.0
8314b2fffffffff,5.0,0.0,0.0,0.0,0.0
8314d6fffffffff,2.0,0.0,0.0,0.0,0.0
83155dfffffffff,6.0,0.0,0.0,0.0,0.0
831586fffffffff,2.0,0.0,0.0,0.0,0.0
831588fffffffff,6.0,0.0,0.0,0.0,0.0
831590fffffffff,10.0,0.0,0.0,0.0,0.0
831591fffffffff,3.0,0.0,0.0,0.0,0.0
831592fffffffff,40.0,0.0,0.0,0.0,0.0
831595fffffffff,3.0,0.0,0.0,0.0,0.0
831596fffffffff,1.0,0.0,0.0,0.0,0.0
831598fffffffff,16.0,3.0,0.0,0.0,0.0
83159cfffffffff,9.0,4.0,0.0,0.0,0.0
8315b0fffffffff,2.0,0.0,0.0,0.0,0.0
8315b3fffffffff,4.0,0.0,0.0,0.0,0.0
8315b6fffffffff,6.0,0.0,0.0,0.0,0.0
831715fffffffff,1.0,0.0,0.0,0.0,0.0
831801fffffffff,46.0,9.0,0.0,0.0,0.0
831804fffffffff,5.0,0.0,0.0,0.0,0.0
831805fffffffff,89.0,13.0,0.0,0.0,0.0
83180cfffffffff,30.0,2.0,0.0,0.0,0.0
831820fffffffff,4.0,0.0,0.0,0.0,0.0
831821fffffffff,7.0,0.0,0.0,0.0,0.0
831823fffffffff,66.0,25.0,0.0,0.0,0.0
831825fffffffff,7.0,2.0,0.0,0.0,0.0
831828fffffffff,321.0,9.0,0.0,0.0,0.0
831829fffffffff,30.0,1.0,0.0,0.0,0.0
83182afffffffff,58.0,1.0,0.0,0.0,0.0
83182cfffffffff,393.0,23.0,0.0,0.0,0.0
83182dfffffffff,18.0,2.0,0.0,0.0,0.0
83182efffffffff,100.0,25.0,0.0,0.0,0.0
831842fffffffff,1.0,1.0,0.0,0.0,0.0
831844fffffffff,108.0,10.0,0.0,0.0,0.0
831845fffffffff,105.0,4.0,0.0,0.0,0.0
831846fffffffff,161.0,8.0,0.0,0.0,0.0
831849fffffffff,1008.0,11.0,0.0,0.0,0.0
83184afffffffff,175.0,0.0,0.0,0.0,0.0
83184bfffffffff,926.0,9.0,0.0,0.0,0.0
83184dfffffffff,44.0,1.0,0.0,0.0,0.0
831859fffffffff,58.0,0.0,0.0,0.0,0.0
83185bfffffffff,1521.0,0.0,0.0,0.0,0.0
831860fffffffff,91.0,8.0,0.0,0.0,0.0
831861fffffffff,8.0,0.0,0.0,0.0,0.0
831862fffffffff,147.0,27.0,0.0,0.0,0.0
831863fffffffff,57.0,5.0,0.0,0.0,0.0
831864fffffffff,9.0,2.0,0.0,0.0,0.0
831865fffffffff,40.0,6.0,0.0,0.0,0.0
831866fffffffff,40.0,5.0,0.0,0.0,0.0
831868fffffffff,27.0,2.0,0.0,0.0,0.0
831869fffffffff,23.0,4.0,0.0,0.0,0.0
83186afffffffff,240.0,18.0,0.0,0.0,0.0
83186bfffffffff,28.0,0.0,0.0,0.0,0.0
83186cfffffffff,171.0,1.0,0.0,0.0,0.0
83186dfffffffff,50.0,16.0,0.0,0.0,0.0
83186efffffffff,39.0,0.0,0.0,0.0,0.0
831870fffffffff,119.0,13.0,0.0,0.0,0.0
831871fffffffff,19.0,2.0,0.0,0.0,0.0
831872fffffffff,10.0,0.0,0.0,0.0,0.0
831873fffffffff,155.0,39.0,0.0,0.0,0.0
831874fffffffff,82.0,14.0,0.0,0.0,0.0
831875fffffffff,32.0,0.0,0.0,0.0,0.0
831876fffffffff,283.0,36.0,0.0,0.0,0.0
831901fffffffff,1.0,0.0,0.0,0.0,0.0
831908fffffffff,54.0,3.0,0.0,0.0,0.0
831909fffffffff,42.0,4.0,0.0,0.0,0.0
83190afffffffff,3.0,0.0,0.0,0.0,0.0
83190bfffffffff,13.0,0.0,0.0,0.0,0.0
83190cfffffffff,64.0,4.0,0.0,0.0,0.0
83190dfffffffff,124.0,13.0,0.0,0.0,0.0
83190efffffffff,33.0,2.0,0.0,0.0,0.0
831928fffffffff,37.0,4.0,0.0,0.0,0.0
831929fffffffff,20.0,5.0,0.0,0.0,0.0
83192afffffffff,9.0,2.0,0.0,0.0,0.0
83192bfffffffff,174.0,93.0,0.0,0.0,0.0
83192cfffffffff,13.0,0.0,0.0,0.0,0.0
831940fffffffff,1240.0,170.0,0.0,0.0,0.0
831941fffffffff,3230.0,680.0,0.0,0.0,0.0
831942fffffffff,2445.0,708.0,0.0,0.0,0.0
831943fffffffff,1759.0,314.0,0.0,0.0,0.0
831946fffffffff,515.0,92.0,0.0,0.0,0.0
831948fffffffff,2140.0,412.0,0.0,0.0,0.0
831949fffffffff,30.0,6.0,0.0,0.0,0.0
83194afffffffff,1919.0,144.0,0.0,0.0,0.0
83194bfffffffff,182.0,41.0,0.0,0.0,0.0
