cell_id,Pachycephala calliope,Pachycephala calliope [fulvotincta Group],Pachycephala calliope calliope
848d84bffffffff,2.0,0.0,0.0
848d855ffffffff,1.0,0.0,0.0
848d85dffffffff,3.0,0.0,0.0
848da25ffffffff,28.0,3.0,0.0
848da2dffffffff,3.0,0.0,0.0
848db53ffffffff,12.0,0.0,0.0
848db59ffffffff,133.0,0.0,0.0
848db5bffffffff,2.0,0.0,0.0
8494049ffffffff,4.0,0.0,4.0
8494219ffffffff,2.0,0.0,0.0
849421bffffffff,18.0,3.0,0.0
849421dffffffff,5.0,2.0,0.0
8494227ffffffff,1.0,0.0,1.0
8494231ffffffff,33.0,0.0,33.0
8494235ffffffff,9.0,0.0,9.0
8494237ffffffff,7.0,0.0,7.0
8494239ffffffff,2.0,0.0,2.0
849423bffffffff,1.0,0.0,1.0
849423dffffffff,2.0,0.0,2.0
8494247ffffffff,1.0,0.0,0.0
8494257ffffffff,4.0,0.0,0.0
8494269ffffffff,2.0,0.0,0.0
849426bffffffff,1.0,0.0,0.0
849426dffffffff,4.0,0.0,0.0
8494289ffffffff,3.0,0.0,3.0
84942c1ffffffff,18.0,0.0,18.0
84942c3ffffffff,4.0,0.0,4.0
84942c5ffffffff,7.0,0.0,7.0
84942cdffffffff,1.0,0.0,1.0
84942d3ffffffff,28.0,0.0,28.0
84942d5ffffffff,16.0,0.0,16.0
84942ddffffffff,2.0,0.0,2.0
84942e9ffffffff,2.0,0.0,2.0
84950a5ffffffff,13.0,0.0,0.0
8495129ffffffff,1.0,0.0,0.0
849512dffffffff,8.0,0.0,0.0
8495183ffffffff,1.0,0.0,0.0
8495185ffffffff,61.0,34.0,0.0
8495197ffffffff,1.0,0.0,0.0
84951a7ffffffff,1.0,0.0,0.0
84951a9ffffffff,4.0,0.0,0.0
84951abffffffff,43.0,14.0,0.0
84951bdffffffff,3.0,1.0,0.0
84951ddffffffff,6.0,0.0,0.0
84951e3ffffffff,110.0,18.0,0.0
84951e5ffffffff,47.0,3.0,0.0
84951e7ffffffff,26.0,1.0,0.0
8495525ffffffff,5.0,0.0,0.0
8495527ffffffff,1.0,0.0,0.0
8495531ffffffff,1.0,0.0,0.0
8495533ffffffff,22.0,0.0,6.0
8495537ffffffff,12.0,0.0,1.0
8495a49ffffffff,16.0,0.0,0.0
8495a4dffffffff,7.0,0.0,0.0
8495a53ffffffff,14.0,0.0,0.0
8495a55ffffffff,1.0,0.0,0.0
8495a59ffffffff,1.0,0.0,0.0
8495a91ffffffff,14.0,13.0,0.0
8495a99ffffffff,75.0,37.0,0.0
8495a9bffffffff,45.0,2.0,0.0
8495ad7ffffffff,3.0,2.0,0.0
