cell_id,Jynx ruficollis,Jynx ruficollis ruficollis,Jynx ruficollis pulchricollis,Jynx ruficollis aequatorialis
847a48dffffffff,3.0,0.0,0.0,0.0
847a4c5ffffffff,3.0,0.0,0.0,0.0
847a4cdffffffff,2.0,0.0,0.0,0.0
847a683ffffffff,4.0,0.0,0.0,0.0
847a6b5ffffffff,1.0,0.0,0.0,0.0
847a6e5ffffffff,12.0,0.0,0.0,0.0
847ac81ffffffff,4.0,0.0,0.0,4.0
847ac87ffffffff,2.0,0.0,0.0,2.0
847ac8bffffffff,5.0,0.0,0.0,5.0
8496097ffffffff,3.0,0.0,0.0,0.0
8496b63ffffffff,1.0,1.0,0.0,0.0
84978e3ffffffff,2.0,0.0,0.0,0.0
84bcc15ffffffff,2.0,0.0,0.0,0.0
84bcd43ffffffff,1.0,1.0,0.0,0.0
84bcd81ffffffff,1.0,0.0,0.0,0.0
