cell_id,Atlapetes albofrenatus,Atlapetes albofrenatus albofrenatus,Atlapetes albofrenatus meridae
846601bffffffff,139.0,13.0,0.0
8466083ffffffff,27.0,0.0,0.0
8466087ffffffff,30.0,0.0,0.0
8466089ffffffff,203.0,2.0,0.0
846608bffffffff,6.0,0.0,0.0
846608dffffffff,51.0,2.0,0.0
846609dffffffff,6.0,0.0,0.0
84660a3ffffffff,6.0,0.0,0.0
84660b1ffffffff,10.0,0.0,0.0
84660b3ffffffff,2.0,0.0,0.0
84660b5ffffffff,93.0,0.0,0.0
84660b7ffffffff,1.0,0.0,0.0
84660b9ffffffff,64.0,0.0,0.0
84660bdffffffff,340.0,8.0,0.0
84660c1ffffffff,7.0,0.0,0.0
84660c3ffffffff,36.0,0.0,0.0
84660c7ffffffff,3.0,0.0,0.0
84660c9ffffffff,1.0,0.0,0.0
84660cdffffffff,1.0,0.0,0.0
8466291ffffffff,151.0,0.0,19.0
8466299ffffffff,76.0,0.0,25.0
846629dffffffff,72.0,0.0,26.0
84662b1ffffffff,1.0,0.0,0.0
84662bbffffffff,1.0,0.0,0.0
84662d3ffffffff,2.0,0.0,0.0
8466c0dffffffff,5.0,0.0,0.0
8466c41ffffffff,3.0,0.0,0.0
8466c47ffffffff,3.0,0.0,0.0
8466c49ffffffff,5.0,0.0,0.0
8466c4bffffffff,12.0,0.0,0.0
8466e01ffffffff,8.0,0.0,0.0
8466e03ffffffff,4.0,0.0,0.0
8466e07ffffffff,4.0,0.0,0.0
8466e09ffffffff,198.0,15.0,0.0
8466e0bffffffff,8.0,0.0,0.0
8466e0dffffffff,44.0,0.0,0.0
8466e41ffffffff,18.0,0.0,0.0
8466e43ffffffff,10.0,0.0,0.0
8466e45ffffffff,9.0,0.0,0.0
8466e47ffffffff,1101.0,41.0,0.0
8466e49ffffffff,8.0,0.0,0.0
8466e4bffffffff,4.0,0.0,0.0
8466e55ffffffff,4.0,0.0,0.0
8466e59ffffffff,2.0,0.0,0.0
