cell_id,Asio flammeus,Asio flammeus flammeus,Asio flammeus ponapensis,Asio flammeus sandwichensis,Asio flammeus domingensis/portoricensis,Asio flammeus galapagoensis,Asio flammeus [suinda Group]
8401265ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8401269ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840130bffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0
840134bffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8401351ffffffff,60.0,2.0,0.0,0.0,0.0,0.0,0.0
8401353ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8401355ffffffff,39.0,3.0,0.0,0.0,0.0,0.0,0.0
840135bffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8402c23ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8402cadffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8402d63ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8402dd9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84041abffffffff,82.0,0.0,0.0,0.0,0.0,0.0,0.0
8407411ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8407417ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8407425ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8407427ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840742dffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8407431ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8407433ffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8407437ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840743bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8407461ffffffff,60.0,1.0,0.0,0.0,0.0,0.0,0.0
8407465ffffffff,104.0,1.0,0.0,0.0,0.0,0.0,0.0
8407467ffffffff,32.0,1.0,0.0,0.0,0.0,0.0,0.0
840746dffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
84074edffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8407553ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840755bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840755dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8407589ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84075c3ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
84075c5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84075cbffffffff,25.0,1.0,0.0,0.0,0.0,0.0,0.0
84075d1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84075d9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84075ddffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8407621ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8407625ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8407627ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8407635ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8407703ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8407717ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8407731ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8407733ffffffff,91.0,0.0,0.0,0.0,0.0,0.0,0.0
840773bffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8408065ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408103ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408107ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
840811dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840814dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408169ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408193ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84081e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84082bdffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408333ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840880bffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
840880dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408829ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840886bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408889ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
840888dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84088dbffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408985ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408997ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84089a9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84089bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84089c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84089ebffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c29ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c35ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8408c3dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c6bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c89ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c8bffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c91ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c95ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c97ffffffff,13.0,2.0,0.0,0.0,0.0,0.0,0.0
8408c99ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8408cd3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d09ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d11ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d19ffffffff,48.0,1.0,0.0,0.0,0.0,0.0,0.0
8408d1bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d1dffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d51ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d55ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d57ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d81ffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d83ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d8dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408dd5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408dd9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408de3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408e13ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408e8bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408ec1ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8408ecdffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408ed3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408edbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408f63ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8409581ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
