cell_id,Amytornis textilis,Amytornis textilis textilis,Amytornis textilis myall
82a627fffffffff,125.0,54.0,0.0
82a71ffffffffff,43.0,20.0,0.0
82b917fffffffff,132.0,0.0,44.0
82b9affffffffff,96.0,0.0,25.0
