cell_id,Muscisaxicola rufivertex,Muscisaxicola rufivertex occipitalis,Muscisaxicola rufivertex pallidiceps,Muscisaxicola rufivertex rufivertex
838b21fffffffff,2.0,0.0,0.0,0.0
838b24fffffffff,1.0,0.0,0.0,0.0
838b25fffffffff,11.0,0.0,0.0,0.0
838b2cfffffffff,38.0,0.0,0.0,0.0
838b60fffffffff,16.0,0.0,0.0,0.0
838b61fffffffff,624.0,0.0,0.0,0.0
838b64fffffffff,4.0,0.0,0.0,0.0
838b65fffffffff,2.0,0.0,0.0,0.0
838b66fffffffff,2.0,0.0,0.0,0.0
838b6cfffffffff,30.0,0.0,0.0,0.0
838e60fffffffff,16.0,0.0,0.0,0.0
838e63fffffffff,2.0,0.0,0.0,0.0
838e64fffffffff,10.0,0.0,0.0,0.0
838e65fffffffff,3.0,0.0,0.0,0.0
838e66fffffffff,97.0,0.0,0.0,0.0
838e68fffffffff,8.0,0.0,0.0,0.0
838e69fffffffff,5.0,0.0,0.0,0.0
838e6afffffffff,8.0,0.0,0.0,0.0
838e6cfffffffff,15.0,0.0,0.0,0.0
838e6dfffffffff,89.0,0.0,0.0,0.0
838e6efffffffff,11.0,0.0,0.0,0.0
838f51fffffffff,131.0,0.0,0.0,0.0
838f55fffffffff,33.0,0.0,0.0,0.0
838f58fffffffff,62.0,0.0,0.0,0.0
838f59fffffffff,57.0,0.0,0.0,0.0
838f5bfffffffff,2.0,0.0,0.0,0.0
838f5cfffffffff,18.0,0.0,0.0,0.0
838f5efffffffff,4.0,0.0,0.0,0.0
83b200fffffffff,35.0,0.0,0.0,0.0
83b201fffffffff,19.0,0.0,0.0,0.0
83b203fffffffff,13.0,0.0,0.0,0.0
83b204fffffffff,9.0,0.0,0.0,0.0
83b205fffffffff,12.0,0.0,0.0,0.0
83b208fffffffff,6.0,0.0,0.0,0.0
83b209fffffffff,2.0,0.0,0.0,0.0
83b20afffffffff,103.0,0.0,0.0,0.0
83b20cfffffffff,1.0,0.0,0.0,0.0
83b20efffffffff,2.0,0.0,0.0,0.0
83b219fffffffff,37.0,0.0,0.0,0.0
83b21dfffffffff,18.0,0.0,0.0,0.0
83b221fffffffff,3.0,0.0,0.0,0.0
83b222fffffffff,50.0,0.0,0.0,0.0
83b225fffffffff,9.0,0.0,0.0,0.0
83b226fffffffff,41.0,0.0,0.0,0.0
83b228fffffffff,12.0,0.0,0.0,0.0
83b22afffffffff,6.0,0.0,0.0,0.0
83b22bfffffffff,3.0,0.0,0.0,0.0
83b22dfffffffff,1.0,0.0,0.0,0.0
83b241fffffffff,2.0,0.0,0.0,0.0
83b256fffffffff,2.0,0.0,0.0,0.0
83b258fffffffff,28.0,0.0,0.0,0.0
83b25cfffffffff,184.0,0.0,0.0,0.0
83b25dfffffffff,4.0,0.0,0.0,0.0
83b274fffffffff,4.0,0.0,0.0,0.0
83b2c1fffffffff,2.0,0.0,0.0,0.0
83b2c5fffffffff,470.0,0.0,0.0,11.0
83b2e0fffffffff,3.0,0.0,0.0,0.0
83b2e1fffffffff,7.0,0.0,0.0,0.0
83b2e2fffffffff,2.0,0.0,0.0,0.0
83b2e3fffffffff,54.0,0.0,0.0,0.0
83b2e4fffffffff,92.0,0.0,0.0,0.0
83b2e5fffffffff,1.0,0.0,0.0,0.0
83b2e6fffffffff,4.0,0.0,0.0,0.0
83b2eafffffffff,17.0,0.0,0.0,0.0
83b2edfffffffff,3.0,0.0,0.0,0.0
83b2eefffffffff,23.0,0.0,0.0,0.0
83b300fffffffff,2.0,0.0,0.0,0.0
83b301fffffffff,24.0,0.0,0.0,0.0
83b303fffffffff,2.0,0.0,0.0,0.0
83b304fffffffff,48.0,0.0,0.0,0.0
83b305fffffffff,317.0,0.0,0.0,0.0
83b308fffffffff,40.0,0.0,0.0,0.0
83b309fffffffff,14.0,0.0,0.0,0.0
83b30afffffffff,6.0,0.0,0.0,0.0
83b30bfffffffff,216.0,0.0,0.0,0.0
83b30cfffffffff,25.0,0.0,0.0,0.0
83b30dfffffffff,4.0,0.0,0.0,0.0
83b30efffffffff,49.0,0.0,0.0,0.0
83b319fffffffff,3.0,0.0,0.0,0.0
83b31dfffffffff,2.0,0.0,0.0,0.0
83b320fffffffff,33.0,0.0,0.0,0.0
83b321fffffffff,92.0,0.0,0.0,0.0
83b323fffffffff,30.0,0.0,0.0,0.0
83b324fffffffff,10.0,0.0,0.0,0.0
83b325fffffffff,13.0,0.0,0.0,0.0
83b326fffffffff,10.0,0.0,0.0,0.0
83b32afffffffff,5.0,0.0,0.0,0.0
83b32bfffffffff,2.0,0.0,0.0,0.0
83b32cfffffffff,25.0,0.0,0.0,0.0
83b32dfffffffff,6.0,0.0,0.0,0.0
83b330fffffffff,6.0,0.0,0.0,0.0
83b331fffffffff,2.0,0.0,0.0,0.0
83b334fffffffff,39.0,0.0,0.0,0.0
83b335fffffffff,88.0,0.0,0.0,0.0
83b342fffffffff,1.0,0.0,0.0,0.0
