cell_id,Crypturellus obsoletus,Crypturellus obsoletus castaneus,Crypturellus obsoletus [obsoletus Group]
8366dafffffffff,7.0,0.0,0.0
8366e0fffffffff,6.0,0.0,0.0
836743fffffffff,2.0,0.0,0.0
83674cfffffffff,1.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0
83675cfffffffff,1.0,0.0,0.0
838a21fffffffff,2.0,0.0,0.0
838b22fffffffff,7.0,0.0,5.0
838b61fffffffff,5.0,0.0,5.0
838b69fffffffff,40.0,0.0,0.0
838b84fffffffff,2.0,0.0,0.0
838b88fffffffff,1.0,0.0,0.0
838b9dfffffffff,5.0,0.0,0.0
838e65fffffffff,3.0,0.0,1.0
838e6cfffffffff,2.0,0.0,0.0
838f46fffffffff,6.0,6.0,0.0
838f4bfffffffff,2.0,0.0,0.0
838f72fffffffff,2.0,0.0,0.0
83a886fffffffff,1.0,0.0,1.0
83a91bfffffffff,2.0,0.0,2.0
83a91dfffffffff,6.0,0.0,0.0
83a92cfffffffff,158.0,0.0,0.0
83a92dfffffffff,4.0,0.0,0.0
83a943fffffffff,1.0,0.0,0.0
83a950fffffffff,2.0,0.0,0.0
83a976fffffffff,2.0,0.0,0.0
