cell_id,Pyrrhura lepida,Pyrrhura lepida lepida,Pyrrhura lepida anerythra,Pyrrhura lepida coerulescens
82800ffffffffff,1.0,0.0,0.0,1.0
82802ffffffffff,2.0,0.0,0.0,2.0
828047fffffffff,1.0,0.0,1.0,0.0
828067fffffffff,51.0,0.0,47.0,0.0
82806ffffffffff,2.0,0.0,0.0,0.0
828077fffffffff,34.0,0.0,1.0,18.0
828147fffffffff,5.0,0.0,2.0,1.0
82814ffffffffff,146.0,0.0,114.0,0.0
82815ffffffffff,31.0,0.0,12.0,6.0
828167fffffffff,2.0,0.0,0.0,0.0
828a97fffffffff,6.0,0.0,0.0,0.0
828ab7fffffffff,1.0,0.0,1.0,0.0
828b9ffffffffff,5.0,0.0,0.0,0.0
82a8cffffffffff,9.0,0.0,0.0,0.0
