cell_id,Electron platyrhynchum,Electron platyrhynchum [platyrhynchum Group],Electron platyrhynchum [pyrrholaemum Group]
824537fffffffff,43.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,7.0,0.0,0.0
8266b7fffffffff,6.0,0.0,0.0
8266c7fffffffff,39.0,0.0,0.0
8266d7fffffffff,26.0,9.0,0.0
8266dffffffffff,2.0,0.0,0.0
8266f7fffffffff,2.0,0.0,0.0
826d67fffffffff,17.0,0.0,0.0
826d6ffffffffff,40.0,13.0,0.0
828b67fffffffff,1.0,0.0,1.0
828b77fffffffff,1.0,0.0,0.0
828f6ffffffffff,4.0,4.0,0.0
828f77fffffffff,6.0,0.0,0.0
