cell_id,Ducula basilica,Ducula basilica basilica,Ducula basilica obiensis
8473901ffffffff,24.0,2.0,0.0
8473905ffffffff,44.0,1.0,0.0
8473907ffffffff,59.0,0.0,0.0
847390bffffffff,160.0,8.0,0.0
847390dffffffff,16.0,4.0,0.0
8473927ffffffff,2.0,0.0,0.0
8473951ffffffff,4.0,0.0,0.0
847395bffffffff,4.0,0.0,0.0
8495613ffffffff,36.0,0.0,1.0
