cell_id,Myiozetetes similis,Myiozetetes similis [texensis Group],Myiozetetes similis [similis Group],Myiozetetes similis grandis
8444249ffffffff,286.0,1.0,0.0,0.0
844424dffffffff,26.0,9.0,0.0,0.0
8445011ffffffff,49.0,0.0,0.0,0.0
8445013ffffffff,20.0,0.0,0.0,0.0
8445017ffffffff,5.0,0.0,0.0,0.0
8445019ffffffff,481.0,10.0,0.0,0.0
844501bffffffff,375.0,26.0,0.0,0.0
8445053ffffffff,279.0,17.0,0.0,0.0
8445057ffffffff,85.0,2.0,0.0,0.0
8445059ffffffff,192.0,0.0,0.0,0.0
844505bffffffff,1240.0,78.0,0.0,0.0
8445081ffffffff,22.0,1.0,0.0,0.0
8445083ffffffff,585.0,53.0,0.0,0.0
8445085ffffffff,757.0,61.0,0.0,0.0
8445087ffffffff,976.0,111.0,0.0,0.0
8445089ffffffff,20.0,0.0,0.0,0.0
844508bffffffff,12.0,4.0,0.0,0.0
844508dffffffff,200.0,0.0,0.0,0.0
8445091ffffffff,109.0,26.0,0.0,0.0
8445093ffffffff,88.0,41.0,0.0,0.0
8445095ffffffff,19.0,8.0,0.0,0.0
8445097ffffffff,44.0,22.0,0.0,0.0
8445099ffffffff,389.0,5.0,0.0,0.0
844509bffffffff,3745.0,902.0,0.0,0.0
844509dffffffff,144.0,3.0,0.0,0.0
84450a1ffffffff,970.0,8.0,0.0,0.0
84450a3ffffffff,308.0,42.0,0.0,0.0
84450a5ffffffff,558.0,27.0,0.0,0.0
84450a7ffffffff,503.0,55.0,0.0,0.0
84450a9ffffffff,584.0,26.0,0.0,0.0
84450abffffffff,168.0,16.0,0.0,0.0
84450adffffffff,312.0,8.0,0.0,0.0
84450b1ffffffff,594.0,56.0,0.0,0.0
84450b5ffffffff,574.0,60.0,0.0,0.0
84450b9ffffffff,171.0,2.0,0.0,0.0
84450bbffffffff,9.0,0.0,0.0,0.0
84450bdffffffff,278.0,28.0,0.0,0.0
84450c1ffffffff,82.0,9.0,0.0,0.0
