cell_id,Phaethornis mexicanus,Phaethornis mexicanus griseoventer,Phaethornis mexicanus mexicanus
824837fffffffff,281.0,59.0,0.0
8249affffffffff,326.0,54.0,0.0
8249b7fffffffff,80.0,0.0,19.0
826d17fffffffff,203.0,0.0,55.0
826d37fffffffff,4.0,0.0,0.0
