cell_id,Ptilinopus fischeri,Ptilinopus fischeri fischeri/centralis,Ptilinopus fischeri meridionalis
8468c81ffffffff,9.0,0.0,0.0
8468c8bffffffff,1.0,0.0,0.0
8468ca9ffffffff,28.0,6.0,0.0
8468ce7ffffffff,1.0,0.0,0.0
8468d23ffffffff,4.0,2.0,0.0
8468d2bffffffff,239.0,69.0,0.0
8468ddbffffffff,2.0,1.0,0.0
8468debffffffff,2.0,0.0,0.0
849500bffffffff,4.0,1.0,0.0
8495217ffffffff,3.0,2.0,0.0
8495285ffffffff,2.0,0.0,0.0
