cell_id,Geokichla crossleyi,Geokichla crossleyi crossleyi,Geokichla crossleyi pilettei
8458d0bffffffff,1.0,0.0,0.0
8458d1dffffffff,3.0,0.0,0.0
8458d33ffffffff,17.0,9.0,0.0
8458d37ffffffff,17.0,15.0,0.0
8458de5ffffffff,22.0,20.0,0.0
8482d27ffffffff,14.0,2.0,0.0
8482d3dffffffff,2.0,0.0,0.0
