cell_id,Podiceps occipitalis,Podiceps occipitalis juninensis,Podiceps occipitalis occipitalis
8466c25ffffffff,4.0,0.0,0.0
8466d31ffffffff,2.0,0.0,0.0
8466d33ffffffff,41.0,10.0,0.0
8466d39ffffffff,13.0,0.0,0.0
8466d3bffffffff,16.0,0.0,0.0
8466d53ffffffff,5.0,0.0,0.0
8466de5ffffffff,1044.0,291.0,0.0
8466dedffffffff,12.0,0.0,0.0
848b21bffffffff,11.0,0.0,0.0
848b269ffffffff,2.0,0.0,0.0
848b2c1ffffffff,1.0,0.0,0.0
848b2c9ffffffff,96.0,12.0,0.0
848b2cdffffffff,12.0,0.0,0.0
848b601ffffffff,3.0,0.0,0.0
848b603ffffffff,3.0,0.0,0.0
848b60bffffffff,4.0,0.0,0.0
848b611ffffffff,58.0,0.0,0.0
848b61bffffffff,423.0,11.0,0.0
848b61dffffffff,24.0,0.0,0.0
848b645ffffffff,1.0,0.0,0.0
848b647ffffffff,3.0,0.0,0.0
848b649ffffffff,19.0,0.0,0.0
848b657ffffffff,1.0,0.0,0.0
848b665ffffffff,8.0,0.0,0.0
848b6c1ffffffff,1.0,0.0,0.0
848b6c9ffffffff,2.0,0.0,0.0
848b6cdffffffff,3.0,0.0,0.0
848b755ffffffff,1.0,0.0,0.0
848e601ffffffff,6.0,0.0,0.0
848e603ffffffff,11.0,0.0,0.0
848e605ffffffff,3.0,0.0,0.0
848e609ffffffff,4.0,0.0,0.0
848e60bffffffff,33.0,0.0,0.0
848e60dffffffff,10.0,0.0,0.0
848e617ffffffff,5.0,0.0,0.0
848e621ffffffff,2.0,0.0,0.0
848e62dffffffff,15.0,0.0,0.0
848e645ffffffff,23.0,0.0,0.0
848e647ffffffff,12.0,0.0,0.0
848e657ffffffff,5.0,0.0,0.0
848e663ffffffff,80.0,0.0,0.0
848e669ffffffff,6.0,0.0,0.0
848e66bffffffff,124.0,0.0,0.0
848e681ffffffff,2.0,0.0,0.0
848e683ffffffff,1.0,0.0,0.0
848e687ffffffff,6.0,0.0,0.0
848e68bffffffff,3.0,0.0,0.0
848e6abffffffff,2.0,0.0,0.0
848e6b9ffffffff,1.0,0.0,0.0
848e6c1ffffffff,1.0,0.0,0.0
