cell_id,Telophorus zeylonus,Telophorus zeylonus [zeylonus Group],Telophorus zeylonus restrictus
8483045ffffffff,2.0,0.0,0.0
8483201ffffffff,2.0,0.0,0.0
8483203ffffffff,2.0,0.0,0.0
848320bffffffff,1.0,0.0,0.0
8483263ffffffff,3.0,0.0,0.0
84ac125ffffffff,26.0,6.0,0.0
84ac12dffffffff,39.0,6.0,0.0
84ac165ffffffff,2.0,0.0,0.0
84ac851ffffffff,2.0,0.0,0.0
84aca03ffffffff,2.0,2.0,0.0
84aca15ffffffff,39.0,7.0,0.0
84aca19ffffffff,3.0,0.0,0.0
84aca1dffffffff,2.0,0.0,0.0
84aca3bffffffff,2.0,0.0,0.0
84aca3dffffffff,4.0,1.0,0.0
84aca4bffffffff,63.0,31.0,0.0
84aca5dffffffff,5.0,0.0,0.0
84acaa1ffffffff,4.0,0.0,0.0
84acaa5ffffffff,4.0,0.0,0.0
84acaa9ffffffff,2.0,0.0,0.0
84acaadffffffff,6.0,0.0,0.0
84acae7ffffffff,33.0,0.0,0.0
84acaedffffffff,42.0,4.0,0.0
84ad125ffffffff,10.0,0.0,0.0
84ad127ffffffff,13.0,0.0,0.0
84ad12bffffffff,2.0,0.0,0.0
84ad12dffffffff,15.0,1.0,0.0
84ad167ffffffff,4.0,0.0,0.0
84ad321ffffffff,155.0,38.0,0.0
84ad325ffffffff,23.0,6.0,0.0
84ad329ffffffff,688.0,249.0,0.0
84ad32dffffffff,5.0,0.0,0.0
84ad361ffffffff,39.0,4.0,0.0
84ad365ffffffff,25.0,4.0,0.0
84ad367ffffffff,231.0,75.0,0.0
84ad369ffffffff,216.0,50.0,0.0
84ad36dffffffff,13.0,3.0,0.0
84ad82dffffffff,3.0,0.0,0.0
84ad837ffffffff,2.0,0.0,0.0
84ad85bffffffff,2.0,0.0,0.0
84ad861ffffffff,3.0,0.0,0.0
84ad865ffffffff,2.0,0.0,0.0
84ad885ffffffff,1.0,0.0,0.0
84ad887ffffffff,2.0,0.0,0.0
84ad895ffffffff,7.0,0.0,0.0
84ad8b1ffffffff,2.0,0.0,0.0
84ad8b7ffffffff,2.0,0.0,0.0
84ad8b9ffffffff,1.0,0.0,0.0
84ad8c3ffffffff,1.0,0.0,0.0
84ada03ffffffff,15.0,8.0,0.0
84ada07ffffffff,5.0,2.0,0.0
84ada13ffffffff,1.0,0.0,0.0
84ada1bffffffff,32.0,9.0,0.0
84ada1dffffffff,7.0,1.0,0.0
84ada21ffffffff,19.0,2.0,0.0
84ada2bffffffff,2.0,0.0,0.0
84ada2dffffffff,2.0,0.0,0.0
84ada39ffffffff,5.0,1.0,0.0
84ada45ffffffff,5.0,0.0,0.0
84ada49ffffffff,2.0,0.0,0.0
84ada4dffffffff,34.0,8.0,0.0
84ada53ffffffff,2.0,0.0,0.0
84ada65ffffffff,1.0,0.0,0.0
84ada8dffffffff,4.0,0.0,0.0
84adaa9ffffffff,5.0,0.0,0.0
84adaadffffffff,5.0,0.0,0.0
84adab7ffffffff,4.0,0.0,0.0
84adac9ffffffff,1.0,0.0,0.0
84adacbffffffff,4.0,2.0,0.0
84adb07ffffffff,13.0,0.0,0.0
84adb19ffffffff,2.0,0.0,0.0
84adb45ffffffff,1.0,1.0,0.0
84adb53ffffffff,8.0,2.0,0.0
84bc091ffffffff,4.0,0.0,0.0
84bc0b1ffffffff,3.0,0.0,0.0
84bc0bdffffffff,1.0,0.0,0.0
84bc197ffffffff,4.0,4.0,0.0
