cell_id,Leptopogon superciliaris,Leptopogon superciliaris transandinus,Leptopogon superciliaris superciliaris,Leptopogon superciliaris albidiventer
845f487ffffffff,39.0,0.0,0.0,0.0
845f4a7ffffffff,3.0,0.0,0.0,0.0
845f4abffffffff,11.0,0.0,0.0,0.0
845f4b9ffffffff,5.0,0.0,0.0,0.0
845f4bdffffffff,46.0,0.0,0.0,0.0
845f583ffffffff,198.0,0.0,0.0,0.0
845f5b9ffffffff,6.0,0.0,0.0,0.0
846601bffffffff,69.0,0.0,0.0,0.0
8466033ffffffff,2.0,0.0,0.0,0.0
8466045ffffffff,1.0,0.0,0.0,0.0
8466081ffffffff,21.0,0.0,0.0,0.0
8466083ffffffff,6.0,0.0,0.0,0.0
8466085ffffffff,8.0,0.0,0.0,0.0
8466087ffffffff,42.0,0.0,0.0,0.0
8466089ffffffff,25.0,0.0,0.0,0.0
846608bffffffff,4.0,0.0,0.0,0.0
846608dffffffff,244.0,0.0,0.0,0.0
8466097ffffffff,14.0,0.0,0.0,0.0
8466099ffffffff,12.0,0.0,0.0,0.0
846609dffffffff,1.0,0.0,0.0,0.0
84660a7ffffffff,12.0,0.0,0.0,0.0
84660adffffffff,2.0,0.0,0.0,0.0
84660b3ffffffff,13.0,0.0,0.0,0.0
84660b7ffffffff,5.0,0.0,0.0,0.0
84660b9ffffffff,15.0,0.0,0.0,0.0
84660bbffffffff,8.0,0.0,0.0,0.0
84660bdffffffff,36.0,0.0,0.0,0.0
84660c1ffffffff,10.0,0.0,0.0,0.0
84660c7ffffffff,4.0,0.0,0.0,0.0
84660cbffffffff,44.0,0.0,0.0,0.0
84660cdffffffff,1.0,0.0,0.0,0.0
84660d1ffffffff,6.0,0.0,0.0,0.0
84660d3ffffffff,4.0,0.0,0.0,0.0
84660d9ffffffff,2.0,0.0,0.0,0.0
84660ddffffffff,32.0,0.0,0.0,0.0
84660e5ffffffff,1.0,0.0,0.0,0.0
8466113ffffffff,5.0,0.0,0.0,0.0
8466117ffffffff,2.0,0.0,0.0,0.0
8466131ffffffff,19.0,0.0,0.0,0.0
8466139ffffffff,3.0,0.0,0.0,0.0
8466181ffffffff,8.0,0.0,0.0,0.0
8466183ffffffff,393.0,0.0,15.0,0.0
8466185ffffffff,2.0,0.0,0.0,0.0
8466189ffffffff,7.0,0.0,0.0,0.0
846618bffffffff,16.0,0.0,3.0,0.0
846618dffffffff,2.0,0.0,0.0,0.0
8466191ffffffff,117.0,0.0,0.0,0.0
8466193ffffffff,274.0,0.0,5.0,0.0
8466195ffffffff,51.0,0.0,0.0,0.0
8466197ffffffff,48.0,0.0,0.0,0.0
8466199ffffffff,77.0,0.0,0.0,0.0
846619bffffffff,393.0,0.0,23.0,0.0
846619dffffffff,66.0,0.0,0.0,0.0
84661b1ffffffff,800.0,0.0,0.0,0.0
84661b3ffffffff,73.0,0.0,0.0,0.0
84661b7ffffffff,30.0,0.0,0.0,0.0
84661b9ffffffff,229.0,0.0,6.0,0.0
84661bbffffffff,324.0,0.0,6.0,0.0
84661bdffffffff,2.0,0.0,0.0,0.0
84661c3ffffffff,13.0,0.0,0.0,0.0
84661c9ffffffff,2.0,0.0,0.0,0.0
84661cdffffffff,43.0,0.0,0.0,0.0
84661d1ffffffff,445.0,0.0,5.0,0.0
84661d3ffffffff,2.0,0.0,0.0,0.0
84661d5ffffffff,12.0,0.0,0.0,0.0
84661d7ffffffff,72.0,0.0,0.0,0.0
84661d9ffffffff,5.0,0.0,0.0,0.0
84661ddffffffff,44.0,0.0,0.0,0.0
84661ebffffffff,17.0,0.0,0.0,0.0
8466205ffffffff,1.0,0.0,0.0,0.0
8466211ffffffff,2.0,0.0,0.0,0.0
8466213ffffffff,2.0,0.0,0.0,0.0
8466217ffffffff,94.0,0.0,0.0,0.0
846622bffffffff,19.0,0.0,0.0,0.0
8466291ffffffff,3.0,0.0,0.0,0.0
8466293ffffffff,5.0,0.0,0.0,0.0
8466295ffffffff,3.0,0.0,0.0,0.0
8466299ffffffff,6.0,0.0,0.0,0.0
846629bffffffff,3.0,0.0,0.0,0.0
846629dffffffff,31.0,0.0,0.0,0.0
84662b1ffffffff,3.0,0.0,2.0,0.0
84662b7ffffffff,39.0,0.0,0.0,0.0
84662d3ffffffff,56.0,0.0,0.0,0.0
84662dbffffffff,8.0,0.0,0.0,0.0
84662e5ffffffff,4.0,0.0,0.0,0.0
84662e9ffffffff,16.0,0.0,0.0,0.0
8466529ffffffff,3.0,0.0,0.0,0.0
846652dffffffff,2.0,0.0,0.0,0.0
8466565ffffffff,8.0,0.0,0.0,0.0
846656dffffffff,56.0,0.0,1.0,0.0
8466735ffffffff,2.0,0.0,0.0,0.0
846676dffffffff,3.0,0.0,0.0,0.0
8466a01ffffffff,10.0,0.0,0.0,0.0
8466a05ffffffff,7.0,0.0,0.0,0.0
8466a2dffffffff,5.0,0.0,0.0,0.0
8466b41ffffffff,133.0,0.0,0.0,0.0
8466b43ffffffff,13.0,0.0,0.0,0.0
8466b45ffffffff,12.0,0.0,0.0,0.0
8466b47ffffffff,14.0,0.0,0.0,0.0
8466b49ffffffff,1565.0,0.0,0.0,0.0
8466b4dffffffff,1028.0,0.0,0.0,0.0
8466b51ffffffff,125.0,0.0,0.0,0.0
8466b53ffffffff,4.0,0.0,0.0,0.0
8466b55ffffffff,260.0,0.0,0.0,0.0
8466b57ffffffff,2.0,0.0,0.0,0.0
8466b5bffffffff,106.0,0.0,0.0,0.0
8466b5dffffffff,11.0,0.0,0.0,0.0
8466c05ffffffff,5.0,0.0,0.0,0.0
8466c0dffffffff,428.0,0.0,0.0,0.0
8466c21ffffffff,95.0,0.0,0.0,0.0
8466c25ffffffff,5.0,0.0,0.0,0.0
8466c29ffffffff,69.0,0.0,0.0,0.0
8466c2dffffffff,154.0,0.0,0.0,0.0
8466c41ffffffff,64.0,0.0,0.0,0.0
8466c45ffffffff,5.0,0.0,0.0,0.0
8466c47ffffffff,20.0,0.0,0.0,0.0
