cell_id,Oenanthe oenanthe,Oenanthe oenanthe leucorhoa,Oenanthe oenanthe oenanthe/libanotica
820127fffffffff,51.0,0.0,10.0
820137fffffffff,688.0,0.0,29.0
82025ffffffffff,7.0,0.0,0.0
82041ffffffffff,2.0,0.0,0.0
8204cffffffffff,2.0,0.0,0.0
8204effffffffff,1.0,0.0,0.0
82058ffffffffff,12.0,0.0,0.0
820607fffffffff,2.0,0.0,0.0
820627fffffffff,5.0,2.0,0.0
82062ffffffffff,1.0,0.0,0.0
820637fffffffff,7.0,0.0,0.0
820657fffffffff,10.0,0.0,0.0
82068ffffffffff,26.0,11.0,0.0
8206cffffffffff,2.0,0.0,0.0
8206d7fffffffff,80.0,41.0,0.0
8206dffffffffff,6.0,1.0,0.0
8206e7fffffffff,1.0,0.0,0.0
820747fffffffff,369.0,88.0,0.0
82074ffffffffff,135.0,77.0,0.0
820757fffffffff,99.0,18.0,0.0
82075ffffffffff,882.0,169.0,0.0
820767fffffffff,116.0,56.0,0.0
820777fffffffff,325.0,198.0,0.0
8207affffffffff,2.0,0.0,0.0
820807fffffffff,13.0,0.0,0.0
820817fffffffff,138.0,0.0,2.0
82081ffffffffff,14.0,0.0,0.0
82082ffffffffff,4.0,0.0,0.0
820837fffffffff,32.0,0.0,0.0
820887fffffffff,207.0,0.0,37.0
82088ffffffffff,55.0,0.0,12.0
820897fffffffff,123.0,0.0,5.0
82089ffffffffff,646.0,0.0,57.0
8208a7fffffffff,34.0,0.0,0.0
8208b7fffffffff,73.0,0.0,0.0
8208c7fffffffff,17.0,0.0,2.0
8208cffffffffff,89.0,0.0,1.0
8208d7fffffffff,90.0,0.0,1.0
8208dffffffffff,36.0,0.0,0.0
8208e7fffffffff,31.0,0.0,0.0
8208effffffffff,53.0,0.0,7.0
8208f7fffffffff,13.0,0.0,2.0
820937fffffffff,18.0,4.0,0.0
82094ffffffffff,7.0,0.0,0.0
82095ffffffffff,46.0,0.0,4.0
820987fffffffff,158.0,0.0,1.0
82098ffffffffff,131.0,0.0,10.0
820997fffffffff,367.0,0.0,12.0
82099ffffffffff,151.0,0.0,0.0
8209a7fffffffff,599.0,6.0,38.0
8209affffffffff,47.0,0.0,2.0
820a37fffffffff,2.0,0.0,0.0
820a97fffffffff,2.0,0.0,0.0
820b97fffffffff,2.0,0.0,0.0
820bb7fffffffff,5.0,0.0,0.0
820c17fffffffff,1352.0,0.0,0.0
820c1ffffffffff,1.0,0.0,0.0
820c27fffffffff,14.0,0.0,0.0
820c2ffffffffff,2.0,0.0,0.0
820c37fffffffff,133.0,0.0,0.0
820c67fffffffff,6.0,0.0,0.0
820c77fffffffff,150.0,0.0,0.0
820c8ffffffffff,6.0,0.0,0.0
820ca7fffffffff,722.0,0.0,0.0
820caffffffffff,3.0,0.0,0.0
820cdffffffffff,4.0,0.0,0.0
820d07fffffffff,28.0,0.0,0.0
820d0ffffffffff,1.0,0.0,0.0
820d1ffffffffff,2.0,0.0,0.0
820d57fffffffff,67.0,0.0,0.0
820d5ffffffffff,16.0,0.0,0.0
820d67fffffffff,2.0,0.0,0.0
820d6ffffffffff,4.0,0.0,0.0
820d77fffffffff,21.0,0.0,0.0
820d8ffffffffff,2.0,0.0,0.0
820f07fffffffff,1.0,0.0,0.0
820f0ffffffffff,22.0,0.0,0.0
821017fffffffff,13.0,0.0,0.0
821027fffffffff,1.0,0.0,0.0
82106ffffffffff,2.0,0.0,0.0
82108ffffffffff,2.0,0.0,0.0
8210a7fffffffff,5.0,0.0,0.0
8210c7fffffffff,22.0,0.0,0.0
8210d7fffffffff,4.0,0.0,0.0
8210dffffffffff,1.0,0.0,0.0
8210effffffffff,5.0,0.0,0.0
8210f7fffffffff,5.0,0.0,0.0
821107fffffffff,105.0,0.0,0.0
821117fffffffff,19.0,0.0,0.0
821127fffffffff,33.0,0.0,6.0
82112ffffffffff,6.0,0.0,4.0
821137fffffffff,13.0,0.0,2.0
821157fffffffff,9.0,0.0,0.0
821177fffffffff,3.0,0.0,0.0
821187fffffffff,22.0,0.0,6.0
82118ffffffffff,80.0,0.0,9.0
8211affffffffff,128.0,0.0,58.0
82158ffffffffff,2.0,0.0,0.0
821597fffffffff,21.0,0.0,0.0
82159ffffffffff,2.0,0.0,2.0
8215b7fffffffff,12.0,0.0,0.0
821657fffffffff,1.0,0.0,0.0
82176ffffffffff,32.0,0.0,0.0
821807fffffffff,228.0,3.0,28.0
82180ffffffffff,42.0,0.0,1.0
821827fffffffff,132.0,4.0,17.0
82182ffffffffff,519.0,15.0,50.0
821847fffffffff,197.0,4.0,8.0
82184ffffffffff,1164.0,0.0,0.0
82185ffffffffff,507.0,0.0,0.0
821867fffffffff,78.0,0.0,0.0
