cell_id,Phyllastrephus cabanisi,Phyllastrephus cabanisi placidus,Phyllastrephus cabanisi [cabanisi Group]
836ac0fffffffff,11.0,0.0,6.0
836ac1fffffffff,4.0,0.0,0.0
836ac3fffffffff,2.0,0.0,0.0
836ac9fffffffff,11.0,0.0,0.0
836acafffffffff,2.0,0.0,0.0
836acefffffffff,4.0,0.0,0.0
836ad8fffffffff,2.0,0.0,2.0
836adcfffffffff,339.0,0.0,40.0
836adefffffffff,21.0,0.0,6.0
836aeafffffffff,2.0,0.0,0.0
837a40fffffffff,4.0,2.0,0.0
837a45fffffffff,136.0,57.0,0.0
837a48fffffffff,24.0,0.0,1.0
837a4bfffffffff,2.0,0.0,0.0
837a4cfffffffff,224.0,0.0,33.0
837a4dfffffffff,93.0,0.0,18.0
837a60fffffffff,2.0,2.0,0.0
837a61fffffffff,2.0,0.0,0.0
837a63fffffffff,2.0,0.0,0.0
837a64fffffffff,48.0,17.0,0.0
837a65fffffffff,11.0,8.0,0.0
837a68fffffffff,39.0,0.0,3.0
837a6bfffffffff,6.0,0.0,2.0
837a6efffffffff,256.0,80.0,0.0
837b48fffffffff,39.0,19.0,0.0
837b4bfffffffff,64.0,30.0,0.0
838312fffffffff,16.0,0.0,1.0
838333fffffffff,4.0,0.0,0.0
8383a8fffffffff,3.0,0.0,3.0
839600fffffffff,7.0,0.0,5.0
839601fffffffff,9.0,0.0,2.0
839602fffffffff,15.0,0.0,5.0
839603fffffffff,1.0,0.0,1.0
839609fffffffff,19.0,0.0,4.0
83960bfffffffff,7.0,0.0,5.0
839610fffffffff,1.0,0.0,0.0
839615fffffffff,18.0,0.0,8.0
839656fffffffff,10.0,0.0,0.0
83966cfffffffff,1.0,0.0,0.0
839670fffffffff,3.0,0.0,0.0
839672fffffffff,2.0,0.0,0.0
83968dfffffffff,1.0,0.0,0.0
839690fffffffff,2.0,1.0,0.0
839692fffffffff,101.0,60.0,0.0
839693fffffffff,8.0,4.0,0.0
8396a0fffffffff,5.0,1.0,0.0
8396b0fffffffff,9.0,6.0,0.0
8396b2fffffffff,8.0,2.0,0.0
8396b5fffffffff,10.0,9.0,0.0
8396b6fffffffff,14.0,7.0,0.0
839789fffffffff,4.0,0.0,0.0
83978efffffffff,11.0,5.0,0.0
8397a8fffffffff,28.0,15.0,0.0
8397acfffffffff,6.0,5.0,0.0
