cell_id,Rallus crepitans,Rallus crepitans crepitans/waynei,Rallus crepitans saturatus/scottii,Rallus crepitans [caribaeus Group],Rallus crepitans [pallidus Group]
821aa7fffffffff,8.0,0.0,0.0,0.0,0.0
82266ffffffffff,1.0,0.0,0.0,0.0,0.0
822a07fffffffff,7.0,3.0,0.0,0.0,0.0
822a17fffffffff,530.0,49.0,0.0,0.0,0.0
822a37fffffffff,505.0,60.0,0.0,0.0,0.0
822a8ffffffffff,17.0,2.0,0.0,0.0,0.0
822aaffffffffff,531.0,66.0,0.0,0.0,0.0
822ad7fffffffff,15.0,2.0,0.0,0.0,0.0
822af7fffffffff,57.0,10.0,0.0,0.0,0.0
822b0ffffffffff,3.0,0.0,0.0,0.0,0.0
822b37fffffffff,6.0,3.0,0.0,0.0,0.0
824417fffffffff,156.0,0.0,0.0,4.0,0.0
82441ffffffffff,166.0,0.0,22.0,0.0,0.0
824447fffffffff,6.0,0.0,0.0,0.0,0.0
824457fffffffff,23.0,0.0,5.0,0.0,0.0
824467fffffffff,13.0,0.0,2.0,0.0,0.0
82446ffffffffff,22.0,0.0,6.0,0.0,0.0
824477fffffffff,9.0,0.0,0.0,0.0,0.0
8244a7fffffffff,28.0,0.0,0.0,0.0,0.0
8244affffffffff,46.0,12.0,0.0,0.0,0.0
8244b7fffffffff,1.0,0.0,0.0,0.0,0.0
8244d7fffffffff,36.0,4.0,0.0,0.0,0.0
8244e7fffffffff,50.0,0.0,24.0,0.0,0.0
8244f7fffffffff,20.0,10.0,0.0,0.0,0.0
824507fffffffff,3.0,0.0,0.0,0.0,0.0
82450ffffffffff,4.0,0.0,0.0,0.0,2.0
824527fffffffff,49.0,0.0,0.0,0.0,0.0
824577fffffffff,3.0,0.0,0.0,0.0,3.0
82458ffffffffff,2.0,0.0,0.0,0.0,0.0
8245b7fffffffff,2.0,0.0,0.0,0.0,0.0
824897fffffffff,19.0,0.0,5.0,0.0,0.0
8248b7fffffffff,1.0,0.0,0.0,0.0,0.0
8248c7fffffffff,4.0,0.0,4.0,0.0,0.0
824c87fffffffff,2.0,0.0,0.0,0.0,0.0
824c8ffffffffff,30.0,0.0,0.0,0.0,0.0
824c97fffffffff,2.0,0.0,0.0,0.0,0.0
824cc7fffffffff,542.0,0.0,0.0,60.0,0.0
824ceffffffffff,221.0,0.0,0.0,14.0,0.0
825e5ffffffffff,18.0,0.0,0.0,0.0,0.0
826737fffffffff,8.0,0.0,0.0,0.0,0.0
