cell_id,Pardipicus caroli,Pardipicus caroli arizelus,Pardipicus caroli caroli
8458833ffffffff,1.0,0.0,0.0
846a9e7ffffffff,4.0,0.0,0.0
846a9edffffffff,2.0,0.0,0.0
846ac03ffffffff,44.0,0.0,5.0
846ac0bffffffff,59.0,0.0,11.0
846ac11ffffffff,6.0,0.0,0.0
846ac15ffffffff,151.0,0.0,15.0
846ac1dffffffff,2.0,0.0,0.0
846ac35ffffffff,1.0,0.0,0.0
846ac3dffffffff,3.0,0.0,0.0
846acc7ffffffff,24.0,0.0,0.0
846acd5ffffffff,37.0,0.0,2.0
846adc1ffffffff,2.0,0.0,0.0
846adc9ffffffff,20.0,0.0,1.0
846ae85ffffffff,1.0,0.0,0.0
846aea1ffffffff,112.0,0.0,4.0
846aea5ffffffff,1.0,0.0,0.0
846aea9ffffffff,1.0,0.0,0.0
846aeabffffffff,8.0,0.0,0.0
8475085ffffffff,49.0,3.0,0.0
8475087ffffffff,16.0,0.0,0.0
84750d1ffffffff,5.0,0.0,0.0
84750d3ffffffff,3.0,0.0,0.0
8475295ffffffff,9.0,2.0,0.0
8475a81ffffffff,3.0,0.0,0.0
8475a83ffffffff,1.0,0.0,0.0
8475aa7ffffffff,1.0,0.0,0.0
8475b01ffffffff,3.0,0.0,0.0
8475b0dffffffff,2.0,0.0,0.0
847a4cbffffffff,69.0,0.0,0.0
847a4ddffffffff,65.0,0.0,0.0
8482125ffffffff,4.0,0.0,0.0
84821b1ffffffff,2.0,0.0,0.0
84821b3ffffffff,1.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0
84828d1ffffffff,67.0,0.0,0.0
8482909ffffffff,1.0,0.0,0.0
848290bffffffff,3.0,0.0,0.0
8482a37ffffffff,6.0,0.0,0.0
8482a3bffffffff,3.0,0.0,0.0
8482a81ffffffff,15.0,0.0,0.0
8482aadffffffff,3.0,0.0,0.0
8482ab3ffffffff,2.0,0.0,0.0
8482b1dffffffff,1.0,0.0,0.0
8482f69ffffffff,1.0,0.0,0.0
848313dffffffff,4.0,0.0,0.0
8483151ffffffff,6.0,0.0,0.0
84831ebffffffff,4.0,0.0,0.0
8483983ffffffff,2.0,0.0,0.0
8483a89ffffffff,4.0,0.0,0.0
8483ac3ffffffff,1.0,0.0,0.0
8496093ffffffff,1.0,0.0,0.0
84960bbffffffff,4.0,0.0,0.0
8496569ffffffff,2.0,0.0,1.0
