cell_id,Basileuterus tristriatus,Basileuterus tristriatus sanlucasensis,Basileuterus tristriatus daedalus,Basileuterus tristriatus auricularis,Basileuterus tristriatus meridanus/bessereri,Basileuterus tristriatus pariae,Basileuterus tristriatus tristriatus/baezae
82660ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,5.0,0.0,1.0,0.0,0.0,0.0,2.0
8266d7fffffffff,22.0,0.0,6.0,0.0,0.0,0.0,3.0
8266dffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8266e7fffffffff,19.0,0.0,5.0,0.0,0.0,0.0,0.0
8266f7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
82674ffffffffff,30.0,0.0,0.0,0.0,6.0,0.0,0.0
828b67fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,15.0
828e67fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0
828f0ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,4.0,0.0,1.0,0.0,0.0,0.0,0.0
828f4ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
828f77fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
