cell_id,Picus viridis,Picus viridis viridis/karelini,Picus viridis innominatus
821107fffffffff,1.0,0.0,0.0
82184ffffffffff,14.0,14.0,0.0
82186ffffffffff,10.0,10.0,0.0
82195ffffffffff,4.0,0.0,0.0
821977fffffffff,2.0,0.0,0.0
821e07fffffffff,2.0,2.0,0.0
821e0ffffffffff,4.0,4.0,0.0
821e17fffffffff,3.0,2.0,0.0
821e1ffffffffff,1.0,0.0,0.0
821e57fffffffff,2.0,2.0,0.0
821ea7fffffffff,7.0,2.0,0.0
821eb7fffffffff,2.0,0.0,0.0
821ec7fffffffff,18.0,0.0,0.0
821ecffffffffff,4.0,0.0,0.0
821ee7fffffffff,3.0,3.0,0.0
821eeffffffffff,4.0,0.0,0.0
821ef7fffffffff,2.0,0.0,0.0
821f37fffffffff,2.0,2.0,0.0
821f97fffffffff,1.0,0.0,0.0
821f9ffffffffff,2.0,2.0,0.0
822c17fffffffff,2.0,0.0,0.0
822c2ffffffffff,7.0,5.0,0.0
823967fffffffff,4.0,4.0,0.0
823f2ffffffffff,1.0,0.0,0.0
823f77fffffffff,1.0,0.0,0.0
