cell_id,Passer moabiticus,Passer moabiticus moabiticus,Passer moabiticus yatii
832c12fffffffff,1.0,0.0,0.0
832c16fffffffff,1.0,0.0,0.0
832c36fffffffff,1.0,0.0,0.0
832c82fffffffff,2.0,0.0,0.0
832c83fffffffff,31.0,0.0,0.0
832c98fffffffff,8.0,0.0,0.0
832c9cfffffffff,29.0,0.0,0.0
832c9efffffffff,2.0,0.0,0.0
832ca0fffffffff,1.0,0.0,0.0
832ca1fffffffff,2.0,0.0,0.0
832cacfffffffff,4.0,0.0,0.0
832d8cfffffffff,1.0,0.0,0.0
832da1fffffffff,22.0,0.0,0.0
832da5fffffffff,1.0,0.0,0.0
832da8fffffffff,245.0,0.0,0.0
832da9fffffffff,1.0,0.0,0.0
832dabfffffffff,8.0,0.0,0.0
832dacfffffffff,4.0,0.0,0.0
832daefffffffff,25.0,0.0,0.0
832db0fffffffff,544.0,107.0,0.0
832db1fffffffff,33.0,5.0,0.0
832db2fffffffff,278.0,51.0,0.0
833e68fffffffff,360.0,53.0,0.0
833e6cfffffffff,22.0,4.0,0.0
834334fffffffff,5.0,0.0,0.0
834350fffffffff,4.0,0.0,0.0
